Year ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
2000,12.4,20.1,4.7,40.4,-83.6,77.6,13,19,0,5,2,80,27%,21%,39%
2001,14.6,22.4,6.7,40.4,-24.7,91.1,16,32,2,10,1,87,30%,24%,44%
2002,13.6,21.2,6.1,40.6,-25.1,141.7,34,49,8,8,4,83,27%,23%,42%
2003,9.5,15.3,8.7,40.7,-17.6,234.0,39,57,10,14,4,86,3%,5%,63%
2004,17.7,26.4,8.9,41.0,-10.0,225.4,33,44,7,13,1,75,28%,20%,69%
2005,14.3,22.2,6.4,41.6,-15.2,41.3,9,13,6,7,1,96,40%,39%,73%
2006,14.5,21.8,7.1,41.8,-14.6,98.4,18,33,15,11,2,88,51%,45%,67%
2007,14.3,22.3,6.3,40.0,-16.2,453.5,51,69,19,27,2,101,94%,95%,84%
2008,14.6,22.8,6.4,42.2,-15.7,198.2,31,48,22,8,5,84,96%,94%,82%
2009,14.5,21.7,7.4,39.9,-14.0,318.8,48,70,12,19,1,71,84%,75%,62%
2010,16.1,24.2,8.1,41.2,-10.2,254.6,34,49,10,21,4,72,85%,75%,62%
2011,13.8,22.0,5.6,42.7,-18.6,359.2,46,72,23,30,12,106,99%,98%,96%
2012,14.6,22.8,6.4,41.8,-11.8,326.5,46,69,14,25,1,92,99%,97%,97%
2013,14.6,23.1,6.1,42.0,-10.8,312.8,42,66,12,23,3,85,99%,97%,97%
2014,14.9,23.3,6.5,42.0,-12.2,277.5,44,64,13,24,4,92,99%,99%,97%
2015,15.3,23.6,7.0,42.6,-8.2,372.4,42,57,13,28,4,101,98%,98%,97%
2016,15.1,23.5,6.7,41.8,-12.4,297.1,34,49,10,17,1,87,98%,99%,96%
2017,15.0,23.8,6.2,41.4,-15.4,293.5,41,56,17,17,10,97,99%,97%,99%
2018,15.7,23.8,7.7,42.8,-10.8,541.4,71,90,8,35,4,55,99%,96%,98%
2019,14.9,23.0,6.8,43.4,-7.6,448.6,61,82,13,23,2,82,98%,97%,98%
2020,15.1,22.8,7.3,42.2,-12.4,409.1,53,71,19,21,8,70,100%,97%,97%
2021,15.9,24.7,7.1,42.5,-9.5,159.4,23,39,0,19,1,85,98%,96%,96%
2022,15.5,23.8,7.1,42.2,-24.5,255.2,42,56,18,14,4,75,98%,98%,97%
2023,14.7,23.4,6.1,41.8,-13.0,428.4,48,64,17,19,3,96,99%,99%,96%
