Year ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
2000,16.2,21.2,11.2,40.0,-14.5,50.1,10,12,0,1,2,37,24%,16%,33%
2001,16.3,22.9,9.7,37.4,-7.4,488.1,33,39,4,12,4,55,30%,23%,52%
2002,15.9,22.4,9.5,47.2,-24.0,461.1,36,40,5,14,5,49,25%,21%,44%
2003,9.7,14.1,9.5,36.2,-10.4,395.1,38,45,5,13,1,46,4%,2%,67%
2004,15.7,22.5,9.0,38.0,-10.8,531.7,36,42,3,22,3,49,24%,20%,74%
2005,14.6,21.9,7.4,37.6,-7.6,117.3,10,13,1,12,1,55,39%,39%,72%
2006,14.7,21.9,7.6,39.6,-15.0,403.9,31,38,12,13,9,69,48%,43%,72%
2007,14.8,22.6,7.0,38.0,-8.8,750.4,50,59,14,29,5,78,93%,91%,80%
2008,15.5,23.4,7.6,38.8,-12.6,378.8,32,39,13,12,4,68,94%,93%,80%
2009,15.5,23.0,8.0,39.6,-8.1,716.9,48,60,11,28,12,67,83%,74%,58%
2010,16.5,24.6,8.3,44.6,-7.0,260.8,32,38,4,19,1,63,83%,75%,55%
2011,15.2,23.1,7.2,38.0,-6.8,908.2,45,58,17,32,11,77,99%,96%,93%
2012,14.8,22.4,7.2,40.7,-9.6,908.3,48,54,11,31,15,75,99%,97%,88%
2013,15.4,23.4,7.3,40.0,-9.0,582.8,51,61,7,21,11,62,98%,98%,89%
2014,14.8,22.9,6.8,47.5,-12.6,723.6,42,49,15,23,24,91,99%,97%,92%
2015,15.7,23.5,8.0,40.0,-6.6,620.6,52,63,12,30,6,73,98%,96%,94%
2016,15.8,23.9,7.7,38.4,-6.0,466.2,34,39,6,23,5,57,99%,98%,93%
2017,16.0,23.9,8.1,38.8,-9.4,469.7,38,47,2,31,4,57,99%,99%,96%
2018,16.0,23.7,8.3,39.6,-6.6,767.7,46,61,4,31,4,58,99%,96%,97%
2019,15.2,22.6,7.8,38.6,-6.0,1032.4,57,81,12,50,10,76,99%,96%,98%
2020,15.2,22.9,7.5,39.0,-8.4,995.8,57,68,12,32,3,65,100%,96%,97%
2021,16.6,24.7,8.6,39.4,-6.4,457.0,35,48,4,28,11,53,97%,95%,97%
2022,16.0,23.7,8.2,40.4,-8.0,645.4,38,60,6,28,8,59,98%,96%,97%
2023,15.6,23.7,7.5,38.6,-10.8,652.3,45,54,12,23,9,71,99%,99%,96%
