Year ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
2000,15.6,17.6,16.0,35.2,-2.0,124.5,17,27,0,3,2,3,2%,1%,36%
2001,17.7,21.2,9.7,34.0,-5.5,207.2,28,54,0,7,6,5,1%,1%,49%
2002,14.5,17.4,12.4,34.0,-6.2,164.3,30,51,0,6,3,2,4%,4%,38%
2003,8.8,17.4,6.0,33.0,-2.0,752.9,35,55,0,5,4,5,1%,1%,54%
2004,19.8,23.2,16.4,34.6,-1.0,171.4,23,31,0,2,10,4,19%,18%,65%
2005,17.2,21.5,13.0,37.8,-1.6,264.4,36,46,0,2,6,8,36%,36%,62%
2006,17.5,21.8,13.2,37.8,-2.6,213.7,30,45,2,3,5,19,43%,42%,65%
2007,17.1,21.8,12.5,39.0,-3.4,696.2,67,95,4,20,9,18,94%,90%,74%
2008,17.2,21.9,12.4,40.6,-6.8,458.4,60,83,9,20,5,32,94%,92%,78%
2009,17.1,21.3,13.0,35.2,-2.8,785.8,73,101,0,17,19,14,82%,75%,62%
2010,18.4,23.0,13.8,37.0,-6.6,402.9,46,69,0,13,14,7,85%,75%,63%
2011,16.8,20.9,12.7,38.0,-1.2,958.5,89,125,0,14,10,15,97%,95%,98%
2012,17.7,22.4,13.0,35.6,-3.8,724.2,73,93,6,27,10,19,98%,93%,97%
2013,17.7,22.3,13.0,38.6,-2.8,770.2,75,113,4,8,13,14,98%,96%,100%
2014,17.7,22.4,12.9,37.6,-5.2,513.5,56,92,5,9,25,18,99%,95%,98%
2015,17.5,22.2,12.9,40.6,-2.2,645.3,70,106,2,15,10,8,99%,94%,99%
2016,17.5,22.1,12.9,39.0,-3.8,772.6,81,111,5,5,16,15,99%,94%,97%
2017,17.8,23.1,12.6,40.2,-3.2,491.8,56,94,3,7,6,22,100%,97%,99%
2018,18.2,23.1,13.4,37.6,-2.8,563.0,69,103,2,7,4,4,99%,97%,99%
2019,17.8,22.8,12.9,38.2,-2.4,886.7,78,116,0,9,4,7,100%,97%,99%
2020,17.5,22.5,12.6,39.6,-2.0,788.5,83,115,1,7,7,13,99%,96%,98%
2021,18.1,23.0,13.1,38.4,-3.2,595.7,60,95,2,7,15,22,98%,94%,97%
2022,18.1,23.2,12.9,38.0,-3.2,564.1,72,99,1,5,7,9,98%,95%,97%
2023,18.3,24.7,11.9,37.0,-4.2,568.2,63,98,4,3,5,37,99%,97%,94%
