Year ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
2000,11.2,15.1,13.7,38.6,-9.4,42.6,13,18,2,4,1,35,2%,2%,45%
2001,13.9,14.4,12.6,38.6,-14.0,110.2,24,42,8,3,0,38,2%,1%,51%
2002,12.3,12.8,13.8,35.8,-35.6,223.3,37,53,12,8,1,55,5%,3%,42%
2003,12.2,19.7,7.8,32.6,-65.8,273.9,39,58,21,16,5,59,1%,1%,60%
2004,16.4,21.3,9.9,37.0,-14.6,193.3,27,39,16,10,2,74,18%,16%,70%
2005,12.8,18.5,7.1,38.6,-18.4,39.4,10,15,3,1,1,82,31%,32%,69%
2006,13.4,19.2,7.7,39.6,-18.8,71.7,11,26,8,10,1,95,44%,39%,66%
2007,12.9,18.9,7.0,38.6,-19.0,1029.0,48,71,29,17,7,88,93%,92%,70%
2008,13.5,19.8,7.3,41.4,-19.4,321.1,41,54,29,11,1,82,94%,91%,75%
2009,13.7,19.3,8.1,35.8,-10.0,296.3,42,60,12,13,1,55,81%,72%,53%
2010,15.6,21.7,9.4,39.0,-9.2,192.7,38,50,10,15,2,47,84%,75%,62%
2011,12.9,18.8,7.0,42.0,-16.4,407.6,60,86,32,15,8,86,97%,95%,90%
2012,14.1,20.2,7.9,40.4,-10.0,378.6,56,90,25,26,0,73,97%,95%,97%
2013,13.4,19.9,6.8,41.4,-18.4,338.3,53,69,20,20,3,62,98%,96%,98%
2014,14.1,20.4,7.8,40.6,-16.0,397.8,52,72,15,29,2,71,98%,95%,96%
2015,14.1,20.7,7.5,41.9,-13.0,334.5,51,73,29,14,6,79,99%,96%,98%
2016,13.8,20.3,7.3,40.4,-14.0,372.5,49,65,23,21,5,77,98%,94%,98%
2017,13.9,20.7,7.2,40.4,-17.0,237.0,34,56,17,11,5,94,99%,97%,98%
2018,14.9,21.3,8.6,42.6,-12.6,483.1,63,86,20,29,4,38,99%,95%,99%
2019,13.9,20.5,7.3,42.2,-11.0,450.6,47,61,20,11,7,67,99%,95%,99%
2020,13.3,19.5,7.0,42.2,-13.4,423.4,60,87,35,24,10,84,100%,97%,98%
2021,15.0,22.1,8.0,41.6,-16.4,1156.9,39,47,12,19,1,71,98%,96%,96%
2022,14.6,21.4,7.9,41.6,-17.6,298.2,39,51,15,16,2,70,98%,97%,97%
2023,14.5,21.3,7.7,38.8,-9.4,292.5,34,52,11,11,0,77,99%,98%,94%
