Year ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
2000,19.6,19.5,19.7,45.6,-0.2,3.0,3,3,0,0,2,3,9%,9%,19%
2001,22.0,22.0,22.0,40.8,-9.6,30.2,5,6,3,0,5,7,11%,11%,0%
2002,22.2,22.4,22.0,41.4,-1.0,22.3,6,11,1,1,0,3,15%,15%,0%
2003,20.5,20.7,20.4,41.4,-4.8,16.0,5,9,0,0,4,3,10%,10%,0%
2004,18.6,22.7,15.3,47.6,-6.0,8.2,2,9,0,0,2,19,29%,15%,17%
2005,17.5,23.6,11.4,43.2,-9.6,14.9,4,10,3,0,1,57,42%,42%,84%
2006,18.3,24.1,12.5,41.6,-10.2,34.8,9,21,5,2,6,45,49%,45%,78%
2007,17.4,24.0,10.7,48.0,-8.6,111.8,25,40,4,1,2,40,96%,93%,85%
2008,17.5,24.0,11.1,41.8,-25.0,75.8,15,31,11,4,13,63,94%,94%,80%
2009,18.2,24.1,12.4,42.0,-6.0,158.3,31,53,0,17,7,29,82%,75%,63%
2010,18.9,25.2,12.7,42.2,-6.2,32.3,10,21,2,9,1,27,85%,76%,60%
2011,18.0,24.4,11.7,39.8,-7.2,96.6,22,34,5,11,3,58,99%,97%,93%
2012,17.0,23.1,10.8,41.4,-9.0,147.1,30,47,6,16,4,53,99%,97%,97%
2013,18.5,24.9,12.0,41.6,-8.0,84.8,21,37,1,12,1,37,99%,98%,99%
2014,17.5,23.9,11.2,41.6,-8.8,100.5,24,40,12,12,5,45,99%,98%,98%
2015,18.4,24.7,12.1,40.6,-8.0,82.8,15,39,4,7,8,42,99%,98%,98%
2016,18.8,25.4,12.2,41.8,-8.8,57.8,15,28,0,20,0,38,99%,97%,98%
2017,18.6,25.1,12.1,42.8,-6.7,117.3,19,30,1,12,5,41,100%,97%,96%
2018,18.8,25.2,12.3,39.9,-6.8,175.2,29,40,0,17,2,22,99%,98%,98%
2019,18.2,24.6,11.9,43.6,-3.6,287.8,30,51,6,10,4,30,98%,97%,96%
2020,17.5,23.8,11.1,41.3,-6.8,215.5,30,54,5,14,10,37,100%,98%,98%
2021,19.0,25.7,12.3,41.8,-9.9,78.1,10,24,0,8,1,34,97%,96%,95%
2022,18.9,25.6,12.3,42.6,-4.8,144.3,18,31,3,11,2,33,98%,98%,96%
2023,19.2,25.9,12.4,42.8,-12.3,86.3,20,31,3,9,6,34,99%,99%,93%
