Year ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
2000,9.8,14.1,5.6,58.0,-16.0,993.4,14,34,8,9,19,78,15%,12%,35%
2001,10.7,16.6,4.8,34.4,-20.8,89.6,20,36,21,6,36,97,19%,18%,44%
2002,9.3,15.0,4.3,34.4,-21.0,110.9,33,46,18,11,42,101,22%,16%,42%
2003,4.1,7.4,2.7,29.0,-15.2,64.4,16,31,11,10,24,102,3%,3%,58%
2004,12.4,18.3,6.5,36.2,-25.8,59.6,11,23,10,7,22,101,20%,19%,71%
2005,9.8,15.2,4.5,35.0,-20.4,70.4,14,33,17,6,24,117,38%,38%,64%
2006,10.4,16.3,4.5,36.8,-20.4,53.2,17,35,23,4,34,109,43%,39%,67%
2007,9.7,15.4,3.9,35.8,-18.0,1052.7,50,86,38,19,74,121,96%,90%,83%
2008,9.6,15.6,3.7,37.0,-29.4,212.6,49,98,41,18,85,101,92%,89%,76%
2009,10.3,15.6,4.9,31.6,-15.8,221.1,46,82,29,20,81,93,85%,75%,61%
2010,12.0,18.6,5.3,34.2,-14.4,186.2,35,74,24,26,89,88,83%,74%,63%
2011,9.3,15.3,3.4,39.2,-19.2,270.1,63,117,55,37,87,127,98%,94%,99%
2012,10.8,16.7,4.8,34.4,-22.0,282.5,50,94,40,33,62,93,98%,97%,98%
2013,10.2,16.1,4.4,34.2,-20.6,282.0,49,81,34,18,62,94,98%,94%,98%
2014,10.5,16.3,4.7,38.2,-23.0,246.1,42,77,32,40,63,104,99%,94%,96%
2015,10.5,16.8,4.2,40.4,-18.8,290.1,55,87,35,39,78,114,98%,95%,98%
2016,10.5,16.7,4.4,36.4,-20.5,250.3,47,100,45,30,55,99,98%,96%,96%
2017,11.0,17.3,4.6,37.6,-21.3,182.2,34,61,31,19,120,109,99%,96%,98%
2018,11.3,17.0,5.6,36.8,-23.0,305.9,59,103,29,38,176,85,99%,94%,98%
2019,10.9,16.9,4.8,37.2,-12.4,272.6,46,95,47,34,160,106,100%,96%,99%
2020,10.0,15.8,4.2,39.0,-17.2,323.2,58,108,58,34,198,110,99%,95%,98%
2021,11.8,17.9,5.6,37.9,-20.8,152.6,34,65,28,31,167,82,97%,93%,97%
2022,10.7,16.7,4.8,34.5,-16.8,250.6,40,69,40,24,191,105,98%,96%,97%
2023,11.3,17.9,4.7,35.0,-18.6,235.7,45,90,22,24,160,86,99%,97%,97%
