Year ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
2000,15.5,20.9,10.0,38.6,-14.9,112.2,23,43,8,2,12,53,24%,23%,71%
2001,15.8,22.5,9.1,41.2,-41.6,67.5,12,23,8,3,8,63,28%,28%,77%
2002,15.5,21.7,9.4,40.6,-35.0,117.4,24,39,11,9,13,74,33%,32%,75%
2003,10.8,14.7,8.2,40.6,-16.8,145.8,31,48,18,10,15,52,3%,3%,74%
2004,19.0,25.3,12.7,42.4,-4.0,1011.2,24,37,5,5,5,33,22%,21%,76%
2005,15.9,21.6,10.2,40.8,-9.0,86.3,16,24,3,11,4,55,40%,40%,76%
2006,16.5,22.3,10.8,38.8,-11.0,68.2,14,23,17,3,14,58,46%,46%,80%
2007,15.5,21.7,9.4,37.8,-9.8,255.0,36,54,22,17,29,51,97%,95%,92%
2008,15.2,21.5,8.8,40.6,-21.0,118.3,23,48,21,12,25,73,98%,93%,91%
2009,15.5,21.7,9.3,39.0,-8.5,275.0,50,83,19,28,17,46,98%,93%,88%
2010,17.1,24.2,9.9,43.4,-10.6,110.3,27,53,13,17,11,42,97%,92%,85%
2011,15.9,22.3,9.5,41.2,-9.0,1101.7,37,64,27,20,30,84,98%,96%,99%
2012,15.7,22.2,9.1,40.1,-17.2,312.4,45,68,26,25,33,72,99%,96%,96%
2013,16.4,22.9,9.8,39.8,-8.8,189.7,31,54,13,21,18,50,98%,97%,97%
2014,15.9,22.4,9.4,41.6,-17.4,216.5,37,63,17,17,23,65,99%,95%,96%
2015,16.8,23.2,10.5,40.6,-5.9,203.6,36,57,22,13,22,48,99%,96%,97%
2016,16.9,23.5,10.2,40.7,-11.7,245.2,42,65,15,21,13,44,98%,96%,98%
2017,16.4,23.1,9.7,42.2,-13.0,238.0,27,51,23,18,19,64,100%,98%,99%
2018,16.8,23.3,10.3,44.2,-11.8,237.4,30,53,7,16,23,42,99%,97%,98%
2019,16.4,22.7,10.0,41.4,-5.0,304.3,47,74,13,24,18,47,99%,96%,98%
2020,15.4,21.7,9.1,41.4,-9.5,299.7,48,74,23,20,26,66,99%,97%,97%
2021,17.3,24.5,10.1,43.2,-8.6,70.7,13,32,9,11,8,52,98%,95%,95%
2022,16.9,23.4,10.4,42.1,-5.5,209.3,30,53,8,20,9,46,99%,97%,96%
2023,17.5,24.3,10.7,40.1,-20.1,89.0,20,33,11,11,15,48,99%,96%,97%
