Year ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
2000,14.0,17.2,13.0,32.8,-82.0,119.2,18,31,0,2,0,2,3%,2%,37%
2001,16.9,20.1,14.1,31.8,0.2,603.8,41,56,1,6,10,0,2%,1%,46%
2002,16.0,15.8,15.8,28.4,-55.0,348.4,45,67,1,9,3,2,4%,4%,38%
2003,3.3,17.1,4.5,38.2,0.2,376.8,38,53,0,7,6,0,1%,1%,53%
2004,19.6,23.0,16.3,31.0,0.4,117.7,22,31,0,3,5,0,20%,19%,64%
2005,16.4,19.5,13.3,33.6,0.6,315.4,40,64,0,8,0,0,36%,39%,60%
2006,16.6,19.7,13.5,33.0,-5.8,383.8,44,61,0,13,10,4,44%,42%,59%
2007,16.5,20.0,13.0,37.8,-0.6,1838.1,84,122,3,29,5,2,93%,89%,78%
2008,16.5,19.8,13.2,35.0,-4.2,1082.5,85,116,8,22,13,21,93%,91%,79%
2009,16.5,19.4,13.6,33.6,-0.2,1007.5,83,120,0,34,9,2,83%,73%,65%
2010,17.7,20.9,14.5,35.6,0.0,821.4,66,94,0,21,10,1,84%,75%,62%
2011,16.2,19.3,13.1,34.0,-1.0,1607.9,117,151,0,24,7,1,98%,96%,96%
2012,17.1,20.7,13.5,33.2,-1.6,1547.6,95,126,4,41,5,8,98%,94%,96%
2013,17.2,20.6,13.8,36.6,-0.8,1122.6,92,122,1,13,10,1,98%,93%,99%
2014,16.9,20.3,13.5,32.8,-5.2,1409.9,79,108,8,23,24,7,99%,95%,97%
2015,17.1,20.5,13.7,33.4,2.0,1346.4,94,132,6,20,7,0,99%,97%,98%
2016,16.9,20.1,13.7,32.6,-2.0,1734.4,111,134,3,18,9,3,98%,94%,97%
2017,17.4,20.8,14.0,35.6,-0.8,1102.3,78,119,2,14,9,2,99%,94%,99%
2018,17.8,21.0,14.6,34.4,0.0,1200.2,102,138,1,26,7,1,99%,96%,99%
2019,17.5,21.0,14.1,32.8,2.2,1719.7,99,125,0,20,5,0,100%,95%,99%
2020,17.1,20.4,13.8,34.8,-0.2,1470.9,112,147,1,28,10,1,100%,93%,98%
2021,17.7,21.1,14.4,36.0,0.0,1077.0,78,112,0,23,14,1,96%,91%,97%
2022,17.9,21.3,14.4,33.6,0.0,1065.7,90,113,3,18,2,1,98%,93%,97%
2023,18.1,22.0,14.2,35.0,0.8,1538.9,89,112,0,25,8,0,98%,95%,94%
