Year ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
2000,2.4,21.9,-19.1,43.8,-90.6,20.6,5,9,0,0,0,53,3%,18%,48%
2001,-6.3,27.7,-37.0,46.4,-92.0,34.3,5,7,0,2,1,72,1%,20%,59%
2002,19.2,23.6,10.7,44.0,-87.2,36.6,13,17,0,3,1,14,6%,8%,43%
2003,16.2,18.5,16.9,44.4,-57.1,48.2,9,14,0,4,0,5,2%,2%,60%
2004,25.8,31.9,18.3,48.2,-2.0,6.4,3,7,0,4,2,3,29%,24%,80%
2005,23.0,28.7,17.2,47.5,-2.8,11.6,4,8,0,3,0,7,43%,36%,71%
2006,23.4,29.0,17.9,47.0,-3.8,32.0,5,13,0,4,1,10,49%,40%,68%
2007,22.5,28.7,16.4,46.8,-4.6,72.6,14,24,0,11,0,15,93%,93%,80%
2008,22.8,28.8,16.7,48.4,-6.4,58.6,13,19,7,8,1,36,93%,94%,78%
2009,23.2,28.8,17.6,46.8,-2.4,116.2,16,30,0,17,1,3,83%,75%,61%
2010,23.8,29.8,17.8,46.9,-0.8,41.4,9,18,0,11,0,7,85%,75%,59%
2011,23.1,29.2,16.9,46.6,-2.4,52.0,9,23,0,21,4,5,98%,97%,93%
2012,22.1,28.1,16.2,47.6,-3.6,93.9,23,29,0,14,2,17,99%,96%,93%
2013,23.8,30.4,17.1,47.7,-4.1,51.0,16,27,0,10,0,13,97%,97%,92%
2014,23.1,29.7,16.6,48.2,-4.2,71.2,12,24,2,11,1,13,99%,98%,98%
2015,24.0,30.4,17.5,46.8,-1.5,37.1,13,23,0,11,1,3,99%,98%,96%
2016,24.1,30.9,17.4,47.7,-5.9,34.0,10,18,0,3,0,3,98%,97%,96%
2017,23.9,30.7,17.2,47.6,-1.9,34.6,8,21,1,10,0,5,100%,99%,98%
2018,24.1,30.7,17.5,46.7,-1.5,119.2,15,26,0,11,0,1,99%,98%,98%
2019,23.7,30.1,17.2,48.8,-0.6,115.9,18,37,0,10,1,1,98%,96%,95%
2020,23.0,29.4,16.7,46.3,-1.5,192.2,20,39,0,14,0,6,100%,98%,97%
2021,24.3,31.4,17.3,48.8,-3.1,51.9,12,24,0,12,0,13,98%,96%,95%
2022,24.5,31.2,17.7,47.6,-1.6,55.0,9,25,0,11,0,3,98%,99%,97%
2023,24.5,31.5,17.6,48.3,-5.5,51.4,20,26,0,7,0,10,99%,100%,92%
