Year ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
2000,20.2,26.7,13.7,48.6,-5.8,290.9,8,15,1,1,2,25,35%,25%,55%
2001,20.9,27.2,14.6,44.4,-8.0,33.2,9,13,1,1,10,15,38%,28%,62%
2002,20.8,27.6,14.0,44.6,-4.2,15.9,3,9,3,2,2,27,40%,32%,71%
2003,20.1,26.6,13.6,44.8,-20.6,41.4,7,14,5,1,4,24,40%,36%,74%
2004,20.0,26.9,13.2,43.4,-3.8,28.0,10,19,0,8,10,20,74%,74%,82%
2005,20.5,27.2,13.8,43.8,-5.4,6.3,1,3,0,1,1,28,43%,43%,84%
2006,20.7,27.1,14.2,44.3,-6.2,12.5,5,9,0,0,7,25,49%,44%,79%
2007,20.3,27.4,13.2,47.4,-6.2,37.2,8,21,3,10,3,30,95%,95%,84%
2008,20.1,26.9,13.2,43.8,-10.8,33.0,12,25,15,3,8,44,95%,94%,86%
2009,20.5,27.2,13.7,44.4,-3.6,56.9,14,27,2,8,3,22,88%,85%,71%
2010,21.5,28.4,14.6,47.4,-4.2,5.3,1,7,1,4,0,12,85%,77%,61%
2011,20.7,27.5,13.9,45.0,-3.4,52.9,13,24,1,6,7,30,98%,96%,92%
2012,20.0,26.8,13.3,45.6,-6.0,54.1,10,24,4,8,4,36,99%,97%,90%
2013,21.2,28.0,14.3,44.4,-5.2,48.7,11,21,3,3,2,27,98%,97%,95%
2014,20.4,27.0,13.9,43.9,-10.1,57.2,13,27,9,10,9,22,99%,98%,96%
2015,21.2,27.7,14.6,43.3,-3.5,46.3,11,24,4,9,4,20,99%,98%,98%
2016,21.5,28.3,14.7,43.8,-7.8,23.8,7,16,3,12,7,18,99%,99%,99%
2017,21.0,28.0,14.0,43.8,-5.3,25.9,9,21,1,10,4,22,99%,98%,99%
2018,21.4,28.1,14.7,43.0,-3.6,38.6,13,26,5,17,5,14,99%,98%,98%
2019,20.9,27.4,14.4,44.8,-3.2,107.5,14,26,3,10,3,14,99%,99%,99%
2020,20.3,26.8,13.8,44.2,-3.7,69.0,15,26,2,13,9,17,100%,98%,98%
2021,21.6,28.6,14.7,44.2,-5.4,61.0,10,19,2,13,0,25,98%,96%,97%
2022,21.5,28.4,14.6,44.5,-3.5,82.5,9,21,1,8,5,12,99%,99%,98%
2023,21.6,28.6,14.6,44.1,-3.3,51.4,9,22,6,15,3,27,99%,99%,98%
