Year ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
2000,11.5,12.5,11.4,39.0,-14.0,96.7,18,25,2,4,0,71,3%,3%,39%
2001,8.8,10.4,-7.0,38.2,-81.4,133.7,23,33,4,5,2,81,2%,2%,45%
2002,8.1,8.5,9.7,35.8,-19.8,286.1,38,46,12,5,2,79,5%,4%,40%
2003,-2.9,7.1,-6.3,31.8,-56.0,250.0,42,64,19,10,5,90,1%,1%,62%
2004,14.2,22.8,6.6,39.0,-17.2,236.3,44,58,29,14,4,110,21%,17%,70%
2005,10.6,18.5,2.8,37.6,-27.6,36.8,10,13,8,2,1,131,37%,36%,73%
2006,10.8,18.4,3.2,38.8,-29.4,57.0,16,26,11,6,4,121,46%,40%,68%
2007,10.5,18.6,2.4,37.0,-30.6,335.9,51,79,27,26,4,124,94%,91%,76%
2008,11.3,19.2,3.4,39.8,-28.8,294.0,46,70,29,17,11,112,94%,91%,81%
2009,11.5,18.6,4.5,35.4,-15.0,361.7,53,82,21,20,2,95,84%,75%,65%
2010,13.3,21.4,5.3,38.4,-15.2,276.0,39,54,6,15,1,94,85%,76%,63%
2011,10.6,18.4,2.8,40.8,-26.6,505.9,63,91,31,17,10,121,98%,96%,93%
2012,11.7,19.4,3.9,38.6,-20.2,467.2,58,89,30,21,12,103,98%,97%,93%
2013,10.9,19.3,2.6,38.5,-24.6,344.9,47,75,21,16,6,120,99%,96%,94%
2014,11.9,19.8,4.0,39.0,-23.2,401.6,54,83,15,22,11,112,99%,96%,95%
2015,11.9,20.1,3.7,39.8,-17.8,551.4,53,85,19,15,22,116,98%,96%,96%
2016,11.8,20.0,3.7,38.6,-19.4,409.7,52,74,22,20,8,118,98%,95%,96%
2017,11.6,20.1,3.1,38.8,-28.1,364.2,43,66,23,12,13,120,99%,97%,96%
2018,12.8,20.8,4.9,39.9,-17.3,662.5,82,106,13,23,2,75,99%,96%,98%
2019,11.8,20.0,3.6,39.6,-14.2,432.8,60,97,33,11,7,117,99%,97%,98%
2020,11.6,19.3,3.8,40.4,-18.2,512.6,72,100,38,28,31,122,100%,97%,96%
2021,12.8,21.5,4.1,39.1,-23.1,281.0,42,65,16,18,7,109,97%,95%,96%
2022,12.3,20.6,4.0,39.5,-28.2,379.7,46,71,20,8,14,111,97%,98%,96%
2023,12.0,20.6,3.4,37.5,-18.1,423.8,43,67,24,29,9,110,98%,99%,94%
