Year ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
2000,11.8,17.7,5.9,36.6,-16.2,133.2,30,44,24,16,6,114,33%,29%,72%
2001,12.3,18.6,5.9,37.4,-21.9,118.9,24,47,12,13,3,104,31%,30%,70%
2002,11.7,17.8,5.6,36.0,-19.6,253.9,44,63,17,13,2,96,42%,40%,72%
2003,11.5,17.2,5.9,37.0,-45.6,1136.2,34,61,26,25,3,109,36%,34%,67%
2004,10.7,17.3,4.2,34.4,-16.6,154.7,23,32,22,22,5,112,77%,73%,72%
2005,11.3,17.5,5.2,35.6,-15.2,616.9,11,13,2,13,1,118,36%,36%,69%
2006,11.6,18.0,5.3,37.4,-15.8,361.8,15,23,11,8,1,128,45%,41%,69%
2007,11.5,17.9,5.2,37.0,-15.6,258.4,46,70,35,39,8,118,97%,92%,88%
2008,11.7,18.6,4.8,39.2,-19.9,331.5,38,55,22,26,5,106,97%,94%,90%
2009,11.6,18.2,5.0,34.0,-15.8,281.5,43,68,8,36,3,101,96%,94%,83%
2010,13.3,20.6,6.0,37.0,-10.2,317.7,46,71,8,36,7,103,96%,93%,85%
2011,10.9,17.5,4.3,38.2,-14.5,408.5,53,82,27,37,24,126,98%,98%,96%
2012,12.0,18.8,5.2,36.4,-24.6,314.2,57,85,28,65,19,120,99%,97%,98%
2013,11.6,18.4,4.7,35.2,-17.6,286.3,48,69,26,42,12,101,99%,98%,98%
2014,12.3,19.1,5.5,39.0,-14.8,365.8,40,70,21,53,17,105,98%,97%,96%
2015,12.5,19.5,5.4,39.9,-12.0,247.3,41,72,23,41,10,120,99%,98%,99%
2016,11.9,18.8,5.1,37.6,-14.8,320.7,49,64,28,46,8,107,99%,97%,98%
2017,12.0,19.2,4.7,37.6,-16.2,182.6,30,52,27,17,10,107,100%,97%,99%
2018,13.4,20.2,6.5,39.6,-12.4,502.4,67,86,11,47,5,73,99%,98%,98%
2019,12.4,19.2,5.5,37.4,-9.0,426.1,46,79,22,33,5,108,99%,97%,99%
2020,12.0,18.3,5.7,38.8,-16.0,349.3,66,93,37,48,12,97,100%,98%,98%
2021,12.9,20.2,5.7,38.1,-12.2,215.5,31,45,18,22,6,109,98%,97%,96%
2022,12.6,19.7,5.5,38.9,-15.3,204.3,37,60,18,28,4,113,99%,99%,97%
2023,12.9,20.4,5.4,37.3,-11.4,195.0,31,65,20,29,5,99,100%,100%,98%
