Year ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
2000,15.8,23.6,7.9,41.9,-35.6,266.6,38,46,4,8,0,81,30%,25%,66%
2001,16.0,24.2,7.8,42.4,-25.9,190.5,33,40,4,7,1,69,31%,27%,67%
2002,15.1,23.1,7.1,41.9,-8.4,238.3,38,56,7,7,7,72,34%,28%,67%
2003,14.3,20.7,8.1,42.6,-6.0,1807.6,31,48,9,9,3,63,3%,4%,69%
2004,18.8,27.5,10.2,42.3,-8.5,109.7,18,29,3,10,0,59,26%,21%,74%
2005,15.2,23.0,7.4,42.6,-16.4,108.3,13,23,7,8,2,81,47%,43%,79%
2006,15.8,23.1,8.4,42.4,-10.3,186.1,32,40,11,12,4,79,52%,50%,74%
2007,15.4,23.6,7.1,41.2,-10.0,503.4,47,62,12,19,4,88,95%,95%,84%
2008,15.6,23.7,7.4,42.8,-18.5,403.7,41,55,15,22,12,81,97%,95%,85%
2009,15.0,23.0,6.9,41.4,-12.3,340.7,46,82,6,32,8,72,97%,92%,81%
2010,16.8,25.4,8.3,42.6,-8.5,301.1,44,57,5,30,8,66,96%,91%,73%
2011,15.2,23.6,6.9,43.6,-9.7,456.9,48,72,15,33,17,86,97%,96%,92%
2012,15.8,23.7,7.9,41.9,-11.2,359.5,44,65,14,22,9,81,98%,97%,92%
2013,15.5,23.9,7.0,42.7,-9.5,368.1,47,65,9,19,5,62,98%,98%,95%
2014,15.6,23.7,7.5,42.2,-13.7,347.4,50,73,11,31,6,74,98%,98%,94%
2015,16.4,24.6,8.3,42.5,-8.2,324.7,39,63,9,23,2,73,98%,97%,97%
2016,15.7,24.0,7.4,42.3,-8.6,466.6,44,57,7,24,1,68,99%,96%,98%
2017,15.7,24.2,7.3,40.8,-10.6,352.9,39,57,10,24,7,80,99%,96%,97%
2018,16.4,24.3,8.5,43.5,-8.2,631.1,63,85,3,49,7,47,99%,96%,96%
2019,15.5,23.7,7.4,43.2,-9.6,669.2,60,78,8,20,3,76,99%,96%,96%
2020,16.0,24.1,7.9,42.7,-12.4,503.6,49,66,9,26,3,54,99%,96%,96%
2021,16.8,25.6,8.0,42.6,-7.8,194.3,24,42,2,19,1,71,98%,96%,95%
2022,16.7,25.1,8.4,42.6,-11.8,246.5,32,48,13,18,9,62,98%,96%,96%
2023,16.2,24.7,7.7,42.6,-8.0,403.0,46,60,8,26,6,67,98%,98%,93%
