Year ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
2000,18.1,17.4,16.1,41.0,-3.4,27.7,5,11,0,0,4,11,4%,4%,36%
2001,14.3,15.3,15.1,37.4,-12.0,55.1,11,17,1,3,14,20,3%,2%,49%
2002,10.6,15.2,7.5,37.2,-17.5,373.1,22,28,7,4,8,42,5%,5%,47%
2003,10.9,16.2,7.4,31.0,-4.4,50.6,10,17,2,5,15,32,1%,1%,65%
2004,18.6,22.2,13.0,37.2,-4.6,23.0,7,7,1,5,4,36,22%,17%,77%
2005,15.5,20.6,10.4,38.0,-5.0,51.2,13,22,4,1,18,49,38%,37%,77%
2006,15.5,20.8,10.2,38.4,-6.0,81.5,22,24,3,1,17,55,44%,40%,73%
2007,15.3,20.9,9.8,38.0,-7.8,229.5,45,67,6,14,26,53,96%,91%,89%
2008,15.3,20.5,10.0,38.0,-11.0,202.5,44,65,18,15,34,60,95%,94%,81%
2009,15.6,20.2,11.0,39.2,-11.2,282.2,37,68,2,12,56,27,84%,74%,65%
2010,16.5,21.5,11.5,37.4,-6.0,274.0,38,56,7,13,50,22,85%,74%,64%
2011,14.8,19.8,9.8,40.6,-4.2,352.9,53,80,10,29,29,61,98%,95%,99%
2012,15.9,21.1,10.8,38.4,-10.2,310.0,44,66,17,26,54,64,99%,94%,99%
2013,15.7,21.2,10.1,37.0,-7.6,319.0,42,64,8,18,29,43,98%,94%,98%
2014,16.0,21.6,10.3,38.6,-10.2,220.3,35,68,5,32,32,37,99%,96%,97%
2015,15.7,21.3,10.1,40.0,-7.6,336.6,44,68,6,16,44,33,99%,96%,98%
2016,14.9,20.3,9.6,38.8,-13.2,348.1,49,87,8,27,63,57,99%,96%,97%
2017,15.6,21.3,9.8,40.2,-10.3,174.0,34,61,14,21,24,60,99%,96%,98%
2018,8.3,12.8,3.7,24.3,-4.3,207.2,20,29,5,0,28,18,29%,28%,29%
2019,16.4,21.8,11.0,36.9,-1.2,75.9,16,20,0,7,26,2,39%,38%,38%
2020,15.9,21.5,10.2,39.5,-6.2,242.4,47,89,3,20,59,40,100%,97%,97%
2021,16.2,22.1,10.2,39.6,-6.3,196.4,32,57,11,17,55,45,98%,95%,97%
2022,16.1,22.1,10.0,40.0,-6.8,171.4,36,63,4,21,36,44,98%,97%,98%
2023,16.6,23.3,9.9,40.2,-5.6,236.1,37,75,7,29,30,55,100%,97%,97%
