Year ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
2000,9.2,15.7,2.6,34.0,-20.6,718.0,12,16,6,24,4,119,17%,18%,45%
2001,9.6,16.5,2.7,34.6,-22.4,60.5,14,31,10,14,5,134,25%,21%,55%
2002,8.4,14.7,2.1,33.2,-26.8,105.9,24,51,10,19,3,132,23%,22%,41%
2003,5.8,13.4,2.9,38.5,-18.8,86.5,28,43,26,22,9,129,4%,3%,65%
2004,11.6,19.1,4.2,35.2,-22.8,119.4,25,46,26,18,1,137,22%,20%,72%
2005,8.4,15.5,1.4,34.2,-24.2,46.3,9,22,11,12,4,142,40%,40%,72%
2006,8.9,15.8,2.1,36.6,-25.2,45.6,14,25,17,6,12,137,45%,44%,72%
2007,8.5,15.6,1.4,34.0,-25.0,138.2,33,60,27,36,21,142,93%,89%,70%
2008,9.0,16.4,1.5,36.4,-26.2,170.1,42,73,35,41,14,131,96%,93%,83%
2009,9.3,15.8,2.7,32.6,-19.0,222.0,50,85,43,26,11,129,84%,74%,62%
2010,11.0,18.5,3.6,34.4,-16.6,193.4,40,68,21,30,4,121,85%,76%,64%
2011,8.3,15.4,1.3,37.4,-23.8,1278.4,62,97,49,34,19,141,99%,96%,95%
2012,9.4,16.4,2.3,34.6,-21.8,274.7,51,99,47,56,4,130,98%,96%,98%
2013,8.9,16.2,1.6,34.6,-26.6,187.9,46,76,30,22,12,142,98%,98%,98%
2014,9.6,16.6,2.6,37.2,-24.0,307.9,52,95,39,58,15,135,98%,97%,97%
2015,9.7,17.0,2.4,37.0,-16.6,209.0,46,90,34,55,24,140,99%,95%,98%
2016,9.4,16.8,2.0,36.0,-22.8,884.1,41,66,37,41,8,139,98%,96%,98%
2017,9.4,17.0,1.9,35.8,-21.2,107.5,27,50,29,38,15,140,99%,98%,99%
2018,10.7,17.7,3.7,37.0,-20.2,235.8,54,95,31,64,8,119,100%,96%,97%
2019,9.6,16.7,2.4,36.8,-17.6,243.9,46,78,47,50,13,140,99%,98%,99%
2020,8.5,15.6,1.4,36.4,-25.6,249.0,54,94,49,62,31,147,100%,96%,98%
2021,9.9,17.6,2.2,35.4,-30.0,170.4,36,53,19,50,19,138,97%,95%,97%
2022,9.7,17.7,1.7,39.4,-24.6,190.4,40,74,37,38,12,142,98%,98%,97%
2023,9.9,18.6,1.3,36.6,-26.6,264.3,44,78,24,46,11,133,99%,99%,97%
