Year ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
2000,16.4,24.5,8.3,39.2,-8.6,973.6,15,18,0,1,3,64,34%,28%,67%
2001,17.5,26.1,9.0,40.2,-16.3,95.1,15,21,5,0,1,65,33%,28%,74%
2002,16.9,25.4,8.5,39.4,-9.0,38.1,8,13,0,1,0,69,43%,37%,81%
2003,17.4,22.5,11.9,40.8,-10.8,54.0,13,25,1,3,2,68,3%,5%,79%
2004,19.4,28.2,9.9,41.6,-7.8,47.9,9,15,1,0,0,35,29%,27%,83%
2005,16.6,24.7,8.4,40.6,-9.7,31.0,3,10,0,2,1,76,50%,47%,84%
2006,16.9,25.2,8.6,41.0,-31.6,11.0,6,10,5,2,0,69,53%,50%,84%
2007,16.2,25.3,7.2,39.4,-14.0,125.7,22,29,1,4,3,82,96%,97%,86%
2008,16.9,25.8,8.1,40.2,-14.2,83.8,15,32,14,4,7,70,94%,95%,87%
2009,17.1,25.5,8.7,40.2,-10.6,135.4,16,31,3,12,6,59,91%,87%,79%
2010,17.2,26.3,8.0,46.0,-12.8,25.8,7,13,0,9,0,82,89%,85%,66%
2011,16.9,25.7,8.0,39.2,-10.4,146.4,22,33,5,15,6,81,99%,98%,96%
2012,16.2,24.4,7.9,41.0,-10.8,149.4,26,36,1,12,6,78,99%,100%,97%
2013,17.3,26.2,8.3,40.8,-13.0,135.0,19,32,4,9,0,65,99%,99%,97%
2014,16.1,25.2,7.1,40.8,-20.8,141.8,20,31,13,11,9,102,99%,98%,99%
2015,17.0,25.7,8.3,39.1,-9.5,144.9,24,42,9,6,2,73,99%,99%,99%
2016,17.5,26.8,8.1,40.9,-8.9,54.9,11,31,7,12,2,64,99%,98%,96%
2017,17.0,26.2,7.7,41.0,-12.1,91.6,16,32,3,13,1,72,100%,99%,98%
2018,17.3,26.5,8.0,40.6,-10.2,81.9,14,37,3,11,3,73,99%,98%,97%
2019,17.0,25.5,8.5,40.6,-9.5,123.9,22,44,3,15,2,78,100%,99%,97%
2020,16.4,24.8,8.1,40.4,-9.9,208.1,31,47,2,13,3,69,99%,98%,98%
2021,17.5,26.4,8.6,40.9,-11.6,53.2,11,21,2,7,4,61,98%,98%,97%
2022,17.5,26.4,8.6,40.4,-9.5,89.7,15,32,2,7,0,60,99%,98%,97%
2023,17.7,27.1,8.3,41.6,-7.5,76.5,14,27,3,12,4,70,100%,100%,97%
