Year ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
2000,18.9,22.8,14.9,40.6,-2.2,136.0,21,40,2,3,4,14,34%,27%,70%
2001,19.2,23.8,14.6,40.8,-5.0,83.9,23,48,2,11,0,13,35%,30%,70%
2002,18.6,23.1,14.2,50.3,-3.6,185.1,34,62,11,16,4,25,40%,33%,73%
2003,14.3,16.8,14.5,42.2,-6.3,147.7,31,44,9,6,1,17,3%,4%,74%
2004,22.1,26.6,17.5,39.4,-5.6,293.3,21,41,4,12,0,13,29%,23%,73%
2005,18.7,23.0,14.4,42.0,-7.0,105.4,16,25,8,10,0,22,50%,46%,74%
2006,19.0,23.8,14.1,41.6,-6.0,361.4,34,48,12,28,3,28,74%,71%,71%
2007,18.4,23.4,13.3,40.2,-9.2,289.9,54,71,12,30,4,29,96%,94%,91%
2008,18.4,23.6,13.2,42.6,-10.8,127.9,31,47,19,20,11,49,98%,96%,88%
2009,18.1,23.0,13.1,41.6,-3.8,210.8,42,65,11,23,8,15,98%,92%,86%
2010,19.6,24.7,14.5,42.2,-5.3,150.6,27,43,3,14,2,6,97%,93%,84%
2011,17.7,22.6,12.9,42.2,-6.0,354.0,56,78,14,24,4,40,98%,95%,96%
2012,17.8,22.7,13.0,39.6,-6.0,234.1,51,61,9,21,4,35,98%,97%,96%
2013,18.5,23.7,13.3,42.6,-5.4,150.2,29,43,5,19,1,30,99%,96%,97%
2014,18.4,23.3,13.5,41.6,-7.6,113.5,30,52,7,31,2,22,98%,96%,94%
2015,18.8,23.7,13.9,42.2,-3.4,199.5,40,59,5,31,2,11,99%,94%,92%
2016,18.7,23.9,13.5,41.2,-7.2,822.4,35,52,6,20,2,24,98%,97%,95%
2017,18.6,23.7,13.6,41.2,-5.4,258.2,36,51,7,18,1,15,99%,97%,98%
2018,19.1,23.9,14.3,41.4,-8.4,345.0,49,70,5,27,3,8,98%,96%,98%
2019,18.4,23.3,13.4,41.6,-2.8,326.3,41,56,6,18,1,14,99%,96%,99%
2020,17.7,22.5,12.9,40.6,-7.4,412.3,49,65,10,31,5,21,99%,96%,97%
2021,19.6,24.6,14.7,41.6,-4.9,135.8,28,40,3,29,0,14,97%,97%,96%
2022,19.3,24.2,14.4,42.0,-4.1,123.2,25,42,2,25,0,11,98%,97%,97%
2023,19.2,24.5,13.9,40.5,-4.1,153.7,29,46,9,28,1,28,100%,97%,97%
