Year ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
2000,10.8,17.5,4.2,37.8,-15.8,528.1,40,56,21,18,12,115,31%,27%,64%
2001,11.0,18.7,3.3,37.2,-82.9,96.8,21,45,19,20,6,105,35%,33%,72%
2002,11.2,17.8,4.5,35.2,-16.0,144.3,34,57,14,21,8,107,39%,38%,65%
2003,11.1,17.3,4.9,37.6,-12.6,158.7,34,64,19,25,4,108,33%,32%,59%
2004,11.1,18.1,4.2,35.4,-12.8,110.3,24,35,22,32,6,110,74%,69%,68%
2005,11.0,17.7,4.3,37.6,-20.6,84.2,15,26,9,18,2,120,40%,38%,70%
2006,11.7,18.2,5.2,37.0,-24.8,80.6,21,42,21,11,2,116,47%,41%,66%
2007,10.9,17.8,4.1,35.6,-25.0,401.0,53,90,42,47,8,115,96%,93%,78%
2008,11.3,18.6,4.0,37.6,-25.2,265.2,44,68,21,26,5,111,97%,95%,88%
2009,11.4,18.3,4.5,38.2,-14.6,327.3,52,85,31,33,6,104,96%,94%,75%
2010,13.3,20.7,5.9,40.0,-14.6,288.8,36,56,11,22,10,91,97%,92%,81%
2011,11.1,18.1,4.2,38.0,-23.0,360.3,57,90,31,34,17,122,100%,97%,94%
2012,11.6,18.3,4.9,35.4,-22.6,391.2,59,102,48,43,12,106,99%,96%,92%
2013,11.8,19.1,4.4,38.6,-18.6,316.0,51,70,19,18,18,101,98%,97%,94%
2014,12.6,19.7,5.6,39.5,-14.8,305.4,50,81,23,26,14,106,96%,92%,94%
2015,13.8,21.2,6.5,40.5,-12.1,260.6,38,69,28,27,7,95,98%,97%,96%
2016,13.5,21.0,6.1,39.3,-14.7,224.5,47,81,32,27,10,79,99%,98%,94%
2017,13.8,21.5,6.0,39.2,-15.6,165.3,34,58,28,13,13,98,100%,98%,94%
2018,13.5,20.7,6.3,40.0,-13.2,328.4,61,103,24,45,10,75,99%,97%,96%
2019,12.2,19.6,4.9,39.7,-10.9,370.6,53,90,39,29,15,115,99%,97%,96%
2020,11.8,19.0,4.5,38.9,-21.0,375.1,65,109,50,37,35,111,100%,97%,96%
2021,13.5,21.7,5.3,38.3,-12.6,129.7,30,60,13,30,8,110,97%,96%,96%
2022,12.9,20.7,5.1,39.4,-20.9,199.5,38,72,28,23,17,109,99%,97%,95%
2023,12.7,20.6,4.7,38.1,-13.5,288.0,47,67,24,25,10,101,99%,98%,97%
