Year ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
2000,15.7,19.4,12.1,36.2,-2.8,299.8,37,50,0,7,11,3,16%,14%,31%
2001,16.8,20.9,12.8,35.2,-6.8,588.0,58,82,5,8,18,9,22%,18%,39%
2002,16.3,19.9,12.8,34.4,-5.4,483.1,64,94,4,15,19,20,17%,15%,33%
2003,11.4,18.2,0.7,32.8,-33.3,412.2,57,84,1,15,21,13,3%,2%,42%
2004,18.9,23.2,14.5,33.4,-2.4,236.5,34,47,0,13,17,5,17%,16%,48%
2005,10.9,14.9,7.0,32.2,-5.8,133.4,16,21,5,1,4,15,15%,15%,20%
2006,-,18.8,20.8,18.8,20.8,-,-,-,0,0,0,0,0%,0%,0%
2007,15.3,13.5,15.3,22.6,6.4,16.6,3,5,0,2,0,0,2%,1%,0%
2008,16.4,20.5,12.4,38.0,-12.4,992.0,85,117,6,38,60,20,83%,79%,79%
2009,16.5,19.9,13.1,33.6,-2.8,845.0,69,103,3,20,57,5,72%,65%,53%
2010,18.1,21.7,14.5,35.6,-1.8,691.8,68,102,6,25,67,3,79%,69%,45%
2011,16.1,19.9,12.3,37.0,-1.4,2325.6,110,143,3,44,34,9,96%,92%,93%
2012,17.1,21.3,12.9,37.4,-2.4,1215.7,85,118,19,49,60,15,99%,94%,97%
2013,16.9,21.3,12.5,37.2,-2.2,1304.1,86,126,4,24,53,6,98%,95%,99%
2014,17.1,21.1,13.0,37.5,-8.2,1136.3,87,113,12,42,83,13,98%,94%,98%
2015,17.1,21.0,13.2,36.4,-1.4,1494.2,89,117,10,29,56,2,98%,93%,98%
2016,16.9,20.8,13.0,36.0,-5.0,1423.1,94,123,10,35,55,13,97%,93%,98%
2017,17.1,21.3,12.9,38.6,-7.0,917.7,75,103,8,17,80,14,98%,93%,99%
2018,17.7,21.6,13.8,36.4,-3.4,950.8,84,122,3,32,62,3,98%,92%,98%
2019,17.4,21.4,13.4,34.5,1.0,1640.3,105,131,0,31,76,0,98%,95%,99%
2020,17.0,20.9,13.1,35.5,-9.0,1554.2,105,135,4,39,52,6,99%,95%,99%
2021,17.6,21.8,13.4,36.0,-1.8,1143.5,74,93,4,29,63,5,96%,92%,97%
2022,17.6,21.8,13.3,39.4,-2.0,1040.6,89,114,5,22,52,3,97%,94%,97%
2023,17.9,22.6,13.1,35.2,-1.0,1184.2,85,115,2,39,64,9,98%,95%,99%
