Year ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
2000,18.2,22.4,14.1,40.2,-2.8,97.1,17,26,0,13,4,4,18%,16%,40%
2001,19.5,23.8,15.1,41.8,-3.2,114.0,27,41,3,11,4,11,22%,16%,40%
2002,18.3,22.9,13.7,52.2,-7.8,288.5,42,65,1,10,9,17,18%,13%,28%
2003,8.9,18.1,9.1,36.4,-2.8,440.8,52,82,0,18,7,7,2%,2%,55%
2004,21.5,26.2,16.9,38.6,0.3,86.9,16,27,0,4,8,0,20%,19%,66%
2005,18.5,22.9,14.2,38.8,-7.0,160.8,22,35,2,17,2,9,36%,24%,42%
2006,18.5,23.2,13.9,44.4,-4.0,182.0,23,41,4,5,7,15,43%,41%,62%
2007,18.6,23.4,13.9,40.2,-4.0,52.0,15,25,1,4,4,10,70%,64%,1%
2009,-,-,23.6,-,22.4,-,-,-,0,0,0,0,0%,0%,0%
2010,29.7,29.4,29.8,45.1,14.8,0.0,0,0,0,0,0,0,2%,1%,0%
2011,12.8,14.0,11.5,26.0,-0.2,12.3,3,3,0,1,6,3,6%,5%,5%
2012,18.2,23.8,12.6,40.2,-3.4,720.7,69,92,12,34,23,39,98%,93%,94%
2013,18.2,23.9,12.5,42.8,-3.0,521.2,63,83,2,23,16,26,98%,95%,95%
2014,18.2,24.2,12.1,41.0,-7.4,335.8,41,61,6,24,22,31,98%,96%,95%
2015,18.3,24.6,12.0,46.2,-4.0,405.5,58,84,2,24,22,26,97%,96%,99%
2016,17.8,23.6,12.0,42.2,-5.9,579.6,79,113,7,23,25,28,99%,96%,98%
2017,18.3,24.6,12.1,42.8,-4.0,384.7,51,76,4,25,18,31,99%,97%,99%
2018,18.7,24.5,12.8,43.5,-3.6,371.3,61,93,1,19,33,12,99%,95%,98%
2019,18.3,24.1,12.4,41.9,-3.1,753.0,65,95,1,28,21,20,98%,97%,99%
2020,17.7,23.8,11.7,44.4,-3.4,389.9,66,96,2,25,26,25,100%,97%,98%
2021,18.9,25.3,12.5,46.3,-6.2,261.7,38,59,2,16,28,30,97%,95%,97%
2022,18.5,24.8,12.3,44.2,-3.5,412.0,59,78,1,23,20,20,98%,98%,97%
2023,18.8,25.7,11.8,42.0,-8.7,307.7,43,78,2,31,12,37,99%,98%,99%
