Year ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
2000,17.4,18.1,15.6,39.0,-19.7,109.0,14,20,0,3,3,3,4%,3%,26%
2001,20.8,22.7,17.9,52.5,-2.8,160.6,20,34,3,7,5,10,2%,3%,44%
2002,16.3,16.2,15.9,38.4,-4.6,267.1,33,45,4,9,4,15,5%,4%,42%
2003,12.5,13.2,14.5,34.4,-3.2,120.5,18,27,3,10,1,23,2%,2%,60%
2004,20.2,26.5,13.8,38.8,-8.6,78.7,18,30,1,11,3,38,21%,20%,74%
2005,16.2,22.2,10.1,39.0,-13.2,111.6,17,19,6,9,6,41,41%,43%,78%
2006,16.3,22.2,10.5,39.2,-7.8,195.9,24,33,5,19,2,50,49%,45%,70%
2007,16.5,23.2,9.9,44.8,-7.9,338.2,40,54,11,28,8,53,94%,93%,75%
2008,16.9,23.6,10.2,41.4,-13.0,301.0,32,45,12,29,30,52,94%,94%,76%
2009,16.5,22.4,10.6,39.6,-6.2,317.6,37,61,5,26,8,40,83%,76%,58%
2010,18.4,24.9,11.9,39.6,-26.4,370.9,41,46,5,31,4,15,85%,75%,58%
2011,16.0,22.9,9.2,42.0,-7.6,1010.1,42,57,10,27,13,59,99%,98%,91%
2012,16.8,23.4,10.2,40.4,-11.8,436.7,51,63,13,28,16,56,98%,96%,93%
2013,16.7,23.6,9.8,40.8,-11.0,529.1,46,57,5,29,4,42,98%,98%,93%
2014,17.1,23.9,10.3,41.6,-5.0,537.9,56,66,7,32,6,33,99%,96%,94%
2015,17.9,24.8,11.1,44.4,-8.2,617.8,46,61,8,33,7,39,100%,97%,96%
2016,17.6,24.5,10.7,41.6,-6.6,459.2,43,59,6,22,5,38,99%,97%,88%
2017,17.8,24.9,10.7,41.3,-9.2,425.7,37,49,7,25,1,42,99%,97%,86%
2018,17.8,24.5,11.0,41.2,-4.3,944.2,65,78,3,56,5,28,98%,97%,93%
2019,17.2,24.0,10.3,41.4,-5.4,728.4,54,68,6,39,5,45,99%,97%,96%
2020,17.6,24.5,10.7,42.0,-11.3,577.8,46,66,11,33,8,35,100%,98%,96%
2021,18.6,26.0,11.2,42.2,-5.5,214.4,21,36,2,14,2,28,98%,97%,94%
2022,18.0,25.0,11.0,41.9,-13.9,277.9,35,48,8,18,14,38,98%,98%,94%
2023,17.4,24.5,10.3,40.6,-7.3,646.1,48,61,2,27,5,41,99%,98%,92%
