Year ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
2000,19.2,22.9,15.4,40.0,-2.8,16.8,4,6,0,2,2,9,22%,16%,38%
2001,19.6,24.6,14.7,42.0,-4.0,31.1,10,14,3,6,3,15,31%,23%,48%
2002,19.0,24.3,13.7,42.0,-11.4,82.1,10,18,2,6,2,43,28%,24%,47%
2003,7.6,15.5,6.2,39.0,-12.2,78.7,18,23,2,4,1,34,4%,3%,69%
2004,22.0,27.2,16.7,41.4,-2.4,89.8,15,25,1,2,3,18,26%,21%,81%
2005,18.4,23.5,13.3,42.4,-6.2,17.0,6,6,1,2,1,37,42%,38%,79%
2006,18.8,23.9,13.7,43.0,-6.6,79.5,11,22,7,4,3,49,49%,44%,79%
2007,18.0,23.6,12.3,41.8,-6.2,212.5,39,47,3,27,3,45,95%,94%,77%
2008,18.5,24.3,12.8,42.2,-13.0,44.3,16,26,13,4,3,60,96%,95%,78%
2009,18.8,24.0,13.6,42.4,-4.8,108.0,26,42,2,18,3,24,84%,77%,59%
2010,19.9,25.6,14.3,42.0,-4.4,64.6,17,29,0,8,1,20,85%,77%,60%
2011,18.4,24.0,12.7,43.2,-5.0,156.8,33,54,7,14,3,60,99%,98%,90%
2012,18.0,23.5,12.4,42.2,-6.0,147.7,27,40,9,14,7,60,99%,98%,93%
2013,19.2,24.9,13.5,43.2,-7.0,106.2,15,27,0,8,2,42,99%,99%,95%
2014,19.0,24.6,13.4,43.0,-8.4,91.7,21,33,4,12,2,31,100%,98%,95%
2015,19.2,24.7,13.7,42.6,-3.6,132.7,25,45,4,21,3,30,98%,98%,97%
2016,19.1,24.7,13.4,42.4,-9.0,152.7,20,34,6,16,3,37,99%,97%,98%
2017,19.0,24.8,13.2,41.4,-3.8,74.4,13,30,4,11,1,35,100%,97%,97%
2018,19.5,24.9,14.1,43.0,-5.4,122.6,30,51,2,18,3,16,100%,96%,97%
2019,18.8,24.1,13.4,43.0,-2.4,207.8,25,46,1,16,6,21,99%,98%,97%
2020,18.3,23.6,12.9,41.0,-8.8,160.4,33,51,5,21,3,33,99%,98%,97%
2021,19.7,25.5,14.0,44.4,-6.0,83.3,10,26,2,21,1,33,97%,96%,95%
2022,19.6,25.3,13.8,43.0,-6.0,64.6,18,33,2,16,3,26,98%,97%,96%
2023,19.7,25.4,13.9,42.4,-10.6,74.3,16,39,6,17,8,40,100%,99%,95%
