Year ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
2000,14.0,20.3,7.7,39.4,-22.6,341.0,29,38,11,6,9,88,34%,27%,68%
2001,14.8,21.2,8.4,38.0,-17.6,172.5,22,36,8,9,9,77,31%,27%,69%
2002,14.0,20.5,7.5,39.6,-17.8,188.4,31,54,14,7,12,92,45%,41%,77%
2003,14.2,20.5,7.8,42.6,-11.8,251.7,37,59,11,7,12,87,44%,39%,73%
2004,14.5,21.3,7.8,38.8,-9.2,203.9,28,47,11,18,12,78,76%,72%,77%
2005,14.0,20.3,7.7,39.6,-23.4,68.4,12,24,11,10,12,76,46%,44%,78%
2006,14.3,20.6,8.1,40.6,-19.6,132.1,27,39,21,5,20,87,52%,48%,77%
2007,14.1,20.8,7.5,39.0,-15.4,491.2,55,91,23,27,23,88,97%,93%,85%
2008,13.6,20.5,6.6,40.6,-29.6,171.4,29,61,23,5,29,86,95%,95%,84%
2009,14.3,21.0,7.7,40.6,-11.0,301.5,49,84,20,18,26,73,93%,92%,73%
2010,15.8,23.0,8.6,40.4,-12.4,244.6,29,48,6,16,10,68,91%,86%,63%
2011,14.0,20.9,7.0,39.8,-17.0,250.2,42,70,22,9,40,97,98%,95%,83%
2012,14.3,21.1,7.5,40.2,-12.0,289.7,44,64,16,13,16,89,98%,94%,87%
2013,15.0,22.1,8.0,41.6,-11.6,190.6,36,55,13,7,17,66,98%,97%,93%
2014,14.4,21.2,7.7,40.4,-22.0,380.7,40,61,26,15,26,89,98%,96%,96%
2015,15.0,21.9,8.2,40.2,-8.8,294.9,42,75,17,17,35,76,98%,97%,97%
2016,15.2,22.6,7.8,39.8,-14.0,287.7,35,50,11,12,5,72,100%,98%,98%
2017,15.0,22.4,7.7,38.8,-14.2,247.6,33,57,17,14,13,92,99%,99%,96%
2018,15.7,22.3,9.1,39.8,-11.6,423.2,54,85,12,36,14,53,98%,97%,96%
2019,14.8,21.7,7.9,40.2,-8.0,501.4,48,76,22,25,18,89,98%,96%,96%
2020,14.6,21.5,7.8,39.6,-13.8,380.1,45,74,21,18,33,80,100%,98%,98%
2021,15.9,23.3,8.5,39.8,-8.8,185.0,27,44,7,15,10,70,98%,96%,96%
2022,15.6,22.9,8.3,40.8,-11.4,198.4,25,52,19,5,20,68,99%,98%,95%
2023,15.3,22.8,7.8,48.8,-15.8,177.7,30,52,20,14,23,85,99%,99%,97%
