Year ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
2000,11.2,15.3,7.1,36.2,-16.2,27.1,8,18,2,16,3,71,18%,17%,41%
2001,11.9,17.2,6.6,37.4,-16.6,81.1,20,33,9,5,6,84,25%,22%,50%
2002,11.1,16.5,6.2,35.0,-18.6,74.2,22,41,8,15,2,82,22%,21%,40%
2003,8.2,11.0,7.2,27.0,-14.1,116.7,31,57,20,32,3,90,2%,2%,60%
2004,13.9,19.4,8.4,34.2,-19.0,895.9,28,49,15,18,3,94,21%,20%,69%
2005,11.0,16.1,5.8,36.6,-17.6,39.2,8,23,12,18,1,102,39%,40%,69%
2006,11.3,16.7,6.0,37.2,-15.0,83.9,18,31,13,20,6,106,44%,43%,72%
2007,10.5,16.1,5.0,35.4,-15.2,1115.7,59,97,40,42,18,111,96%,91%,86%
2008,11.0,16.7,5.4,36.6,-23.2,200.4,40,73,34,47,12,86,95%,92%,79%
2009,11.5,16.6,6.3,33.0,-18.6,144.6,43,72,18,48,13,78,83%,72%,59%
2010,13.3,19.1,7.5,34.5,-12.8,211.3,42,58,22,32,14,61,84%,74%,62%
2011,10.3,15.6,5.0,37.8,-15.2,320.7,64,101,51,38,15,122,98%,93%,95%
2012,11.6,17.1,6.0,35.0,-18.4,276.5,60,91,36,51,6,98,98%,94%,97%
2013,11.4,17.2,5.6,35.2,-15.2,298.4,49,71,24,25,11,78,99%,96%,99%
2014,12.0,17.7,6.3,37.4,-18.2,271.7,50,78,23,56,18,87,99%,96%,97%
2015,12.1,18.1,6.2,39.3,-17.4,386.1,55,86,31,49,12,91,98%,94%,98%
2016,12.1,18.1,6.1,38.6,-19.4,271.0,50,86,33,27,11,80,99%,95%,97%
2017,12.3,18.5,6.1,38.0,-19.9,213.3,38,67,27,23,3,93,100%,96%,98%
2018,12.9,18.7,7.1,39.3,-19.6,311.8,68,100,23,28,20,61,99%,96%,98%
2019,12.3,18.3,6.2,39.4,-7.2,267.1,52,96,38,23,6,88,99%,97%,99%
2020,11.6,17.2,5.9,38.6,-14.4,392.7,66,104,39,41,9,96,100%,96%,97%
2021,13.1,19.3,6.9,39.9,-17.7,164.0,35,58,18,22,3,76,97%,94%,96%
2022,12.3,18.3,6.3,36.1,-15.8,241.0,46,86,26,23,6,96,98%,97%,97%
2023,12.9,19.3,6.6,36.0,-11.1,218.8,40,72,18,27,2,75,99%,97%,97%
