Year ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
2000,18.0,23.0,13.0,39.2,-20.4,13.3,7,9,1,3,1,15,24%,19%,48%
2001,18.9,24.3,13.5,41.8,-10.8,41.6,10,16,2,4,1,26,31%,23%,55%
2002,19.0,24.4,13.6,41.6,-7.4,128.7,22,30,2,3,1,33,28%,23%,44%
2003,11.3,15.1,7.4,38.2,-4.4,80.0,20,27,3,6,2,27,4%,3%,69%
2004,21.2,24.4,15.3,42.4,-4.0,237.2,23,27,1,11,4,17,28%,22%,79%
2005,17.9,23.2,12.6,43.0,-6.8,22.6,7,12,3,11,1,32,43%,40%,79%
2006,18.9,24.3,13.5,42.4,-6.8,50.6,11,13,4,3,3,33,49%,44%,77%
2007,17.7,23.6,11.8,41.0,-7.8,195.9,40,53,5,15,8,37,95%,94%,86%
2008,17.9,23.7,12.1,41.2,-15.8,63.1,14,27,13,8,6,57,95%,95%,83%
2009,18.2,23.1,13.2,40.4,-4.0,227.6,42,62,1,28,7,15,84%,73%,62%
2010,19.1,24.6,13.5,42.2,-5.8,106.4,16,28,1,7,1,23,85%,75%,63%
2011,18.1,23.9,12.4,41.2,-6.4,142.4,26,48,8,14,4,59,99%,98%,98%
2012,17.3,23.1,11.5,41.6,-7.6,215.6,34,51,7,20,1,47,100%,99%,97%
2013,18.7,24.9,12.5,42.0,-8.2,143.4,28,44,2,12,1,34,99%,98%,98%
2014,17.9,24.1,11.8,42.6,-12.0,174.9,25,38,6,9,1,42,99%,97%,97%
2015,18.8,24.7,12.8,41.6,-5.0,149.0,26,42,4,15,3,30,98%,97%,99%
2016,19.2,25.3,13.0,41.3,-9.3,157.1,25,35,1,24,2,36,98%,98%,98%
2017,18.9,24.9,12.8,42.1,-5.1,147.0,21,29,3,13,1,36,100%,98%,98%
2018,18.9,24.8,12.9,41.2,-5.2,158.1,22,35,2,9,0,17,100%,97%,98%
2019,18.2,24.0,12.4,42.6,-3.4,275.1,35,51,2,21,7,20,100%,96%,98%
2020,17.3,23.2,11.4,41.4,-5.9,356.9,40,56,8,20,4,39,100%,97%,97%
2021,19.2,25.6,12.7,43.2,-7.1,109.2,16,26,0,10,3,35,98%,95%,96%
2022,19.3,25.5,13.0,42.3,-6.1,83.6,16,31,1,12,4,29,98%,98%,97%
2023,19.4,25.7,13.1,42.5,-11.8,94.0,21,33,4,8,3,35,99%,98%,97%
