Year ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
2000,21.9,26.0,17.7,41.6,-6.2,8.0,3,3,0,3,0,12,37%,14%,0%
2001,23.3,27.6,19.0,43.6,-5.8,49.5,1,2,1,1,0,21,40%,16%,1%
2002,20.6,27.1,14.1,42.0,-6.6,6.8,1,4,0,4,0,29,38%,13%,0%
2003,23.9,24.5,23.2,43.0,-18.8,1.7,0,5,0,3,0,4,12%,10%,0%
2004,22.7,25.9,19.4,42.8,-3.2,14.8,2,4,0,4,0,12,31%,9%,1%
2005,21.7,26.0,16.6,44.4,-6.6,4.2,1,3,0,0,0,29,47%,12%,0%
2006,21.2,27.4,15.0,42.4,-8.2,24.4,3,5,0,5,0,32,48%,43%,76%
2007,20.1,27.2,12.9,42.2,-8.8,97.3,17,27,0,18,0,37,92%,93%,67%
2008,20.0,27.3,12.7,44.2,-10.0,84.0,17,26,12,11,8,52,94%,93%,81%
2009,20.3,26.9,13.7,43.0,-5.5,124.1,18,28,0,12,3,23,83%,74%,64%
2010,21.1,28.4,13.8,44.4,-6.0,20.9,6,9,0,11,0,29,85%,76%,62%
2011,20.5,27.5,13.4,42.2,-6.8,116.6,24,30,1,15,2,42,98%,99%,95%
2012,19.6,26.6,12.6,42.6,-7.0,108.1,19,33,0,18,8,44,99%,99%,98%
2013,20.6,28.2,13.0,44.6,-15.9,31.6,13,19,0,17,1,39,99%,100%,98%
2014,19.8,27.2,12.5,44.2,-9.0,159.6,19,31,7,23,5,48,99%,98%,96%
2015,20.7,27.7,13.7,42.9,-5.2,161.6,25,33,3,9,5,31,99%,98%,62%
2016,21.2,28.7,13.7,43.6,-4.0,77.8,17,28,3,22,0,23,98%,98%,96%
2017,20.8,28.3,13.4,45.1,-7.0,57.4,6,18,1,8,0,37,100%,98%,98%
2018,20.9,28.4,13.3,43.7,-5.5,45.6,12,20,0,6,0,38,99%,98%,96%
2019,20.5,27.5,13.4,44.8,-4.3,103.9,17,30,0,8,1,27,97%,97%,94%
2020,19.7,26.9,12.6,43.6,-5.0,157.9,24,41,0,12,0,35,99%,97%,92%
2021,21.0,28.8,13.3,44.0,-6.0,46.2,9,13,0,13,0,34,97%,96%,94%
2022,21.3,28.9,13.8,45.0,-3.3,135.7,13,20,0,10,0,26,98%,98%,96%
2023,21.3,29.0,13.7,44.6,-8.2,50.5,9,22,3,17,1,29,99%,99%,93%
