Year ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
2000,12.5,17.9,7.1,38.6,-13.2,58.9,11,21,3,0,3,83,24%,20%,44%
2001,14.0,20.1,7.8,40.4,-20.4,104.5,23,38,8,4,1,77,30%,25%,53%
2002,13.7,20.5,7.0,52.2,-13.6,1084.2,21,34,7,3,0,83,28%,27%,46%
2003,6.9,11.5,8.1,33.2,-11.4,121.5,24,42,5,3,2,89,3%,3%,61%
2004,16.0,22.8,10.9,36.4,-16.6,122.4,21,33,10,10,1,81,28%,23%,69%
2005,12.0,18.4,5.6,42.0,-17.6,112.2,14,23,12,10,0,95,42%,40%,75%
2006,12.3,18.4,6.3,38.0,-17.2,194.7,34,46,17,7,0,99,49%,43%,68%
2007,12.5,19.0,5.9,37.0,-17.6,818.7,58,78,41,27,6,98,95%,93%,87%
2008,12.7,19.5,5.9,36.6,-24.8,256.9,36,58,27,8,11,88,95%,93%,82%
2009,13.1,19.2,6.9,37.8,-11.6,346.2,47,71,39,9,5,97,83%,75%,60%
2010,14.8,21.3,8.2,38.6,-13.0,206.9,28,45,11,10,2,59,85%,75%,59%
2011,12.9,19.5,6.2,37.2,-15.4,1217.5,41,56,30,11,5,104,99%,97%,95%
2012,12.9,19.3,6.5,36.6,-13.2,400.7,45,63,28,13,4,97,99%,97%,94%
2013,13.4,20.1,6.6,39.0,-14.0,321.5,34,55,19,14,3,79,99%,96%,98%
2014,12.9,19.5,6.3,36.8,-19.4,357.4,51,70,32,21,13,102,99%,97%,98%
2015,13.4,19.9,7.0,36.6,-11.8,455.7,49,76,27,32,11,85,99%,96%,99%
2016,13.5,20.4,6.7,41.0,-11.8,381.2,42,67,19,17,2,86,99%,96%,98%
2017,13.7,20.7,6.8,41.0,-13.7,238.3,32,50,31,21,3,95,100%,97%,99%
2018,14.1,20.7,7.6,37.6,-12.7,444.2,47,78,24,30,5,61,99%,97%,98%
2019,12.7,19.2,6.2,37.9,-12.5,614.6,56,84,34,25,8,107,99%,96%,98%
2020,13.2,19.8,6.5,36.3,-14.8,458.8,54,74,25,23,4,83,99%,97%,97%
2021,14.6,21.8,7.5,38.8,-11.8,237.9,23,46,12,19,2,81,97%,95%,96%
2022,14.0,20.9,7.1,37.8,-14.8,329.4,36,50,20,10,5,87,98%,97%,97%
2023,13.5,20.8,6.3,44.7,-13.4,181.2,33,52,22,17,2,90,99%,98%,97%
