Year ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
2000,16.6,18.9,14.5,34.0,0.2,1593.7,98,126,1,20,18,0,21%,18%,50%
2001,17.2,19.5,14.8,31.6,-0.6,1370.6,87,102,1,12,21,2,25%,24%,57%
2002,16.7,18.8,14.5,32.8,0.6,1091.1,85,119,1,19,17,0,28%,27%,57%
2003,15.5,19.1,9.4,43.3,-13.5,666.8,64,86,0,15,22,4,2%,3%,49%
2004,19.7,22.1,17.2,31.6,2.0,122.0,17,29,1,6,20,0,19%,19%,51%
2005,16.9,19.1,14.8,31.8,0.0,561.1,47,64,3,9,5,1,40%,39%,55%
2006,16.9,19.0,14.7,33.0,0.0,670.6,52,69,2,13,14,1,46%,45%,59%
2007,16.8,19.3,14.4,33.4,-3.9,1290.2,88,131,2,24,16,4,94%,87%,81%
2008,16.5,18.9,14.2,35.4,-5.8,1684.5,110,148,11,31,22,16,96%,88%,88%
2009,16.6,18.7,14.4,35.0,-1.8,1461.7,92,122,3,23,32,2,95%,88%,83%
2010,17.9,20.1,15.7,33.6,0.2,1359.7,88,117,2,20,30,0,96%,88%,82%
2011,16.5,18.9,14.0,34.8,1.0,2884.7,132,175,3,24,13,0,96%,88%,94%
2012,17.5,20.1,14.8,36.0,-0.4,1893.2,104,146,15,36,25,1,98%,89%,95%
2013,17.3,19.9,14.7,32.0,1.0,1605.2,99,128,2,6,18,0,97%,91%,98%
2014,17.3,19.7,14.8,33.4,-4.6,1547.2,94,122,6,31,26,8,98%,89%,96%
2015,17.5,20.1,14.9,34.6,1.4,1772.0,104,125,3,19,25,0,99%,89%,99%
2016,17.1,19.8,14.4,33.0,-2.0,2151.4,112,139,7,24,22,3,97%,88%,96%
2017,17.5,20.3,14.7,36.8,-1.2,1464.6,86,115,4,17,21,3,97%,92%,98%
2018,17.8,20.7,15.0,35.8,-0.4,1597.0,98,128,2,34,24,1,97%,89%,91%
2019,18.1,21.3,14.9,34.5,3.2,2016.6,112,136,0,25,26,0,97%,92%,92%
2020,17.8,21.2,14.4,35.8,-2.6,1875.2,104,138,2,34,23,1,99%,92%,95%
2021,18.3,21.8,14.8,36.3,0.6,1509.1,80,102,1,20,37,0,97%,89%,96%
2022,18.3,22.0,14.7,35.5,0.6,1409.3,103,126,2,13,23,0,98%,92%,96%
2023,18.5,22.4,14.6,35.9,0.0,1888.1,89,115,2,25,23,1,98%,94%,97%
