Year ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
2000,11.1,15.0,7.2,36.3,-20.4,79.3,24,40,3,28,6,88,21%,16%,43%
2001,11.5,16.0,7.0,36.6,-14.0,151.9,28,48,13,14,12,87,27%,21%,53%
2002,10.6,14.9,6.3,40.5,-19.6,128.7,36,72,20,41,4,102,27%,22%,36%
2003,5.8,12.9,5.0,33.6,-12.6,263.7,51,83,25,51,19,97,4%,3%,54%
2004,12.9,16.8,8.9,33.4,-14.6,194.0,32,54,19,35,5,109,21%,19%,65%
2005,10.5,15.0,6.0,34.8,-19.8,64.5,16,24,5,20,6,108,33%,34%,59%
2006,10.9,15.5,6.3,37.0,-18.6,71.2,12,25,6,19,11,111,43%,40%,63%
2007,10.3,15.2,5.3,34.0,-22.8,362.2,64,104,34,49,11,111,96%,93%,85%
2008,10.9,16.1,5.7,35.6,-22.0,233.3,47,86,27,58,9,94,95%,92%,81%
2009,11.0,15.4,6.6,31.2,-17.4,302.2,56,92,21,47,9,80,84%,75%,60%
2010,13.1,18.1,8.0,34.8,-11.0,275.7,56,83,15,44,6,70,84%,75%,62%
2011,10.2,15.0,5.4,38.4,-15.4,526.4,72,107,31,57,23,122,97%,94%,91%
2012,11.4,16.5,6.3,35.4,-15.6,295.3,55,108,33,58,9,114,98%,97%,96%
2013,10.9,16.1,5.7,34.0,-22.0,317.5,57,93,23,33,12,95,98%,94%,97%
2014,11.8,16.8,6.9,36.0,-21.4,279.4,65,108,22,66,21,88,97%,94%,96%
2015,12.3,17.5,7.0,38.0,-12.6,384.1,64,90,23,50,10,98,98%,95%,98%
2016,11.1,16.1,6.1,36.2,-17.4,308.7,62,104,36,57,22,97,98%,94%,97%
2017,11.1,16.5,5.7,36.8,-17.8,221.0,42,70,26,36,26,102,99%,96%,98%
2018,13.2,18.1,8.4,39.2,-7.8,477.9,70,111,18,52,16,59,98%,95%,98%
2019,12.2,17.7,6.7,37.4,-8.8,289.6,50,85,32,35,9,110,99%,97%,99%
2020,11.7,16.9,6.4,36.2,-14.2,299.5,54,94,26,37,13,98,100%,98%,98%
2021,12.5,18.3,6.8,37.8,-20.8,236.1,41,70,19,31,9,92,97%,96%,97%
2022,12.4,18.0,6.8,36.8,-13.4,185.1,42,72,23,35,8,107,98%,97%,97%
2023,12.6,18.6,6.6,37.4,-12.4,294.8,65,103,20,46,8,85,100%,99%,95%
