Year ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
2000,13.5,17.5,9.4,38.4,-13.6,35.6,9,21,3,14,0,52,22%,18%,46%
2001,14.4,19.6,9.2,38.0,-9.8,63.7,16,26,4,6,0,53,31%,23%,54%
2002,13.4,18.1,9.0,51.0,-11.0,799.5,21,37,13,12,0,73,26%,22%,41%
2003,9.6,14.8,9.7,36.0,-22.5,119.7,20,36,10,16,4,78,5%,5%,65%
2004,17.2,22.7,11.7,38.4,-12.0,84.3,19,28,10,10,2,77,25%,20%,76%
2005,13.4,18.8,8.0,38.4,-13.6,28.8,7,12,4,3,0,76,42%,41%,74%
2006,13.7,19.0,8.5,39.4,-18.4,71.6,17,26,7,10,0,96,49%,43%,70%
2007,13.4,18.9,7.9,37.6,-20.6,228.5,43,71,23,28,4,85,96%,91%,82%
2008,14.0,19.6,8.3,40.4,-15.6,1529.1,35,50,18,17,0,77,94%,93%,77%
2009,14.1,19.1,9.0,35.2,-11.2,189.5,34,62,7,25,0,61,83%,72%,54%
2010,15.8,21.4,10.2,37.6,-8.4,169.0,34,50,6,22,0,38,85%,75%,55%
2011,13.0,18.6,7.5,40.2,-16.0,285.4,49,65,30,20,9,97,98%,95%,93%
2012,14.5,20.1,8.9,39.0,-9.8,207.4,44,77,21,37,2,82,99%,98%,97%
2013,14.0,19.9,8.1,38.4,-17.6,202.5,39,64,17,28,9,66,99%,98%,99%
2014,14.7,20.4,9.0,39.8,-13.6,296.7,49,67,10,33,11,63,99%,95%,96%
2015,14.7,20.6,8.9,40.6,-7.8,261.5,40,79,19,32,11,79,99%,95%,98%
2016,14.4,20.3,8.5,39.2,-12.8,249.3,49,71,19,24,9,70,99%,97%,96%
2017,14.6,20.6,8.7,40.0,-16.4,125.2,26,53,24,20,20,87,99%,96%,98%
2018,15.8,21.5,10.0,42.0,-9.8,367.2,52,90,6,38,4,37,99%,95%,97%
2019,14.9,21.1,8.7,41.6,-7.2,270.1,42,71,22,18,10,72,99%,97%,98%
2020,14.5,20.4,8.6,41.5,-14.6,302.3,54,90,31,33,33,76,100%,97%,97%
2021,15.9,22.7,9.1,40.8,-14.4,156.8,30,52,10,22,9,67,98%,95%,96%
2022,15.6,21.9,9.4,41.2,-16.5,139.7,31,57,11,28,8,71,98%,98%,97%
2023,15.3,21.8,8.8,38.6,-9.5,219.7,36,62,13,30,3,75,99%,99%,97%
