Year ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
2000,17.4,20.7,14.2,41.2,0.8,575.6,60,79,0,8,14,0,29%,28%,60%
2001,17.5,21.1,13.9,34.0,-1.2,415.6,33,51,2,8,11,2,31%,31%,71%
2002,17.8,21.1,14.5,37.2,-3.4,606.5,50,72,0,7,3,1,39%,38%,67%
2003,17.4,20.7,14.0,40.2,-3.0,314.3,32,44,0,10,8,4,35%,35%,65%
2004,17.4,21.0,13.7,33.4,-2.5,151.6,19,29,0,2,9,2,66%,62%,70%
2005,17.6,20.9,14.4,35.6,-4.4,286.4,25,31,0,2,4,3,38%,39%,66%
2006,17.8,21.2,14.5,40.2,0.6,330.4,35,50,0,6,6,0,43%,42%,71%
2007,17.8,21.4,14.2,35.4,-5.6,763.0,65,101,0,7,6,3,93%,91%,79%
2008,17.8,21.3,14.3,35.0,-3.8,814.5,72,87,9,12,10,16,97%,91%,90%
2009,17.8,21.1,14.5,34.8,1.0,1037.6,78,96,0,15,14,0,94%,89%,87%
2010,19.1,22.9,15.4,35.4,0.0,472.9,55,67,0,12,16,1,97%,90%,83%
2011,17.5,20.6,14.4,35.8,1.2,1206.8,82,102,0,7,5,0,98%,93%,98%
2012,18.5,21.9,15.0,34.0,-0.6,1099.5,75,95,6,25,11,2,98%,94%,96%
2013,18.2,21.4,15.0,36.6,0.8,806.5,69,98,1,7,9,0,98%,95%,99%
2014,18.0,21.2,14.8,33.8,-3.6,631.7,57,87,3,14,18,6,99%,94%,98%
2015,18.1,21.3,14.9,36.2,2.8,921.7,75,100,3,10,9,0,98%,94%,99%
2016,18.0,21.3,14.8,38.5,-2.8,948.6,79,115,4,14,11,4,98%,93%,98%
2017,18.4,21.9,14.8,35.4,0.0,615.7,53,77,1,8,13,1,100%,96%,99%
2018,18.8,22.2,15.5,35.0,-0.2,728.6,72,102,2,9,3,1,99%,95%,98%
2019,18.5,22.1,15.0,34.5,2.2,1155.0,78,102,0,8,6,0,100%,95%,99%
2020,18.0,21.6,14.5,36.0,1.0,901.7,79,107,2,17,13,0,100%,96%,98%
2021,18.7,22.2,15.3,37.4,-0.8,700.5,58,81,1,12,21,2,98%,94%,97%
2022,18.8,22.4,15.1,35.4,0.4,670.6,73,92,1,7,10,0,98%,95%,98%
2023,19.0,23.3,14.7,36.2,-0.6,923.5,51,79,0,14,9,2,99%,98%,98%
