Station ∆,Date,UTC time,Temp. (ºC),Rel. Hum. (%),Pressure/ Geopot.,Wind dir,Wins speed (Km/h),Clouds,Low clouds,Medium clouds,High clouds,Prec. (mm),Max temp. (ºC),Min temp. (ºC),Conditions
ABADAN,20/10/2015,21Z,25.0,72%,1012.4 Hpa,calm.,,0/8,-,-,-,-,-,-,"Clear, haze"
ABADAN,20/10/2015,18Z,28.2,39%,1012.8 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ABADAN,20/10/2015,15Z,31.6,35%,1012.4 Hpa,calm.,,0/8,-,-,-,-,37.8,-,Clear
ABADAN,20/10/2015,12Z,37.0,21%,1012.2 Hpa,calm.,,1/8,-,-,CI,-,-,-,Few clouds
ABADAN,20/10/2015,09Z,35.6,22%,1014.1 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ABADAN,20/10/2015,06Z,29.2,38%,1015.4 Hpa,calm.,,0/8,-,-,-,-,-,-,"Clear, haze"
ABADAN,20/10/2015,03Z,20.6,66%,1013.8 Hpa,calm.,,0/8,-,-,-,-,-,20.4,Clear
ABADAN,20/10/2015,00Z,22.4,71%,1013.7 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ABADEH,20/10/2015,21Z,10.2,21%,1013.3 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ABADEH,20/10/2015,18Z,12.4,20%,1014.1 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ABADEH,20/10/2015,15Z,18.8,12%,1014.7 Hpa,020º (N),7.2,0/8,-,-,-,-,23.0,-,Clear
ABADEH,20/10/2015,12Z,22.0,17%,1013.1 Hpa,010º (N),14.4,0/8,-,-,-,-,-,-,Clear
ABADEH,20/10/2015,09Z,21.4,16%,1013.0 Hpa,300º (NW),21.6,0/8,-,-,-,-,-,-,Clear
ABADEH,20/10/2015,06Z,17.0,25%,1015.6 Hpa,320º (NW),14.4,0/8,-,-,-,-,-,-,Clear
ABADEH,20/10/2015,03Z,6.6,41%,1016.3 Hpa,350º (N ),10.8,0/8,-,-,-,-,-,4.4,Clear
ABADEH,20/10/2015,00Z,6.8,40%,1015.0 Hpa,330º (NW),7.2,0/8,-,-,-,-,-,-,Clear
ABU MUSA,20/10/2015,15Z,31.0,69%,1010.1 Hpa,300º (NW),14.4,0/8,-,-,-,-,33.0,-,"Clear, haze"
ABU MUSA,20/10/2015,12Z,32.6,86%,1010.1 Hpa,300º (NW),10.8,0/8,-,-,-,-,-,-,"Clear, haze"
ABU MUSA,20/10/2015,09Z,32.2,66%,1011.5 Hpa,280º (W ),10.8,1/8,1/8 SC,-,-,-,-,-,"Few clouds, haze"
ABU MUSA,20/10/2015,06Z,30.8,95%,1013.3 Hpa,180º (S ),7.2,0/8,-,-,-,-,-,-,"Clear, haze"
ABU MUSA,20/10/2015,03Z,27.0,87%,1012.4 Hpa,calm.,,2/8,-,-,CI,-,-,27.0,"Few clouds, mist"
AHAR,20/10/2015,21Z,8.8,63%,1015.7 Hpa,320º (NW),10.8,3/8,-,-,CI,-,-,-,Scattered clouds
AHAR,20/10/2015,18Z,12.4,55%,1015.0 Hpa,340º (N ),7.2,5/8,-,3/8 AC,CI,-,-,-,Cloudy
AHAR,20/10/2015,15Z,16.0,41%,1015.9 Hpa,260º (W ),14.4,7/8,-,3/8 AC,CI,-,20.1,-,Cloudy
AHAR,20/10/2015,12Z,19.0,31%,1014.5 Hpa,220º (SW),14.4,7/8,1/8 CB,AC,CI,-,-,-,Cloudy
AHAR,20/10/2015,09Z,18.8,34%,1015.1 Hpa,200º (S ),18.0,5/8,1/8 CU,-,CI,-,-,-,Cloudy
AHAR,20/10/2015,06Z,17.4,37%,1015.7 Hpa,250º (W ),14.4,6/8,1/8 CU,-,CI,-,-,-,Cloudy
