Station ∆,Date,UTC time,Temp. (ºC),Rel. Hum. (%),Pressure/ Geopot.,Wind dir,Wins speed (Km/h),Clouds,Low clouds,Medium clouds,High clouds,Prec. (mm),Max temp. (ºC),Min temp. (ºC),Conditions
ABADAN,27/09/2004,21Z,26.4,35%,1009.9 Hpa,240º (SW),10.8,0/8,-,-,-,-,-,-,Clear
ABADAN,27/09/2004,18Z,28.8,34%,-,330º (NW),10.8,0/8,-,-,-,-,-,-,Clear
ABADAN,27/09/2004,15Z,36.2,21%,1009.0 Hpa,330º (NW),10.8,0/8,-,-,-,-,44.0,-,Clear
ABADAN,27/09/2004,09Z,41.0,17%,1011.3 Hpa,330º (NW),10.8,0/8,-,-,-,-,-,-,Clear
ABADAN,27/09/2004,06Z,30.6,26%,-,310º (NW),7.2,0/8,-,-,-,-,-,-,Clear
ABADAN,27/09/2004,03Z,21.4,48%,1011.4 Hpa,calm.,,1/8,-,1/8 AC,-,-,-,21.2,"Few clouds, haze"
ABADAN,27/09/2004,00Z,23.4,42%,-,300º (NW),7.2,0/8,-,-,-,-,-,-,Clear
ABADEH,27/09/2004,21Z,11.0,27%,-,330º (NW),7.2,0/8,-,-,-,-,-,-,Clear
ABADEH,27/09/2004,18Z,20.4,20%,-,360º (N ),7.2,0/8,-,-,-,-,-,-,Clear
ABADEH,27/09/2004,12Z,23.4,8%,-,360º (N ),18.0,0/8,-,-,-,-,-,-,Clear
ABADEH,27/09/2004,09Z,22.2,9%,-,020º (N),18.0,0/8,-,-,-,-,-,-,Clear
ABADEH,27/09/2004,03Z,7.6,33%,-,calm.,,0/8,-,-,-,-,-,-,Clear
ABADEH,27/09/2004,00Z,7.2,31%,-,320º (NW),7.2,0/8,-,-,-,-,-,-,Clear
ABU MUSA,27/09/2004,15Z,32.0,64%,-,calm.,,0/8,-,-,-,-,-,-,Clear
ABU MUSA,27/09/2004,12Z,33.6,60%,-,calm.,,0/8,-,-,-,-,-,-,Clear
ABU MUSA,27/09/2004,09Z,34.0,70%,-,calm.,,0/8,-,-,-,-,-,-,Clear
ABU MUSA,27/09/2004,06Z,32.4,73%,-,calm.,,0/8,-,-,-,-,-,-,Clear
ABU MUSA,27/09/2004,03Z,30.0,76%,-,calm.,,1/8,-,-,-,-,-,-,Few clouds
AHAR,27/09/2004,21Z,16.6,45%,-,Vble.,,0/8,-,-,-,-,-,-,Clear
AHAR,27/09/2004,15Z,29.0,19%,-,090º (E ),14.4,0/8,-,-,-,-,-,-,Clear
AHAR,27/09/2004,12Z,28.0,37%,-,180º (S ),32.4,0/8,-,-,-,-,-,-,Clear
AHAR,27/09/2004,09Z,27.0,24%,-,180º (S ),10.8,0/8,-,-,-,-,-,-,Clear
AHAR,27/09/2004,06Z,18.0,35%,-,calm.,,0/8,-,-,-,-,-,-,Clear
AHAR,27/09/2004,03Z,11.0,46%,-,Vble.,,0/8,-,-,-,-,-,-,Clear
AHAR,27/09/2004,00Z,12.8,46%,-,Vble.,,0/8,-,-,-,-,-,-,Clear
AHWAZ,27/09/2004,21Z,25.4,36%,-,calm.,,0/8,-,-,-,-,-,-,Clear
AHWAZ,27/09/2004,18Z,30.6,25%,-,280º (W ),7.2,0/8,-,-,-,-,-,-,Clear
AHWAZ,27/09/2004,09Z,39.6,17%,-,calm.,,0/8,-,-,-,-,-,-,Clear
AHWAZ,27/09/2004,06Z,30.4,35%,-,180º (S ),7.2,0/8,-,-,-,-,-,-,Clear
AHWAZ,27/09/2004,03Z,22.4,48%,-,calm.,,2/8,-,-,-,-,-,-,Few clouds
AHWAZ,27/09/2004,00Z,23.8,38%,-,calm.,,0/8,-,-,-,-,-,-,Clear
ALI-GOODARZ,27/09/2004,21Z,13.4,23%,-,130º (SE),14.4,0/8,-,-,-,-,-,-,Clear
ALI-GOODARZ,27/09/2004,15Z,24.0,7%,-,050º (NE),21.6,0/8,-,-,-,-,-,-,Clear
ALI-GOODARZ,27/09/2004,12Z,26.4,8%,-,360º (N ),25.2,0/8,-,-,-,-,-,-,Clear
ALI-GOODARZ,27/09/2004,09Z,24.8,11%,-,180º (S ),7.2,0/8,-,-,-,-,-,-,Clear
ALI-GOODARZ,27/09/2004,06Z,19.0,16%,-,140º (SE),18.0,0/8,-,-,-,-,-,-,Clear
ALI-GOODARZ,27/09/2004,03Z,8.2,23%,-,130º (SE),21.6,0/8,-,-,-,-,-,-,Clear
ALI-GOODARZ,27/09/2004,00Z,11.0,23%,-,120º (SE),21.6,0/8,-,-,-,-,-,-,Clear
ANZALI,27/09/2004,21Z,21.4,96%,-,calm.,,0/8,-,-,-,-,-,-,Clear
ANZALI,27/09/2004,18Z,22.4,94%,-,calm.,,0/8,-,-,-,-,-,-,Clear
ANZALI,27/09/2004,09Z,25.0,80%,-,060º (NE),14.4,0/8,-,-,-,-,-,-,Clear
ANZALI,27/09/2004,06Z,23.2,79%,-,210º (SW),10.8,0/8,-,-,-,-,-,-,Clear
ANZALI,27/09/2004,03Z,19.2,92%,-,240º (SW),7.2,8/8,-,-,-,-,-,-,Overcast
ANZALI,27/09/2004,00Z,21.0,100%,-,calm.,,0/8,-,-,-,-,-,-,Clear
ARAK,27/09/2004,21Z,14.8,28%,1014.6 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ARAK,27/09/2004,18Z,19.2,15%,-,240º (SW),7.2,0/8,-,-,-,-,-,-,Clear
ARAK,27/09/2004,15Z,,,1016.0 Hpa,070º (E ),7.2,0/8,-,-,-,-,28.8,-,Clear
ARAK,27/09/2004,09Z,26.0,12%,1015.3 Hpa,030º (NE),14.4,0/8,-,-,-,-,-,-,Clear
ARAK,27/09/2004,06Z,19.8,18%,-,calm.,,0/8,-,-,-,-,-,-,Clear
ARAK,27/09/2004,03Z,9.6,36%,1019.0 Hpa,calm.,,0/8,-,-,-,-,-,9.2,Clear
ARAK,27/09/2004,00Z,11.6,37%,-,calm.,,0/8,-,-,-,-,-,-,Clear
ARDEBIL,27/09/2004,21Z,8.0,54%,-,310º (NW),14.4,0/8,-,-,-,-,-,-,Clear
ARDEBIL,27/09/2004,15Z,20.0,58%,-,090º (E ),18.0,0/8,-,-,-,-,-,-,Clear
ARDEBIL,27/09/2004,12Z,27.4,11%,-,600º (N ),18.0,0/8,-,-,-,-,-,-,Clear
ARDEBIL,27/09/2004,09Z,26.8,24%,-,calm.,,0/8,-,-,-,-,-,-,Clear
ARDEBIL,27/09/2004,06Z,18.2,35%,-,calm.,,0/8,-,-,-,-,-,-,Clear
ARDEBIL,27/09/2004,03Z,5.0,62%,-,calm.,,0/8,-,-,-,-,-,-,Clear
ARDEBIL,27/09/2004,00Z,5.4,63%,-,calm.,,0/8,-,-,-,-,-,-,Clear
BABULSAR,27/09/2004,21Z,20.4,96%,1019.3 Hpa,calm.,,1/8,-,-,CI,-,-,-,Few clouds
BABULSAR,27/09/2004,15Z,24.4,78%,1019.7 Hpa,250º (W ),7.2,1/8,-,1/8 AC,-,-,-,-,Few clouds
BABULSAR,27/09/2004,09Z,27.2,68%,1020.0 Hpa,320º (NW),21.6,0/8,-,-,-,-,-,-,Clear
