Station ∆,Date,UTC time,Temp. (ºC),Rel. Hum. (%),Pressure/ Geopot.,Wind dir,Wins speed (Km/h),Clouds,Low clouds,Medium clouds,High clouds,Prec. (mm),Max temp. (ºC),Min temp. (ºC),Conditions
ABADAN,30/09/2010,21Z,28.2,70%,1007.9 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ABADAN,30/09/2010,18Z,31.2,45%,1007.9 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ABADAN,30/09/2010,15Z,37.2,27%,1007.0 Hpa,calm.,,0/8,-,-,-,-,41.8,-,"Clear, dust"
ABADAN,30/09/2010,12Z,40.8,14%,1007.4 Hpa,360º (N ),10.8,0/8,-,-,-,-,-,-,"Clear, dust"
ABADAN,30/09/2010,03Z,24.2,51%,1009.2 Hpa,calm.,,0/8,-,-,-,-,-,24.2,"Clear, dust"
ABADAN,30/09/2010,00Z,27.0,44%,1007.7 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ABADEH,30/09/2010,21Z,14.0,28%,1007.3 Hpa,350º (N ),7.2,0/8,-,-,-,-,-,-,Clear
ABADEH,30/09/2010,18Z,18.0,25%,1007.4 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ABADEH,30/09/2010,15Z,22.6,17%,1006.7 Hpa,350º (N ),10.8,0/8,-,-,-,-,26.6,-,Clear
ABADEH,30/09/2010,12Z,25.8,15%,1005.8 Hpa,330º (NW),7.2,0/8,-,-,-,-,-,-,Clear
ABADEH,30/09/2010,09Z,24.2,17%,1006.5 Hpa,300º (NW),7.2,0/8,-,-,-,-,-,-,Clear
ABADEH,30/09/2010,06Z,19.8,22%,1008.8 Hpa,340º (N ),7.2,0/8,-,-,-,-,-,-,Clear
ABADEH,30/09/2010,03Z,12.6,40%,1008.7 Hpa,340º (N ),7.2,0/8,-,-,-,-,-,11.8,Clear
ABADEH,30/09/2010,00Z,12.8,37%,1006.6 Hpa,010º (N),7.2,0/8,-,-,-,-,-,-,Clear
ABU MUSA,30/09/2010,15Z,32.0,57%,1006.9 Hpa,360º (N ),14.4,0/8,-,-,-,-,36.0,-,Clear
ABU MUSA,30/09/2010,12Z,34.0,80%,1006.5 Hpa,030º (NE),18.0,0/8,-,-,-,-,-,-,Clear
ABU MUSA,30/09/2010,09Z,34.6,51%,1008.7 Hpa,180º (S ),10.8,0/8,-,-,-,-,-,-,"Clear, haze"
ABU MUSA,30/09/2010,06Z,32.8,86%,1009.6 Hpa,090º (E ),18.0,0/8,-,-,-,-,-,-,"Clear, haze"
ABU MUSA,30/09/2010,03Z,30.0,76%,1008.3 Hpa,060º (NE),14.4,0/8,-,-,-,-,-,28.8,"Clear, haze"
AHAR,30/09/2010,21Z,17.2,38%,1005.6 Hpa,Vble.,,0/8,-,-,-,-,-,-,Clear
AHAR,30/09/2010,18Z,20.4,27%,1006.0 Hpa,300º (NW),14.4,0/8,-,-,-,-,-,-,Clear
AHAR,30/09/2010,15Z,24.2,23%,1006.7 Hpa,270º (W ),14.4,0/8,-,-,-,-,29.0,-,Clear
