Station ∆,Date,UTC time,Temp. (ºC),Rel. Hum. (%),Pressure/ Geopot.,Wind dir,Wins speed (Km/h),Clouds,Low clouds,Medium clouds,High clouds,Prec. (mm),Max temp. (ºC),Min temp. (ºC),Conditions
ABADAN,03/04/2000,21Z,,,-,calm.,,6/8,-,-,-,-,-,-,Cloudy
ABADAN,03/04/2000,15Z,33.0,21%,-,360º (N ),18.0,3/8,-,-,-,-,-,-,Scattered clouds
ABADAN,03/04/2000,12Z,35.2,16%,1011.6 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ABADAN,03/04/2000,09Z,33.6,17%,-,360º (N ),7.2,1/8,-,-,-,-,-,-,Few clouds
ABADAN,03/04/2000,06Z,28.4,26%,1014.8 Hpa,calm.,,3/8,-,-,CI,-,-,-,Scattered clouds
ABADAN,03/04/2000,03Z,19.8,47%,-,calm.,,3/8,-,-,-,-,-,-,Scattered clouds
ABADAN,03/04/2000,00Z,20.0,51%,1011.3 Hpa,calm.,,5/8,-,-,CI,-,-,-,Cloudy
ABADEH,03/04/2000,15Z,19.2,21%,-,calm.,,5/8,-,-,-,-,-,-,Cloudy
ABADEH,03/04/2000,12Z,21.2,21%,1012.0 Hpa,calm.,,4/8,3/8 CU,AC,-,-,-,-,Scattered clouds
ABADEH,03/04/2000,03Z,4.0,43%,-,calm.,,1/8,-,-,-,-,-,-,Few clouds
ABU MUSA,03/04/2000,12Z,27.2,341%,1009.3 Hpa,280º (W ),10.8,0/8,-,-,-,-,-,-,"Clear, haze"
AHAR,03/04/2000,15Z,16.6,33%,-,calm.,,7/8,-,-,-,-,-,-,Cloudy
AHAR,03/04/2000,12Z,18.4,21%,1015.1 Hpa,270º (W ),7.2,7/8,4/8 CB,AC,-,-,-,-,Cloudy
AHAR,03/04/2000,03Z,4.8,79%,-,calm.,,5/8,-,-,-,-,-,-,Cloudy
AHWAZ,03/04/2000,15Z,30.2,25%,-,330º (NW),10.8,0/8,-,-,-,-,-,-,Clear
AHWAZ,03/04/2000,12Z,33.8,16%,1012.0 Hpa,330º (NW),14.4,3/8,-,0/8 AC,-,-,-,-,Scattered clouds
AHWAZ,03/04/2000,06Z,27.2,25%,1014.2 Hpa,290º (W ),7.2,0/8,-,-,-,-,-,-,Clear
AHWAZ,03/04/2000,00Z,,,1012.3 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ALI-GOODARZ,03/04/2000,12Z,17.2,13%,1016.1 Hpa,200º (S ),25.2,7/8,2/8 CU,AC,-,-,-,-,Cloudy
ALI-GOODARZ,03/04/2000,03Z,6.0,45%,-,100º (E ),28.8,3/8,-,-,-,-,-,-,Scattered clouds
ANZALI,03/04/2000,18Z,11.2,94%,-,calm.,,8/8,-,-,-,-,-,-,Overcast
ANZALI,03/04/2000,15Z,11.2,94%,-,calm.,,8/8,-,-,-,-,-,-,Overcast
ANZALI,03/04/2000,12Z,11.2,94%,-,calm.,,8/8,-,-,-,-,-,-,Overcast
ANZALI,03/04/2000,06Z,10.0,100%,1020.9 Hpa,calm.,,,-,-,-,-,-,-,fog
ANZALI,03/04/2000,00Z,11.4,98%,-,calm.,,8/8,8/8 ST,,,-,-,-,Overcast
ARAK,03/04/2000,21Z,13.6,,-,calm.,,2/8,-,-,-,-,-,-,Few clouds
ARAK,03/04/2000,15Z,18.2,25%,-,260º (W ),10.8,7/8,-,-,-,-,-,-,Cloudy
ARAK,03/04/2000,12Z,20.2,15%,1012.2 Hpa,210º (SW),7.2,8/8,4/8 SC,AC,,-,-,-,Overcast
