Station ∆,Date,UTC time,Temp. (ºC),Rel. Hum. (%),Pressure/ Geopot.,Wind dir,Wins speed (Km/h),Clouds,Low clouds,Medium clouds,High clouds,Prec. (mm),Max temp. (ºC),Min temp. (ºC),Conditions
ABADAN,22/03/2011,21Z,20.2,49%,1008.2 Hpa,calm.,,5/8,2/8 SC,AC,-,-,-,-,Cloudy
ABADAN,22/03/2011,18Z,22.4,36%,1008.5 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ABADAN,22/03/2011,15Z,27.6,20%,1007.9 Hpa,170º (S ),10.8,3/8,3/8 SC,-,-,-,32.8,-,Scattered clouds
ABADAN,22/03/2011,12Z,31.6,19%,1008.3 Hpa,120º (SE),14.4,4/8,-,4/8 AC,-,-,-,-,Scattered clouds
ABADAN,22/03/2011,09Z,29.4,30%,1010.9 Hpa,150º (SE),14.4,4/8,2/8 SC,AC,-,-,-,-,Scattered clouds
ABADAN,22/03/2011,06Z,24.2,40%,1010.8 Hpa,270º (W ),7.2,6/8,2/8 SC,AC,-,-,-,-,Cloudy
ABADAN,22/03/2011,03Z,17.6,63%,1011.3 Hpa,080º (E ),10.8,4/8,-,-,CI,-,-,17.0,Scattered clouds
ABADAN,22/03/2011,00Z,20.8,56%,1007.1 Hpa,100º (E ),10.8,4/8,4/8 SC,-,-,-,-,-,Scattered clouds
ABADEH,22/03/2011,21Z,13.0,34%,1005.9 Hpa,350º (N ),10.8,5/8,2/8 SC,AC,-,-,-,-,Cloudy
ABADEH,22/03/2011,18Z,15.8,29%,1006.1 Hpa,340º (N ),18.0,5/8,3/8 CB,AC,-,-,-,-,Cloudy
ABADEH,22/03/2011,15Z,19.2,18%,1006.9 Hpa,340º (N ),7.2,6/8,3/8 CB,AC,-,-,23.2,-,Cloudy
ABADEH,22/03/2011,12Z,22.2,14%,1005.5 Hpa,260º (W ),18.0,6/8,2/8 CU,AC,CI,-,-,-,Cloudy
ABADEH,22/03/2011,09Z,21.0,14%,1008.4 Hpa,calm.,,2/8,-,-,CI,-,-,-,Few clouds
ABADEH,22/03/2011,06Z,17.0,20%,1009.4 Hpa,250º (W ),21.6,3/8,-,-,CI,-,-,-,Scattered clouds
ABADEH,22/03/2011,03Z,6.8,42%,1010.7 Hpa,320º (NW),10.8,2/8,-,-,CI,-,-,6.6,Few clouds
ABADEH,22/03/2011,00Z,7.0,38%,1008.6 Hpa,350º (N ),14.4,0/8,-,-,-,-,-,-,Clear
ABU MUSA,22/03/2011,15Z,23.6,65%,1008.4 Hpa,270º (W ),18.0,0/8,-,-,-,-,26.6,-,Clear
ABU MUSA,22/03/2011,12Z,25.6,130%,1008.9 Hpa,270º (W ),18.0,0/8,-,-,-,-,-,-,Clear
ABU MUSA,22/03/2011,09Z,25.2,71%,1010.8 Hpa,250º (W ),18.0,0/8,-,-,-,-,-,-,"Clear, haze"
ABU MUSA,22/03/2011,06Z,23.6,147%,1011.3 Hpa,220º (SW),25.2,0/8,-,-,-,-,-,-,"Clear, mist"
ABU MUSA,22/03/2011,03Z,22.4,85%,1009.9 Hpa,210º (SW),18.0,1/8,1/8 ST,-,-,-,-,22.2,"Few clouds, mist"
AHAR,22/03/2011,21Z,8.6,65%,1009.3 Hpa,150º (SE),10.8,4/8,4/8 SC,-,-,-,-,-,Scattered clouds
