Station ∆,Date,UTC time,Temp. (ºC),Rel. Hum. (%),Pressure/ Geopot.,Wind dir,Wins speed (Km/h),Clouds,Low clouds,Medium clouds,High clouds,Prec. (mm),Max temp. (ºC),Min temp. (ºC),Conditions
ABADAN,16/09/2022,21Z,29.5,27%,1002.7 Hpa,300º (NW),18.0,0/8,-,-,-,-,-,-,Clear
ABADAN,16/09/2022,18Z,32.1,24%,1002.6 Hpa,300º (NW),18.0,0/8,-,-,-,-,-,-,Clear
ABADAN,16/09/2022,15Z,37.6,12%,1001.8 Hpa,290º (W ),21.6,0/8,-,-,-,-,42.3,-,Clear
ABADAN,16/09/2022,12Z,42.0,6%,1002.1 Hpa,320º (NW),25.2,0/8,-,-,-,-,-,-,Clear
ABADAN,16/09/2022,09Z,40.2,10%,1003.9 Hpa,310º (NW),32.4,0/8,-,-,-,-,-,-,"Clear, dust"
ABADAN,16/09/2022,06Z,35.9,16%,1006.2 Hpa,310º (NW),25.2,0/8,-,-,-,-,-,-,"Clear, dust"
ABADAN,16/09/2022,03Z,26.3,38%,1005.4 Hpa,280º (W ),10.8,0/8,-,-,-,-,-,26.2,Clear
ABADAN,16/09/2022,00Z,27.8,34%,1005.6 Hpa,300º (NW),14.4,0/8,-,-,-,-,-,-,Clear
ABADEH,16/09/2022,21Z,19.4,26%,999.4 Hpa,340º (N ),7.2,0/8,-,-,-,-,-,-,Clear
ABADEH,16/09/2022,18Z,23.4,23%,999.2 Hpa,360º (N ),10.8,0/8,-,-,-,-,-,-,Clear
ABADEH,16/09/2022,15Z,26.5,10%,1000.1 Hpa,010º (N),21.6,0/8,-,-,-,-,30.4,-,Clear
ABADEH,16/09/2022,12Z,30.1,9%,997.6 Hpa,340º (N ),7.2,0/8,-,-,-,-,-,-,Clear
ABADEH,16/09/2022,09Z,28.9,11%,999.2 Hpa,100º (E ),10.8,0/8,-,-,-,-,-,-,Clear
ABADEH,16/09/2022,06Z,23.9,15%,1002.2 Hpa,300º (NW),7.2,0/8,-,-,-,-,-,-,Clear
ABADEH,16/09/2022,03Z,14.2,28%,1005.3 Hpa,330º (NW),7.2,0/8,-,-,-,-,-,13.8,Clear
ABADEH,16/09/2022,00Z,15.7,27%,1002.5 Hpa,320º (NW),7.2,0/8,-,-,-,-,-,-,Clear
ABU MUSA,16/09/2022,15Z,34.2,61%,998.0 Hpa,290º (W ),21.6,0/8,-,-,-,-,36.8,-,"Clear, haze"
ABU MUSA,16/09/2022,12Z,35.4,75%,998.9 Hpa,260º (W ),21.6,0/8,-,-,-,-,-,-,"Clear, haze"
ABU MUSA,16/09/2022,09Z,35.6,69%,1000.5 Hpa,250º (W ),18.0,0/8,-,-,-,-,-,-,"Clear, haze"
ABU MUSA,16/09/2022,06Z,34.4,78%,1002.0 Hpa,280º (W ),18.0,0/8,-,-,-,-,-,-,"Clear, haze"
ABU MUSA,16/09/2022,03Z,32.8,74%,1000.4 Hpa,260º (W ),18.0,0/8,-,-,-,-,-,32.6,"Clear, haze"
AHAR,16/09/2022,21Z,16.0,39%,1009.9 Hpa,340º (N ),7.2,0/8,-,-,-,-,-,-,Clear
AHAR,16/09/2022,18Z,19.9,44%,1009.9 Hpa,090º (E ),18.0,0/8,-,-,-,-,-,-,Clear
AHAR,16/09/2022,15Z,24.3,28%,1009.1 Hpa,080º (E ),14.4,0/8,-,-,-,-,27.9,-,Clear
AHAR,16/09/2022,12Z,27.4,23%,1006.6 Hpa,110º (E ),18.0,0/8,-,-,-,-,-,-,Clear
AHAR,16/09/2022,09Z,26.1,26%,1008.3 Hpa,120º (SE),10.8,0/8,-,-,-,-,-,-,Clear
AHAR,16/09/2022,06Z,19.5,48%,1011.5 Hpa,210º (SW),7.2,0/8,-,-,-,-,-,-,Clear
AHAR,16/09/2022,03Z,9.7,76%,1013.7 Hpa,330º (NW),3.6,0/8,-,-,-,-,-,9.6,Clear
AHAR,16/09/2022,00Z,12.1,70%,1012.5 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
AHWAZ,16/09/2022,21Z,30.7,20%,1000.5 Hpa,290º (W ),14.4,0/8,-,-,-,-,-,-,Clear
AHWAZ,16/09/2022,18Z,34.3,14%,1001.3 Hpa,300º (NW),10.8,0/8,-,-,-,-,-,-,Clear
AHWAZ,16/09/2022,15Z,36.3,18%,1000.2 Hpa,260º (W ),7.2,0/8,-,-,-,-,41.9,-,Clear
AHWAZ,16/09/2022,12Z,41.7,10%,1000.5 Hpa,030º (NE),7.2,0/8,-,-,-,-,-,-,Clear
AHWAZ,16/09/2022,09Z,39.2,16%,1002.7 Hpa,270º (W ),7.2,0/8,-,-,-,-,-,-,Clear
AHWAZ,16/09/2022,06Z,31.4,24%,1004.2 Hpa,300º (NW),7.2,0/8,-,-,-,-,-,-,"Clear, haze"
AHWAZ,16/09/2022,03Z,25.7,29%,1003.8 Hpa,280º (W ),7.2,0/8,-,-,-,-,-,25.7,"Clear, haze"
AHWAZ,16/09/2022,00Z,27.5,27%,1003.6 Hpa,270º (W ),7.2,0/8,-,-,-,-,-,-,Clear
ALI-GOODARZ,16/09/2022,21Z,16.2,18%,1002.7 Hpa,100º (E ),18.0,0/8,-,-,-,-,-,-,Clear
ALI-GOODARZ,16/09/2022,18Z,19.5,15%,1003.5 Hpa,100º (E ),14.4,0/8,-,-,-,-,-,-,Clear
ALI-GOODARZ,16/09/2022,15Z,24.9,13%,1003.9 Hpa,230º (SW),7.2,0/8,-,-,-,-,29.8,-,Clear
ALI-GOODARZ,16/09/2022,12Z,29.4,6%,1002.1 Hpa,300º (NW),10.8,0/8,-,-,-,-,-,-,Clear
ALI-GOODARZ,16/09/2022,09Z,27.4,10%,1003.7 Hpa,180º (S ),7.2,0/8,-,-,-,-,-,-,Clear
ALI-GOODARZ,16/09/2022,06Z,22.2,16%,1006.4 Hpa,160º (S ),7.2,0/8,-,-,-,-,-,-,Clear
ALI-GOODARZ,16/09/2022,03Z,11.8,24%,1008.2 Hpa,110º (E ),25.2,0/8,-,-,-,-,-,10.8,Clear
ALI-GOODARZ,16/09/2022,00Z,12.5,22%,1006.1 Hpa,120º (SE),14.4,0/8,-,-,-,-,-,-,Clear
ANZALI,16/09/2022,21Z,22.4,85%,1011.1 Hpa,220º (SW),3.6,0/8,-,-,-,-,-,-,Clear
ANZALI,16/09/2022,18Z,23.3,80%,1011.4 Hpa,230º (SW),3.6,2/8,-,2/8 AC,-,-,-,-,Few clouds
ANZALI,16/09/2022,15Z,25.5,74%,1010.7 Hpa,110º (E ),14.4,0/8,-,-,-,-,27.8,-,Clear
ANZALI,16/09/2022,12Z,26.6,122%,1010.9 Hpa,080º (E ),18.0,1/8,1/8 CU,-,-,-,-,-,Few clouds
ANZALI,16/09/2022,09Z,26.8,71%,1011.7 Hpa,080º (E ),14.4,2/8,2/8 CU,-,-,-,-,-,Few clouds
ANZALI,16/09/2022,06Z,26.3,217%,1013.7 Hpa,140º (SE),7.2,2/8,2/8 CU/SC,AC,-,-,-,-,Few clouds
ANZALI,16/09/2022,03Z,19.5,92%,1014.5 Hpa,220º (SW),7.2,5/8,5/8 CB,-,-,-,-,19.5,Cloudy
ANZALI,16/09/2022,00Z,20.2,91%,1014.1 Hpa,230º (SW),3.6,3/8,3/8 SC,-,-,-,-,-,Scattered clouds
ARAK,16/09/2022,21Z,20.7,21%,1001.5 Hpa,320º (NW),7.2,0/8,-,-,-,-,-,-,Clear
ARAK,16/09/2022,18Z,21.5,21%,1002.0 Hpa,250º (W ),7.2,0/8,-,-,-,-,-,-,Clear
ARAK,16/09/2022,15Z,27.2,14%,1002.5 Hpa,calm.,,0/8,-,-,-,-,31.5,-,Clear
ARAK,16/09/2022,12Z,30.9,14%,1001.0 Hpa,010º (N),7.2,0/8,-,-,-,-,-,-,Clear
