Station ∆,Date,UTC time,Temp. (ºC),Rel. Hum. (%),Pressure/ Geopot.,Wind dir,Wins speed (Km/h),Clouds,Low clouds,Medium clouds,High clouds,Prec. (mm),Max temp. (ºC),Min temp. (ºC),Conditions
ABADAN,22/07/2009,18Z,37.2,22%,998.2 Hpa,330º (NW),10.8,0/8,-,-,-,-,-,-,"Clear, dust"
ABADAN,22/07/2009,15Z,43.0,14%,997.2 Hpa,330º (NW),25.2,0/8,-,-,-,-,46.6,-,"Clear, dust"
ABADAN,22/07/2009,09Z,44.0,14%,999.7 Hpa,330º (NW),18.0,0/8,-,-,-,-,-,-,Clear
ABADAN,22/07/2009,06Z,38.2,16%,999.9 Hpa,330º (NW),7.2,0/8,-,-,-,-,-,-,"Clear, dust"
ABADAN,22/07/2009,03Z,28.8,36%,998.6 Hpa,calm.,,0/8,-,-,-,-,-,28.8,"Clear, dust"
ABADAN,22/07/2009,00Z,30.0,35%,998.6 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ABADEH,22/07/2009,09Z,34.2,10%,993.6 Hpa,260º (W ),7.2,0/8,-,-,-,-,-,-,Clear
ABADEH,22/07/2009,06Z,29.6,13%,994.4 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ABU MUSA,22/07/2009,09Z,35.2,74%,996.4 Hpa,200º (S ),14.4,0/8,-,-,-,-,-,-,"Clear, haze"
ABU MUSA,22/07/2009,06Z,34.2,79%,997.1 Hpa,320º (NW),14.4,0/8,-,-,-,-,-,-,"Clear, haze"
AHAR,22/07/2009,09Z,27.4,28%,1005.5 Hpa,090º (E ),21.6,1/8,-,1/8 AC,-,-,-,-,Few clouds
AHAR,22/07/2009,06Z,24.0,36%,1005.8 Hpa,120º (SE),14.4,0/8,-,-,-,-,-,-,Clear
AHWAZ,22/07/2009,21Z,36.6,24%,997.0 Hpa,270º (W ),10.8,0/8,-,-,-,-,-,-,"Clear, dust"
AHWAZ,22/07/2009,18Z,38.6,22%,997.0 Hpa,270º (W ),7.2,0/8,-,-,-,-,-,-,"Clear, dust"
AHWAZ,22/07/2009,15Z,42.8,18%,996.4 Hpa,330º (NW),10.8,0/8,-,-,-,-,45.4,-,"Clear, dust"
AHWAZ,22/07/2009,09Z,43.8,16%,998.5 Hpa,330º (NW),14.4,0/8,-,-,-,-,-,-,"Clear, dust"
AHWAZ,22/07/2009,06Z,38.4,26%,998.7 Hpa,calm.,,0/8,-,-,-,-,-,-,"Clear, dust"
AHWAZ,22/07/2009,03Z,30.2,40%,998.3 Hpa,calm.,,0/8,-,-,-,-,-,30.2,"Clear, dust"
AHWAZ,22/07/2009,00Z,34.0,30%,997.5 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ALI-GOODARZ,22/07/2009,09Z,34.8,14%,993.6 Hpa,180º (S ),14.4,1/8,-,1/8 AC,-,-,-,-,Few clouds
ALI-GOODARZ,22/07/2009,06Z,28.5,19%,995.0 Hpa,150º (SE),14.4,0/8,-,-,-,-,-,-,Clear
ANZALI,22/07/2009,21Z,28.0,77%,1011.2 Hpa,330º (NW),28.8,4/8,-,4/8 AC,-,-,-,-,Scattered clouds
ANZALI,22/07/2009,18Z,29.0,58%,1011.2 Hpa,330º (NW),21.6,6/8,3/8 SC,AC,-,-,-,-,Cloudy
ANZALI,22/07/2009,15Z,28.8,70%,1010.5 Hpa,330º (NW),25.2,1/8,1/8 CU,-,-,-,33.6,-,Few clouds
ANZALI,22/07/2009,09Z,30.8,60%,1010.6 Hpa,030º (NE),28.8,1/8,1/8 CU,-,-,-,-,-,Few clouds
ANZALI,22/07/2009,06Z,32.0,89%,1010.4 Hpa,290º (W ),234.0,1/8,-,5/8 AC,-,-,-,-,Few clouds
ANZALI,22/07/2009,03Z,25.6,68%,1010.2 Hpa,220º (SW),18.0,7/8,4/8 SC,AC,-,-,-,25.4,Cloudy
ANZALI,22/07/2009,00Z,27.4,81%,1008.2 Hpa,310º (NW),21.6,0/8,-,-,-,-,-,-,Clear
ARAK,22/07/2009,18Z,31.6,10%,992.6 Hpa,050º (NE),10.8,3/8,1/8 SC,AC,-,-,-,-,"Scattered clouds, dust"
ARAK,22/07/2009,15Z,35.4,9%,993.2 Hpa,060º (NE),10.8,2/8,2/8 SC,-,-,-,38.2,-,Few clouds
ARAK,22/07/2009,09Z,35.8,9%,993.9 Hpa,030º (NE),7.2,0/8,-,-,-,-,-,-,Clear
ARAK,22/07/2009,06Z,30.4,15%,995.4 Hpa,070º (E ),7.2,0/8,-,-,-,-,-,-,"Clear, haze"
ARAK,22/07/2009,03Z,22.0,23%,996.5 Hpa,calm.,,0/8,-,-,-,-,-,21.2,"Clear, haze"
ARAK,22/07/2009,00Z,23.4,20%,994.4 Hpa,210º (SW),7.2,0/8,-,-,-,-,-,-,Clear
ARDEBIL,22/07/2009,09Z,25.2,38%,1007.4 Hpa,090º (E ),39.6,1/8,1/8 SC,AC,-,-,-,-,Few clouds
ARDEBIL,22/07/2009,06Z,23.6,41%,1007.7 Hpa,100º (E ),32.4,1/8,1/8 SC,AC,-,-,-,-,Few clouds
BABULSAR,22/07/2009,21Z,26.0,87%,1010.1 Hpa,260º (W ),10.8,5/8,5/8 CU,-,-,-,-,-,Cloudy
BABULSAR,22/07/2009,18Z,27.2,82%,1009.9 Hpa,240º (SW),18.0,6/8,2/8 SC,AC,-,-,-,-,Cloudy
BABULSAR,22/07/2009,15Z,29.0,73%,1008.8 Hpa,270º (W ),25.2,7/8,2/8 SC,AC,-,-,32.5,-,Cloudy
BABULSAR,22/07/2009,09Z,32.0,58%,1009.0 Hpa,270º (W ),25.2,3/8,1/8 CU,-,CI,-,-,-,Scattered clouds
BABULSAR,22/07/2009,06Z,30.8,66%,1008.8 Hpa,320º (NW),10.8,4/8,1/8 CU,AC,-,-,-,-,Scattered clouds
BABULSAR,22/07/2009,03Z,25.8,85%,1008.0 Hpa,calm.,,3/8,-,3/8 AC,-,-,-,25.4,Scattered clouds
BABULSAR,22/07/2009,00Z,25.6,82%,1006.1 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
BAFT,22/07/2009,09Z,32.4,19%,992.2 Hpa,240º (SW),14.4,3/8,3/8 CU,-,-,-,-,-,Scattered clouds
BAFT,22/07/2009,06Z,29.4,25%,994.2 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
BAM,22/07/2009,09Z,40.6,9%,992.8 Hpa,340º (N ),18.0,0/8,-,-,-,-,-,-,Clear
BAM,22/07/2009,06Z,38.2,9%,994.6 Hpa,330º (NW),10.8,0/8,-,-,-,-,-,-,Clear
BANDAR LENGEH,22/07/2009,09Z,37.2,66%,997.0 Hpa,160º (S ),14.4,0/8,-,-,-,-,-,-,"Clear, haze"
BANDAR LENGEH,22/07/2009,06Z,35.0,220%,997.3 Hpa,130º (SE),14.4,0/8,-,-,-,-,-,-,"Clear, haze"
BANDARABBASS,22/07/2009,21Z,33.8,73%,995.2 Hpa,010º (N),7.2,5/8,2/8 SC,AC,-,-,-,-,"Cloudy, haze"
BANDARABBASS,22/07/2009,15Z,35.8,62%,993.8 Hpa,190º (S ),14.4,0/8,-,-,-,-,37.0,-,"Clear, haze"
BANDARABBASS,22/07/2009,09Z,36.6,66%,997.1 Hpa,130º (SE),21.6,3/8,3/8 SC,-,-,-,-,-,"Scattered clouds, haze"
BANDARABBASS,22/07/2009,06Z,35.4,66%,998.2 Hpa,110º (E ),18.0,5/8,5/8 SC,-,-,-,-,-,"Cloudy, haze"
BANDARABBASS,22/07/2009,03Z,,,-,0º (N),-,3/8,-,-,-,-,-,-,Scattered clouds
BANDARABBASS,22/07/2009,00Z,31.9,84%,996.8 Hpa,040º (NE),10.8,0/8,-,-,-,-,-,-,"Clear, mist"
BIRJAND,22/07/2009,18Z,27.0,19%,999.2 Hpa,080º (E ),7.2,0/8,-,-,-,-,-,-,Clear
BIRJAND,22/07/2009,15Z,31.8,12%,998.2 Hpa,040º (NE),25.2,0/8,-,-,-,-,37.4,-,Clear
BIRJAND,22/07/2009,09Z,35.6,11%,997.6 Hpa,030º (NE),32.4,0/8,-,-,-,-,-,-,Clear
BIRJAND,22/07/2009,06Z,32.0,17%,999.1 Hpa,050º (NE),7.2,0/8,-,-,-,-,-,-,Clear
BIRJAND,22/07/2009,03Z,25.4,29%,999.6 Hpa,110º (E ),7.2,0/8,-,-,-,-,21.2,-,Clear
BIRJAND,22/07/2009,00Z,21.6,32%,999.1 Hpa,070º (E ),7.2,0/8,-,-,-,-,-,-,Clear
BOJNOURD,22/07/2009,09Z,34.2,17%,1004.2 Hpa,350º (N ),14.4,0/8,-,-,-,-,-,-,Clear
BOJNOURD,22/07/2009,06Z,30.4,30%,1005.1 Hpa,calm.,,0/8,-,-,-,-,-,-,"Clear, haze"
BUSHEHR,22/07/2009,09Z,33.0,73%,999.2 Hpa,300º (NW),14.4,0/8,-,-,-,-,-,-,Clear
BUSHEHR,22/07/2009,06Z,31.8,157%,999.2 Hpa,280º (W ),7.2,0/8,-,-,-,-,-,-,Clear
CHAHBAHAR,22/07/2009,09Z,32.5,64%,997.4 Hpa,140º (SE),7.2,0/8,0/8 CB,AC,CC,-,90.2,-,"Clear, haze"
ESFAHAN,22/07/2009,21Z,31.2,12%,992.6 Hpa,100º (E ),18.0,0/8,-,-,-,-,-,-,Clear
ESFAHAN,22/07/2009,18Z,32.8,9%,992.4 Hpa,100º (E ),21.6,5/8,-,5/8 AC,-,-,-,-,Cloudy
ESFAHAN,22/07/2009,15Z,38.2,5%,992.2 Hpa,080º (E ),21.6,3/8,-,3/8 AC,-,-,41.0,-,Scattered clouds
ESFAHAN,22/07/2009,09Z,38.0,10%,993.1 Hpa,020º (N),14.4,0/8,-,-,-,-,-,-,Clear
ESFAHAN,22/07/2009,06Z,32.6,12%,994.7 Hpa,320º (NW),7.2,0/8,-,-,-,-,-,-,Clear
ESFAHAN,22/07/2009,03Z,22.0,27%,995.2 Hpa,110º (E ),7.2,0/8,-,-,-,-,-,21.4,Clear
ESFAHAN,22/07/2009,00Z,24.0,23%,993.3 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
FASA,22/07/2009,09Z,39.6,14%,992.3 Hpa,160º (S ),10.8,0/8,-,-,-,-,-,-,"Clear, dust"
FASA,22/07/2009,06Z,34.2,19%,993.4 Hpa,160º (S ),7.2,1/8,-,-,CI,-,-,-,"Few clouds, dust"
FERDOUS,22/07/2009,09Z,36.0,11%,999.2 Hpa,090º (E ),10.8,0/8,-,-,-,-,-,-,Clear
FERDOUS,22/07/2009,06Z,33.8,13%,1000.0 Hpa,060º (NE),18.0,0/8,-,-,-,-,-,-,Clear
GACH SARAN DU GUNBADAN,22/07/2009,09Z,39.2,22%,994.9 Hpa,270º (W ),10.8,0/8,-,-,-,-,-,-,Clear
GACH SARAN DU GUNBADAN,22/07/2009,06Z,35.6,25%,995.4 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
GHARAKHIL,22/07/2009,09Z,30.8,64%,1009.0 Hpa,270º (W ),7.2,5/8,5/8 SC,AC,-,-,-,-,Cloudy
GHARAKHIL,22/07/2009,06Z,30.0,69%,1009.5 Hpa,310º (NW),18.0,5/8,5/8 CU,AC,-,-,-,-,Cloudy
