Station ∆,Date,UTC time,Temp. (ºC),Rel. Hum. (%),Pressure/ Geopot.,Wind dir,Wins speed (Km/h),Clouds,Low clouds,Medium clouds,High clouds,Prec. (mm),Max temp. (ºC),Min temp. (ºC),Conditions
ABADAN,31/07/2020,21Z,36.8,25%,994.6 Hpa,060º (NE),7.2,0/8,-,-,-,-,-,-,Clear
ABADAN,31/07/2020,18Z,38.9,19%,994.6 Hpa,270º (W ),7.2,0/8,-,-,-,-,-,-,Clear
ABADAN,31/07/2020,15Z,49.3,6%,993.5 Hpa,340º (N ),14.4,0/8,-,-,-,-,51.7,-,Clear
ABADAN,31/07/2020,12Z,50.9,5%,993.9 Hpa,360º (N ),25.2,0/8,-,-,-,-,-,-,Clear
ABADAN,31/07/2020,09Z,50.0,7%,995.1 Hpa,360º (N ),21.6,0/8,-,-,-,-,-,-,Clear
ABADAN,31/07/2020,06Z,43.1,15%,995.8 Hpa,340º (N ),14.4,0/8,-,-,-,-,-,-,Clear
ABADAN,31/07/2020,03Z,34.6,35%,995.1 Hpa,310º (NW),10.8,0/8,-,-,-,-,-,34.2,Clear
ABADAN,31/07/2020,00Z,38.2,23%,994.3 Hpa,330º (NW),18.0,0/8,-,-,-,-,-,-,Clear
ABADEH,31/07/2020,21Z,24.2,35%,994.0 Hpa,010º (N),21.6,0/8,-,-,-,-,-,-,Clear
ABADEH,31/07/2020,18Z,27.1,27%,994.3 Hpa,360º (N ),25.2,0/8,-,-,-,-,-,-,Clear
ABADEH,31/07/2020,15Z,31.8,15%,993.2 Hpa,320º (NW),10.8,0/8,-,-,-,-,35.8,-,Clear
ABADEH,31/07/2020,12Z,32.4,14%,994.2 Hpa,310º (NW),7.2,0/8,-,-,-,0.4(6h),-,-,Clear
ABADEH,31/07/2020,09Z,35.1,10%,990.9 Hpa,120º (SE),10.8,0/8,-,-,-,-,-,-,Clear
ABADEH,31/07/2020,06Z,30.7,15%,998.0 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ABADEH,31/07/2020,03Z,21.8,23%,997.8 Hpa,calm.,,1/8,-,1/8 AC,-,-,-,20.0,Few clouds
ABADEH,31/07/2020,00Z,21.0,19%,996.5 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ABU MUSA,31/07/2020,15Z,35.8,66%,994.9 Hpa,050º (NE),10.8,0/8,-,-,-,-,38.6,-,"Clear, haze"
ABU MUSA,31/07/2020,12Z,37.2,67%,994.9 Hpa,280º (W ),10.8,0/8,-,-,-,-,-,-,"Clear, haze"
ABU MUSA,31/07/2020,09Z,37.0,69%,996.7 Hpa,040º (NE),14.4,0/8,-,-,-,-,-,-,"Clear, haze"
ABU MUSA,31/07/2020,06Z,36.8,68%,997.6 Hpa,090º (E ),18.0,0/8,-,-,-,-,-,-,"Clear, haze"
ABU MUSA,31/07/2020,03Z,32.4,75%,997.3 Hpa,080º (E ),10.8,0/8,-,-,-,-,-,30.4,"Clear, haze"
AHAR,31/07/2020,21Z,19.0,54%,1007.2 Hpa,100º (E ),10.8,0/8,-,-,-,-,-,-,Clear
AHAR,31/07/2020,18Z,21.2,46%,1007.5 Hpa,070º (E ),10.8,3/8,2/8 SC,AC,-,-,-,-,Scattered clouds
AHAR,31/07/2020,15Z,24.5,38%,1007.0 Hpa,040º (NE),14.4,1/8,1/8 CU,-,-,-,26.5,-,Few clouds
AHAR,31/07/2020,12Z,25.9,33%,1007.2 Hpa,060º (NE),18.0,1/8,1/8 CU,-,-,-,-,-,Few clouds
AHAR,31/07/2020,09Z,23.7,31%,1010.4 Hpa,100º (E ),21.6,1/8,1/8 CU,-,-,-,-,-,Few clouds
AHAR,31/07/2020,06Z,20.5,50%,1011.5 Hpa,110º (E ),14.4,1/8,1/8 CU,-,-,-,-,-,Few clouds
AHAR,31/07/2020,03Z,16.9,62%,1012.2 Hpa,070º (E ),7.2,3/8,3/8 SC,-,-,-,-,16.5,Scattered clouds
AHAR,31/07/2020,00Z,17.5,59%,1012.8 Hpa,090º (E ),14.4,6/8,6/8 CB,-,-,-,-,-,Cloudy
AHWAZ,31/07/2020,21Z,36.2,62%,993.9 Hpa,180º (S ),14.4,0/8,-,-,-,-,-,-,"Clear, haze"
AHWAZ,31/07/2020,18Z,41.6,26%,993.4 Hpa,170º (S ),7.2,0/8,-,-,-,-,-,-,Clear
AHWAZ,31/07/2020,15Z,47.8,8%,991.8 Hpa,280º (W ),10.8,2/8,2/8 CU,-,-,-,50.8,-,Few clouds
AHWAZ,31/07/2020,12Z,50.3,12%,992.3 Hpa,130º (SE),7.2,0/8,-,-,-,-,-,-,"Clear, haze"
AHWAZ,31/07/2020,09Z,48.1,19%,994.0 Hpa,170º (S ),3.6,0/8,-,-,-,-,-,-,"Clear, haze"
AHWAZ,31/07/2020,06Z,40.3,50%,994.8 Hpa,180º (S ),10.8,0/8,-,-,-,-,-,-,"Clear, haze"
AHWAZ,31/07/2020,03Z,32.9,40%,994.3 Hpa,120º (SE),3.6,1/8,-,1/8 AC,-,-,-,31.0,Few clouds
AHWAZ,31/07/2020,00Z,37.2,24%,992.8 Hpa,300º (NW),7.2,0/8,-,-,-,-,-,-,Clear
ALI-GOODARZ,31/07/2020,21Z,22.2,43%,996.5 Hpa,180º (S ),18.0,0/8,-,-,-,-,-,-,Clear
ALI-GOODARZ,31/07/2020,18Z,25.5,33%,996.4 Hpa,030º (NE),21.6,3/8,3/8 SC,-,-,-,-,-,Scattered clouds
ALI-GOODARZ,31/07/2020,15Z,28.3,31%,995.7 Hpa,180º (S ),7.2,5/8,5/8 CB,-,-,-,33.3,-,Cloudy
ALI-GOODARZ,31/07/2020,12Z,31.6,22%,994.8 Hpa,020º (N),14.4,5/8,5/8 CB,-,-,-,-,-,Cloudy
ALI-GOODARZ,31/07/2020,09Z,29.9,24%,995.2 Hpa,280º (W ),14.4,6/8,4/8 CB,AC,-,-,-,-,Cloudy
ALI-GOODARZ,31/07/2020,06Z,27.0,27%,997.2 Hpa,260º (W ),7.2,3/8,-,3/8 AC,-,Tr(24h),-,-,Scattered clouds
ALI-GOODARZ,31/07/2020,03Z,21.4,35%,998.6 Hpa,180º (S ),7.2,0/8,-,-,-,-,-,19.2,Clear
ALI-GOODARZ,31/07/2020,00Z,20.4,37%,997.3 Hpa,120º (SE),10.8,0/8,-,-,-,-,-,-,Clear
ANZALI,31/07/2020,21Z,22.8,87%,1010.5 Hpa,210º (SW),3.6,1/8,1/8 SC,-,-,-,-,-,Few clouds
ANZALI,31/07/2020,18Z,24.1,83%,1012.3 Hpa,200º (S ),3.6,1/8,1/8 SC,-,-,-,-,-,Few clouds
ANZALI,31/07/2020,15Z,26.4,74%,1012.0 Hpa,180º (S ),7.2,3/8,3/8 CU/SC,-,-,-,31.8,-,Scattered clouds
ANZALI,31/07/2020,12Z,30.0,100%,1013.2 Hpa,070º (E ),7.2,5/8,4/8 CU/SC,-,CC,-,-,-,Cloudy
ANZALI,31/07/2020,09Z,29.6,57%,1014.8 Hpa,020º (N),3.6,4/8,4/8 CU/SC,-,-,-,-,-,Scattered clouds
ANZALI,31/07/2020,06Z,27.9,113%,1015.8 Hpa,260º (W ),3.6,6/8,4/8 CU/SC,AC,CC,1.0(24h),-,-,Cloudy
ANZALI,31/07/2020,03Z,24.1,80%,1015.9 Hpa,calm.,,7/8,5/8 CB,AC,-,-,-,22.3,Cloudy
ANZALI,31/07/2020,00Z,22.6,85%,1015.9 Hpa,220º (SW),3.6,7/8,5/8 CB,AC,-,-,-,-,Cloudy
ARAK,31/07/2020,21Z,22.4,65%,998.1 Hpa,calm.,,2/8,2/8 SC,-,-,-,-,-,"Few clouds, haze"
ARAK,31/07/2020,18Z,22.2,66%,1000.3 Hpa,280º (W ),14.4,7/8,5/8 CB,AC,-,2.0(6h),-,-,"Cloudy, rain"
ARAK,31/07/2020,15Z,29.8,30%,997.0 Hpa,050º (NE),7.2,6/8,3/8 CU,AC,CI,-,33.0,-,"Cloudy, haze"
ARAK,31/07/2020,12Z,33.0,27%,995.8 Hpa,080º (E ),18.0,2/8,2/8 CU,AC,-,-,-,-,"Few clouds, dust"
ARAK,31/07/2020,09Z,31.2,31%,996.9 Hpa,080º (E ),10.8,1/8,1/8 CU,AC,-,-,-,-,"Few clouds, haze"
ARAK,31/07/2020,06Z,27.4,40%,998.9 Hpa,110º (E ),7.2,1/8,1/8 CU,AC,-,-,-,-,"Few clouds, dust"
ARAK,31/07/2020,03Z,22.4,43%,999.5 Hpa,060º (NE),3.6,2/8,-,2/8 AC,-,-,-,22.2,"Few clouds, dust"
ARAK,31/07/2020,00Z,24.0,30%,997.1 Hpa,060º (NE),3.6,0/8,-,-,-,-,-,-,Clear
ARDEBIL,31/07/2020,21Z,12.8,91%,1008.3 Hpa,calm.,,2/8,-,2/8 AC,-,-,-,-,Few clouds
ARDEBIL,31/07/2020,18Z,14.2,93%,1009.5 Hpa,330º (NW),10.8,1/8,1/8 ST,-,-,-,-,-,Few clouds
ARDEBIL,31/07/2020,15Z,17.4,77%,1008.7 Hpa,030º (NE),25.2,1/8,1/8 ST,-,-,-,21.2,-,Few clouds
ARDEBIL,31/07/2020,12Z,19.9,73%,1009.1 Hpa,030º (NE),39.6,1/8,1/8 ST,-,-,-,-,-,Few clouds
ARDEBIL,31/07/2020,09Z,20.6,71%,1010.3 Hpa,030º (NE),39.6,2/8,2/8 ST,-,-,-,-,-,Few clouds
ARDEBIL,31/07/2020,06Z,17.0,73%,1013.0 Hpa,calm.,,3/8,3/8 ST,-,-,-,-,-,Scattered clouds
ARDEBIL,31/07/2020,03Z,13.2,91%,1013.9 Hpa,calm.,,6/8,6/8 ST,-,-,-,-,10.8,"Cloudy, fog"
ARDEBIL,31/07/2020,00Z,11.4,72%,1014.1 Hpa,calm.,,3/8,2/8 CB,AC,-,-,-,-,Scattered clouds
BABULSAR,31/07/2020,21Z,23.6,91%,1010.1 Hpa,calm.,,6/8,6/8 ST,-,-,-,-,-,Cloudy
BABULSAR,31/07/2020,18Z,24.4,86%,1011.2 Hpa,calm.,,2/8,2/8 SC,-,-,-,-,-,Few clouds
BABULSAR,31/07/2020,15Z,27.2,71%,1011.4 Hpa,calm.,,6/8,3/8 ST,AC,-,-,29.0,-,Cloudy
BABULSAR,31/07/2020,12Z,28.4,69%,1012.5 Hpa,240º (SW),14.4,6/8,5/8 CB,AC,-,-,-,-,Cloudy
BABULSAR,31/07/2020,09Z,26.0,76%,1014.4 Hpa,170º (S ),10.8,7/8,4/8 ST,AC,-,-,-,-,Cloudy
BABULSAR,31/07/2020,06Z,23.2,94%,1015.0 Hpa,210º (SW),14.4,8/8,8/8 ST,,,2.0(6h),-,-,"Overcast, drizzle"
BABULSAR,31/07/2020,03Z,22.4,96%,1015.0 Hpa,180º (S ),3.6,8/8,7/8 CB,AC,,-,-,21.6,"Overcast, drizzle"
BABULSAR,31/07/2020,00Z,21.8,96%,1014.8 Hpa,180º (S ),18.0,8/8,7/8 ST,AC,,3.0(6h),-,-,"Overcast, drizzle"
BAFT,31/07/2020,21Z,23.0,37%,995.2 Hpa,calm.,,2/8,2/8 SC,-,-,-,-,-,Few clouds
BAFT,31/07/2020,18Z,26.2,32%,995.2 Hpa,calm.,,3/8,3/8 SC,-,-,-,-,-,Scattered clouds
BAFT,31/07/2020,15Z,30.0,15%,994.1 Hpa,030º (NE),10.8,4/8,1/8 CB,-,-,-,33.0,-,Scattered clouds
BAFT,31/07/2020,12Z,32.0,15%,992.5 Hpa,060º (NE),14.4,4/8,4/8 CU/SC,-,-,-,-,-,Scattered clouds
BAFT,31/07/2020,09Z,31.0,12%,995.1 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
BAFT,31/07/2020,06Z,28.8,15%,996.4 Hpa,150º (SE),10.8,0/8,-,-,-,-,-,-,Clear
BAFT,31/07/2020,03Z,23.4,22%,996.8 Hpa,360º (N ),7.2,1/8,-,-,CI,-,-,21.0,Few clouds
BAFT,31/07/2020,00Z,24.0,20%,995.7 Hpa,060º (NE),18.0,0/8,-,-,-,-,-,-,Clear
BAM,31/07/2020,21Z,32.9,14%,995.3 Hpa,290º (W ),7.2,0/8,-,-,-,-,-,-,Clear
BAM,31/07/2020,18Z,35.0,12%,995.1 Hpa,280º (W ),7.2,0/8,-,-,-,-,-,-,Clear
BAM,31/07/2020,15Z,38.4,9%,994.9 Hpa,320º (NW),7.2,0/8,-,-,-,-,41.9,-,Clear
BAM,31/07/2020,12Z,40.7,7%,994.1 Hpa,340º (N ),14.4,1/8,1/8 CU,-,-,-,-,-,Few clouds
BAM,31/07/2020,09Z,40.2,8%,995.9 Hpa,360º (N ),14.4,1/8,1/8 CU,-,-,-,-,-,Few clouds
BAM,31/07/2020,06Z,38.5,11%,996.8 Hpa,330º (NW),10.8,0/8,-,-,-,-,-,-,Clear
BAM,31/07/2020,03Z,30.8,16%,997.9 Hpa,290º (W ),10.8,0/8,-,-,-,-,-,30.8,Clear
BAM,31/07/2020,00Z,35.0,9%,995.2 Hpa,330º (NW),18.0,0/8,-,-,-,-,-,-,Clear
BANDAR LENGEH,31/07/2020,21Z,34.0,71%,996.6 Hpa,100º (E ),14.4,0/8,-,-,-,-,-,-,"Clear, haze"
BANDAR LENGEH,31/07/2020,18Z,36.2,61%,996.8 Hpa,calm.,,2/8,-,2/8 AC,-,-,-,-,"Few clouds, haze"
BANDAR LENGEH,31/07/2020,15Z,37.2,57%,995.3 Hpa,150º (SE),7.2,0/8,-,-,-,-,40.4,-,"Clear, haze"
BANDAR LENGEH,31/07/2020,12Z,37.3,68%,996.1 Hpa,190º (S ),10.8,0/8,-,-,-,-,-,-,"Clear, haze"
BANDAR LENGEH,31/07/2020,09Z,39.2,54%,997.5 Hpa,090º (E ),21.6,0/8,-,-,-,-,-,-,"Clear, haze"
