Station ∆,Date,UTC time,Temp. (ºC),Rel. Hum. (%),Pressure/ Geopot.,Wind dir,Wins speed (Km/h),Clouds,Low clouds,Medium clouds,High clouds,Prec. (mm),Max temp. (ºC),Min temp. (ºC),Conditions
ABADAN,11/01/2018,21Z,8.7,65%,1023.9 Hpa,200º (S ),3.6,0/8,-,-,-,-,-,-,Clear
ABADAN,11/01/2018,18Z,12.8,50%,1024.9 Hpa,160º (S ),3.6,0/8,-,-,-,-,-,-,Clear
ABADAN,11/01/2018,15Z,17.4,36%,1024.5 Hpa,010º (N),7.2,2/8,-,2/8 AC,-,-,23.1,-,Few clouds
ABADAN,11/01/2018,12Z,21.9,19%,1024.0 Hpa,040º (NE),10.8,6/8,-,-,CS,-,-,-,Cloudy
ABADAN,11/01/2018,09Z,21.1,25%,1025.5 Hpa,calm.,,2/8,-,-,CI,-,-,-,Few clouds
ABADAN,11/01/2018,06Z,12.1,65%,1027.3 Hpa,290º (W ),7.2,1/8,-,-,CI,-,-,-,"Few clouds, haze"
ABADAN,11/01/2018,03Z,5.6,78%,1024.7 Hpa,290º (W ),3.6,0/8,-,-,-,-,-,5.3,Clear
ABADAN,11/01/2018,00Z,8.5,54%,1024.1 Hpa,330º (NW),3.6,0/8,-,-,-,-,-,-,Clear
ABADEH,11/01/2018,21Z,-0.8,27%,1024.3 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ABADEH,11/01/2018,18Z,-2.4,49%,1028.8 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ABADEH,11/01/2018,15Z,6.6,26%,1027.9 Hpa,160º (S ),10.8,0/8,-,-,-,-,13.0,-,Clear
ABADEH,11/01/2018,12Z,12.4,12%,1024.6 Hpa,120º (SE),7.2,0/8,-,-,-,-,-,-,Clear
ABADEH,11/01/2018,09Z,9.2,19%,1025.7 Hpa,110º (E ),10.8,0/8,-,-,-,-,-,-,Clear
ABADEH,11/01/2018,06Z,-0.4,41%,1032.5 Hpa,300º (NW),7.2,0/8,-,-,-,-,-,-,Clear
ABADEH,11/01/2018,03Z,-7.6,58%,1030.7 Hpa,290º (W ),7.2,0/8,-,-,-,-,-,-8.0,Clear
ABADEH,11/01/2018,00Z,-6.8,65%,1027.3 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ABU MUSA,11/01/2018,15Z,21.4,25%,1020.2 Hpa,360º (N ),7.2,0/8,-,-,-,-,24.4,-,Clear
ABU MUSA,11/01/2018,12Z,23.0,150%,1020.2 Hpa,020º (N),10.8,0/8,-,-,-,-,-,-,Clear
ABU MUSA,11/01/2018,09Z,23.2,27%,1021.7 Hpa,080º (E ),21.6,0/8,-,-,-,-,-,-,Clear
ABU MUSA,11/01/2018,06Z,22.4,157%,1024.0 Hpa,340º (N ),14.4,0/8,-,-,-,-,-,-,Clear
ABU MUSA,11/01/2018,03Z,20.4,37%,1021.1 Hpa,330º (NW),14.4,0/8,-,-,-,-,-,20.0,Clear
AHAR,11/01/2018,21Z,6.4,37%,1018.1 Hpa,240º (SW),25.2,6/8,2/8 SC,AC,-,-,-,-,Cloudy
AHAR,11/01/2018,18Z,5.6,28%,1022.2 Hpa,300º (NW),7.2,5/8,2/8 SC,AC,-,-,-,-,Cloudy
AHAR,11/01/2018,15Z,6.4,24%,1023.3 Hpa,290º (W ),21.6,5/8,-,2/8 AC,CI,-,10.5,-,Cloudy
AHAR,11/01/2018,12Z,10.4,21%,1020.8 Hpa,220º (SW),25.2,3/8,-,1/8 AC,CI,-,-,-,Scattered clouds
AHAR,11/01/2018,09Z,8.2,25%,1022.7 Hpa,240º (SW),21.6,5/8,2/8 SC,AC,-,-,-,-,Cloudy
AHAR,11/01/2018,06Z,1.4,57%,1026.4 Hpa,340º (N ),10.8,3/8,-,2/8 AC,CI,-,-,-,Scattered clouds
AHAR,11/01/2018,03Z,-5.2,81%,1026.8 Hpa,calm.,,3/8,3/8 SC,-,-,-,-,-5.7,Scattered clouds
AHAR,11/01/2018,00Z,-2.2,81%,1025.2 Hpa,270º (W ),7.2,2/8,2/8 SC,-,-,-,-,-,Few clouds
AHWAZ,11/01/2018,21Z,8.4,60%,1023.5 Hpa,080º (E ),3.6,0/8,-,-,-,-,-,-,Clear
AHWAZ,11/01/2018,18Z,10.4,51%,1024.1 Hpa,220º (SW),3.6,0/8,-,-,-,-,-,-,Clear
