Station ∆,Date,UTC time,Temp. (ºC),Rel. Hum. (%),Pressure/ Geopot.,Wind dir,Wins speed (Km/h),Clouds,Low clouds,Medium clouds,High clouds,Prec. (mm),Max temp. (ºC),Min temp. (ºC),Conditions
ABADAN,23/05/2002,21Z,34.0,17%,-,170º (S ),14.4,5/8,-,-,-,-,-,-,Cloudy
ABADAN,23/05/2002,18Z,34.8,12%,1003.9 Hpa,calm.,,6/8,3/8 SC,AC,-,-,-,-,Cloudy
ABADAN,23/05/2002,15Z,39.2,12%,-,140º (SE),14.4,1/8,-,-,-,-,-,-,Few clouds
ABADAN,23/05/2002,12Z,42.0,6%,1004.7 Hpa,090º (E ),21.6,1/8,-,-,CI,-,-,-,Few clouds
ABADAN,23/05/2002,06Z,35.2,18%,1007.7 Hpa,040º (NE),14.4,0/8,2/8 SC,-,-,-,-,-,Clear
ABADAN,23/05/2002,03Z,28.2,25%,-,060º (NE),7.2,5/8,-,-,-,-,-,-,Cloudy
ABADAN,23/05/2002,00Z,31.0,34%,1002.9 Hpa,150º (SE),18.0,6/8,3/8 SC,AC,-,-,-,-,Cloudy
ABADEH,23/05/2002,21Z,16.0,32%,-,calm.,,0/8,-,-,-,-,-,-,Clear
ABADEH,23/05/2002,18Z,19.6,25%,1007.0 Hpa,calm.,,1/8,1/8 SC,-,-,-,-,-,Few clouds
ABADEH,23/05/2002,15Z,26.6,14%,-,300º (NW),25.2,4/8,-,-,-,-,-,-,Scattered clouds
ABADEH,23/05/2002,12Z,28.4,10%,1007.1 Hpa,280º (W ),36.0,4/8,4/8 CU,-,-,-,-,-,Scattered clouds
ABADEH,23/05/2002,09Z,27.6,9%,-,calm.,,1/8,-,-,-,-,-,-,Few clouds
ABADEH,23/05/2002,06Z,22.2,11%,1008.8 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ABADEH,23/05/2002,03Z,11.0,20%,-,calm.,,0/8,-,-,-,-,-,-,Clear
ABADEH,23/05/2002,00Z,15.0,33%,1006.0 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ABU MUSA,23/05/2002,12Z,33.0,84%,1003.3 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ABU MUSA,23/05/2002,06Z,30.4,98%,1004.5 Hpa,210º (SW),14.4,0/8,-,-,-,-,-,-,Clear
AHAR,23/05/2002,21Z,15.0,78%,-,calm.,,8/8,-,-,-,-,-,-,Overcast
AHAR,23/05/2002,18Z,,0%,1010.0 Hpa,120º (SE),10.8,5/8,1/8 CU,-,CC,-,-,-,Cloudy
AHAR,23/05/2002,15Z,23.6,34%,-,120º (SE),7.2,3/8,-,-,-,-,-,-,Scattered clouds
AHAR,23/05/2002,12Z,25.6,15%,1007.6 Hpa,210º (SW),18.0,4/8,3/8 CU,-,CI,-,-,-,Scattered clouds
AHAR,23/05/2002,09Z,23.6,22%,-,180º (S ),32.4,2/8,-,-,-,-,-,-,Few clouds
AHAR,23/05/2002,06Z,14.6,65%,1012.6 Hpa,calm.,,0/8,-,-,-,0.1(24h),-,-,Clear
AHAR,23/05/2002,03Z,9.8,89%,-,calm.,,7/8,-,-,-,-,-,-,Cloudy
AHAR,23/05/2002,00Z,10.6,92%,-,calm.,,8/8,-,-,-,-,-,-,Overcast
AHWAZ,23/05/2002,21Z,33.8,19%,-,080º (E ),10.8,2/8,-,-,-,-,-,-,Few clouds
AHWAZ,23/05/2002,18Z,37.0,13%,1004.2 Hpa,180º (S ),7.2,6/8,2/8 SC,AC,CI,-,-,-,Cloudy
AHWAZ,23/05/2002,15Z,41.6,12%,-,190º (S ),10.8,4/8,-,-,-,-,-,-,Scattered clouds
AHWAZ,23/05/2002,12Z,43.2,,-,100º (E ),7.2,1/8,-,-,-,-,-,-,Few clouds
AHWAZ,23/05/2002,06Z,35.6,19%,1007.0 Hpa,020º (N),7.2,0/8,-,-,-,-,-,-,Clear
AHWAZ,23/05/2002,03Z,25.4,33%,-,calm.,,3/8,-,-,-,-,-,-,Scattered clouds
AHWAZ,23/05/2002,00Z,33.2,23%,-,calm.,,5/8,2/8 SC,AC,-,-,-,-,Cloudy
