Station ∆,Date,UTC time,Temp. (ºC),Rel. Hum. (%),Pressure/ Geopot.,Wind dir,Wins speed (Km/h),Clouds,Low clouds,Medium clouds,High clouds,Prec. (mm),Max temp. (ºC),Min temp. (ºC),Conditions
ABADAN,28/07/2018,21Z,32.8,25%,996.4 Hpa,300º (NW),18.0,6/8,2/8 SC,AC,-,-,-,-,Cloudy
ABADAN,28/07/2018,18Z,36.8,24%,996.6 Hpa,300º (NW),21.6,0/8,-,-,-,-,-,-,Clear
ABADAN,28/07/2018,15Z,43.2,16%,994.2 Hpa,310º (NW),28.8,1/8,-,1/8 AC,-,-,46.1,-,"Few clouds, dust"
ABADAN,28/07/2018,12Z,45.8,15%,994.7 Hpa,300º (NW),36.0,0/8,-,-,-,-,-,-,"Clear, dust"
ABADAN,28/07/2018,09Z,43.1,17%,995.4 Hpa,310º (NW),32.4,0/8,-,-,-,-,-,-,"Clear, dust"
ABADAN,28/07/2018,06Z,37.0,22%,995.8 Hpa,310º (NW),36.0,0/8,-,-,-,-,-,-,"Clear, haze"
ABADAN,28/07/2018,03Z,32.9,27%,995.3 Hpa,290º (W ),25.2,6/8,-,6/8 AC,-,-,-,32.7,Cloudy
ABADAN,28/07/2018,00Z,33.4,26%,995.0 Hpa,300º (NW),18.0,0/8,-,-,-,-,-,-,Clear
ABADEH,28/07/2018,21Z,21.6,11%,997.5 Hpa,360º (N ),7.2,0/8,-,-,-,-,-,-,Clear
ABADEH,28/07/2018,18Z,25.4,9%,997.9 Hpa,340º (N ),14.4,0/8,-,-,-,-,-,-,Clear
ABADEH,28/07/2018,15Z,30.8,7%,997.9 Hpa,350º (N ),36.0,0/8,-,-,-,-,34.2,-,Clear
ABADEH,28/07/2018,12Z,32.8,6%,996.7 Hpa,360º (N ),28.8,0/8,-,-,-,-,-,-,Clear
ABADEH,28/07/2018,09Z,31.6,8%,996.9 Hpa,010º (N),25.2,0/8,-,-,-,-,-,-,Clear
ABADEH,28/07/2018,06Z,28.6,14%,996.0 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ABADEH,28/07/2018,03Z,18.2,21%,998.9 Hpa,350º (N ),10.8,0/8,-,-,-,-,-,17.4,Clear
