Station ∆,Date,UTC time,Temp. (ºC),Rel. Hum. (%),Pressure/ Geopot.,Wind dir,Wins speed (Km/h),Clouds,Low clouds,Medium clouds,High clouds,Prec. (mm),Max temp. (ºC),Min temp. (ºC),Conditions
ABADAN,10/08/2016,21Z,37.8,16%,998.2 Hpa,310º (NW),18.0,0/8,-,-,-,-,-,-,Clear
ABADAN,10/08/2016,18Z,37.4,16%,998.2 Hpa,270º (W ),7.2,0/8,-,-,-,-,-,-,Clear
ABADAN,10/08/2016,15Z,45.8,11%,997.1 Hpa,280º (W ),14.4,0/8,-,-,-,-,49.2,-,Clear
ABADAN,10/08/2016,12Z,48.8,7%,997.7 Hpa,290º (W ),14.4,0/8,-,-,-,-,-,-,Clear
ABADAN,10/08/2016,09Z,47.6,8%,999.4 Hpa,300º (NW),18.0,0/8,-,-,-,-,-,-,Clear
ABADAN,10/08/2016,06Z,39.4,23%,1000.4 Hpa,300º (NW),10.8,0/8,-,-,-,-,-,-,Clear
ABADAN,10/08/2016,03Z,29.4,43%,999.3 Hpa,270º (W ),7.2,0/8,-,-,-,-,-,28.8,"Clear, haze"
ABADAN,10/08/2016,00Z,30.0,34%,998.3 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ABADEH,10/08/2016,21Z,21.6,17%,1002.5 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ABADEH,10/08/2016,18Z,25.2,10%,1001.8 Hpa,020º (N),36.0,0/8,-,-,-,-,-,-,Clear
ABADEH,10/08/2016,15Z,28.6,10%,1002.4 Hpa,020º (N),18.0,0/8,-,-,-,-,30.6,-,Clear
ABADEH,10/08/2016,12Z,30.0,5%,1001.8 Hpa,360º (N ),28.8,0/8,-,-,-,-,-,-,Clear
ABADEH,10/08/2016,09Z,28.6,9%,1001.0 Hpa,360º (N ),10.8,0/8,-,-,-,-,-,-,Clear
ABADEH,10/08/2016,06Z,25.8,13%,1001.9 Hpa,340º (N ),14.4,0/8,-,-,-,-,-,-,Clear
ABADEH,10/08/2016,03Z,16.8,26%,1003.5 Hpa,calm.,,0/8,-,-,-,-,-,13.0,Clear
ABADEH,10/08/2016,00Z,16.8,19%,1002.1 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ABU MUSA,10/08/2016,15Z,34.2,77%,995.8 Hpa,270º (W ),18.0,3/8,1/8 SC,AC,-,-,37.2,-,"Scattered clouds, haze"
ABU MUSA,10/08/2016,12Z,36.2,71%,996.8 Hpa,290º (W ),18.0,0/8,-,-,-,-,-,-,"Clear, haze"
ABU MUSA,10/08/2016,09Z,36.0,67%,998.1 Hpa,280º (W ),18.0,0/8,-,-,-,-,-,-,"Clear, haze"
ABU MUSA,10/08/2016,06Z,34.4,78%,998.7 Hpa,210º (SW),7.2,1/8,1/8 ST,-,-,-,-,-,"Few clouds, mist"
ABU MUSA,10/08/2016,03Z,32.2,98%,998.4 Hpa,180º (S ),18.0,0/8,-,-,-,-,-,30.0,"Clear, mist"
AHAR,10/08/2016,21Z,19.8,43%,1006.5 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
AHAR,10/08/2016,18Z,26.0,33%,1006.3 Hpa,080º (E ),14.4,0/8,-,-,-,-,-,-,Clear
AHAR,10/08/2016,15Z,30.8,24%,1006.0 Hpa,050º (NE),14.4,0/8,-,-,-,-,32.8,-,Clear
AHAR,10/08/2016,12Z,32.0,19%,1005.6 Hpa,110º (E ),18.0,1/8,1/8 CU,-,-,-,-,-,Few clouds
AHAR,10/08/2016,09Z,29.8,23%,1006.9 Hpa,120º (SE),7.2,1/8,1/8 CU,-,-,-,-,-,Few clouds
AHAR,10/08/2016,06Z,24.0,34%,1008.9 Hpa,160º (S ),7.2,0/8,-,-,-,-,-,-,Clear
AHAR,10/08/2016,03Z,15.4,50%,1009.8 Hpa,calm.,,0/8,-,-,-,-,-,14.5,Clear
AHAR,10/08/2016,00Z,16.8,47%,1008.2 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
AHWAZ,10/08/2016,21Z,37.2,17%,997.0 Hpa,300º (NW),7.2,0/8,-,-,-,-,-,-,Clear
AHWAZ,10/08/2016,18Z,40.7,15%,996.6 Hpa,280º (W ),10.8,0/8,-,-,-,-,-,-,Clear
AHWAZ,10/08/2016,15Z,45.6,10%,995.4 Hpa,280º (W ),14.4,0/8,-,-,-,-,49.0,-,Clear
AHWAZ,10/08/2016,12Z,48.7,8%,995.9 Hpa,320º (NW),10.8,0/8,-,-,-,-,-,-,Clear
AHWAZ,10/08/2016,09Z,46.5,13%,997.8 Hpa,340º (N ),10.8,0/8,-,-,-,-,-,-,Clear
AHWAZ,10/08/2016,06Z,41.1,19%,999.0 Hpa,320º (NW),3.6,0/8,-,-,-,-,-,-,"Clear, haze"
AHWAZ,10/08/2016,03Z,30.6,35%,998.4 Hpa,070º (E ),3.6,0/8,-,-,-,-,-,29.0,"Clear, haze"
AHWAZ,10/08/2016,00Z,29.4,34%,997.7 Hpa,200º (S ),3.6,0/8,-,-,-,-,-,-,Clear
ALI-GOODARZ,10/08/2016,21Z,25.8,13%,1000.2 Hpa,060º (NE),25.2,0/8,-,-,-,-,-,-,Clear
ALI-GOODARZ,10/08/2016,18Z,26.9,11%,1000.9 Hpa,060º (NE),25.2,0/8,-,-,-,-,-,-,Clear
ALI-GOODARZ,10/08/2016,15Z,30.9,8%,1002.2 Hpa,060º (NE),25.2,0/8,-,-,-,-,32.6,-,Clear
ALI-GOODARZ,10/08/2016,12Z,31.9,9%,1001.1 Hpa,060º (NE),25.2,0/8,-,-,-,-,-,-,Clear
ALI-GOODARZ,10/08/2016,09Z,31.8,8%,1000.7 Hpa,060º (NE),25.2,0/8,-,-,-,-,-,-,Clear
ALI-GOODARZ,10/08/2016,06Z,28.1,13%,1001.4 Hpa,130º (SE),14.4,0/8,-,-,-,-,-,-,Clear
ALI-GOODARZ,10/08/2016,03Z,17.1,25%,1003.7 Hpa,130º (SE),10.8,0/8,-,-,-,-,-,16.7,Clear
ALI-GOODARZ,10/08/2016,00Z,20.0,21%,1001.0 Hpa,160º (S ),10.8,0/8,-,-,-,-,-,-,Clear
ANZALI,10/08/2016,21Z,26.8,90%,1007.7 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ANZALI,10/08/2016,18Z,28.2,83%,1008.5 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ANZALI,10/08/2016,15Z,29.6,74%,1007.9 Hpa,030º (NE),14.4,0/8,-,-,-,-,31.0,-,Clear
ANZALI,10/08/2016,12Z,30.2,99%,1008.5 Hpa,040º (NE),14.4,0/8,-,-,-,-,-,-,Clear
ANZALI,10/08/2016,09Z,30.4,75%,1009.9 Hpa,020º (N),10.8,1/8,-,1/8 AC,-,-,-,-,Few clouds
ANZALI,10/08/2016,06Z,28.2,110%,1011.0 Hpa,330º (NW),7.2,3/8,-,3/8 AC,-,-,-,-,Scattered clouds
ANZALI,10/08/2016,03Z,24.6,72%,1010.8 Hpa,240º (SW),7.2,4/8,3/8 ST,AC,-,-,-,24.4,Scattered clouds
ANZALI,10/08/2016,00Z,25.2,93%,1009.7 Hpa,230º (SW),7.2,2/8,-,2/8 AC,-,-,-,-,Few clouds
ARAK,10/08/2016,21Z,22.2,17%,1002.5 Hpa,170º (S ),7.2,0/8,-,-,-,-,-,-,"Clear, haze"
ARAK,10/08/2016,18Z,25.6,16%,1003.3 Hpa,170º (S ),3.6,0/8,-,-,-,-,-,-,"Clear, haze"
ARAK,10/08/2016,15Z,32.4,6%,1002.8 Hpa,100º (E ),7.2,0/8,-,-,-,-,35.0,-,Clear
ARAK,10/08/2016,12Z,34.6,7%,1001.9 Hpa,060º (NE),14.4,1/8,1/8 CU,-,-,-,-,-,Few clouds
ARAK,10/08/2016,09Z,33.2,9%,1002.3 Hpa,070º (E ),10.8,1/8,1/8 CU,-,-,-,-,-,Few clouds
ARAK,10/08/2016,06Z,28.4,13%,1003.6 Hpa,calm.,,0/8,-,-,-,-,-,-,"Clear, haze"
ARAK,10/08/2016,03Z,18.8,22%,1004.8 Hpa,calm.,,0/8,-,-,-,-,-,18.2,"Clear, haze"
ARAK,10/08/2016,00Z,19.4,20%,1001.8 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ARDEBIL,10/08/2016,21Z,16.9,51%,1006.1 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ARDEBIL,10/08/2016,18Z,19.4,52%,1007.2 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ARDEBIL,10/08/2016,15Z,24.4,44%,1007.6 Hpa,040º (NE),21.6,1/8,1/8 CU,AC,-,-,30.2,-,Few clouds
ARDEBIL,10/08/2016,12Z,28.6,42%,1005.7 Hpa,050º (NE),32.4,1/8,1/8 CU,-,-,-,-,-,Few clouds
ARDEBIL,10/08/2016,09Z,29.6,24%,1006.4 Hpa,030º (NE),10.8,0/8,-,-,-,-,-,-,Clear
ARDEBIL,10/08/2016,06Z,23.4,36%,1009.0 Hpa,calm.,,1/8,-,1/8 AC,-,-,-,-,Few clouds
ARDEBIL,10/08/2016,03Z,12.7,56%,1010.0 Hpa,calm.,,3/8,-,3/8 AC,-,-,-,12.0,Scattered clouds
