Station ∆,Date,UTC time,Temp. (ºC),Rel. Hum. (%),Pressure/ Geopot.,Wind dir,Wins speed (Km/h),Clouds,Low clouds,Medium clouds,High clouds,Prec. (mm),Max temp. (ºC),Min temp. (ºC),Conditions
ABADAN,18/01/2014,21Z,11.2,97%,1017.6 Hpa,240º (SW),10.8,8/8,8/8 ST,,,-,-,-,"Overcast, drizzle"
ABADAN,18/01/2014,18Z,11.4,92%,1017.6 Hpa,260º (W ),14.4,8/8,8/8 ST,,,-,-,-,Overcast
ABADAN,18/01/2014,15Z,11.8,87%,1015.3 Hpa,300º (NW),18.0,8/8,4/8 ST,AC,,-,14.0,-,Overcast
ABADAN,18/01/2014,12Z,13.8,79%,1012.3 Hpa,290º (W ),28.8,6/8,6/8 CB,-,-,-,-,-,Cloudy
ABADAN,18/01/2014,09Z,13.0,85%,1011.9 Hpa,300º (NW),28.8,8/8,5/8 CB,AC,,-,-,-,"Overcast, mist"
ABADAN,18/01/2014,06Z,13.6,97%,1012.6 Hpa,180º (S ),10.8,8/8,5/8 CB,AC,,11.0(6h),-,-,"Overcast, rain showers"
ABADAN,18/01/2014,03Z,12.6,88%,1012.6 Hpa,120º (SE),10.8,8/8,3/8 CB,AC,,-,-,11.6,"Overcast, mist"
ABADAN,18/01/2014,00Z,11.8,97%,1014.3 Hpa,060º (NE),25.2,8/8,6/8 CB,AC,,6.0(6h),-,-,"Overcast, rain"
ABADEH,18/01/2014,21Z,-0.6,92%,1017.2 Hpa,310º (NW),7.2,7/8,3/8 SC,AC,-,-,-,-,"Cloudy, mist"
ABADEH,18/01/2014,18Z,-1.0,91%,1018.7 Hpa,290º (W ),7.2,7/8,4/8 CB,AC,-,0.4(6h),-,-,"Cloudy, mist"
ABADEH,18/01/2014,15Z,0.6,92%,1016.0 Hpa,calm.,,8/8,3/8 SC,AC,,-,3.6,-,"Overcast, mist"
ABADEH,18/01/2014,12Z,0.4,96%,1015.6 Hpa,calm.,,8/8,5/8 CB,AC,,2.0(6h),-,-,"Overcast, snow"
ABADEH,18/01/2014,09Z,2.6,69%,1015.1 Hpa,290º (W ),10.8,6/8,2/8 SC,AC,-,-,-,-,Cloudy
ABADEH,18/01/2014,06Z,0.0,76%,1019.9 Hpa,calm.,,8/8,5/8 CB,AC,,0.2(6h),-,-,"Overcast, snow"
ABADEH,18/01/2014,03Z,0.0,49%,1016.3 Hpa,340º (N ),14.4,8/8,2/8 SC,AC,,-,-,-2.6,Overcast
ABADEH,18/01/2014,00Z,-2.2,60%,1015.8 Hpa,340º (N ),10.8,8/8,-,-,CS,-,-,-,Overcast
ABU MUSA,18/01/2014,15Z,21.0,66%,1015.4 Hpa,300º (NW),14.4,8/8,2/8 SC,AC,,-,22.2,-,"Overcast, haze"
ABU MUSA,18/01/2014,12Z,21.8,164%,1014.9 Hpa,220º (SW),14.4,1/8,1/8 SC,-,-,-,-,-,"Few clouds, haze"
ABU MUSA,18/01/2014,09Z,21.0,64%,1016.0 Hpa,160º (S ),28.8,0/8,-,-,-,-,-,-,"Clear, dust"
ABU MUSA,18/01/2014,06Z,20.4,312%,1017.7 Hpa,150º (SE),36.0,1/8,1/8 SC,-,-,-,-,-,"Few clouds, dust"
ABU MUSA,18/01/2014,03Z,16.4,67%,1015.7 Hpa,100º (E ),7.2,1/8,-,-,CI,-,-,16.4,"Few clouds, haze"
AHAR,18/01/2014,21Z,-1.8,63%,1024.4 Hpa,250º (W ),14.4,0/8,-,-,-,-,-,-,Clear
AHAR,18/01/2014,18Z,-3.6,71%,1028.0 Hpa,340º (N ),7.2,0/8,-,-,-,-,-,-,Clear
AHAR,18/01/2014,15Z,0.6,62%,1026.5 Hpa,250º (W ),10.8,1/8,-,-,CI,-,7.3,-,Few clouds
AHAR,18/01/2014,12Z,6.0,48%,1023.7 Hpa,220º (SW),7.2,2/8,-,-,CI,-,-,-,Few clouds
AHAR,18/01/2014,09Z,3.2,53%,1025.8 Hpa,calm.,,5/8,-,-,CI,-,-,-,Cloudy
AHAR,18/01/2014,06Z,-5.0,74%,1029.0 Hpa,calm.,,6/8,1/8 CU,AC,CI,-,-,-,Cloudy
AHAR,18/01/2014,03Z,-5.4,76%,1027.2 Hpa,calm.,,6/8,-,-,CI,-,-,-5.8,Cloudy
AHAR,18/01/2014,00Z,-5.0,76%,1024.5 Hpa,calm.,,6/8,-,-,CI,-,-,-,Cloudy
AHWAZ,18/01/2014,21Z,11.0,94%,1016.0 Hpa,150º (SE),3.6,8/8,4/8 CB,AC,,-,-,-,"Overcast, mist"
AHWAZ,18/01/2014,18Z,10.8,89%,1015.6 Hpa,250º (W ),18.0,7/8,3/8 SC,AC,-,Tr(6h),-,-,"Cloudy, mist"
AHWAZ,18/01/2014,15Z,11.2,94%,1012.6 Hpa,280º (W ),14.4,8/8,8/8 ST,,,-,13.6,-,"Overcast, drizzle"
AHWAZ,18/01/2014,12Z,13.2,97%,1010.0 Hpa,calm.,,8/8,8/8 ST,,,6.0(6h),-,-,"Overcast, mist"
AHWAZ,18/01/2014,09Z,12.8,93%,1011.0 Hpa,130º (SE),18.0,8/8,6/8 ST,AC,,-,-,-,"Overcast, mist"
AHWAZ,18/01/2014,06Z,12.0,92%,1013.1 Hpa,100º (E ),18.0,8/8,6/8 ST,AC,,25.0(6h),-,-,"Overcast, rain"
AHWAZ,18/01/2014,03Z,12.0,94%,1012.9 Hpa,calm.,,8/8,7/8 CB,AC,,-,-,11.4,"Overcast, rain"
AHWAZ,18/01/2014,00Z,12.6,93%,1015.7 Hpa,calm.,,8/8,6/8 CB,AC,,3.0(6h),-,-,"Overcast, rain"
ALI-GOODARZ,18/01/2014,21Z,-1.4,87%,1021.0 Hpa,calm.,,7/8,4/8 SC,AC,-,-,-,-,Cloudy
ALI-GOODARZ,18/01/2014,18Z,-1.8,86%,1020.2 Hpa,070º (E ),21.6,5/8,4/8 ST,AC,-,1.0(6h),-,-,Cloudy
ALI-GOODARZ,18/01/2014,15Z,-2.6,97%,1019.8 Hpa,calm.,,7/8,5/8 CB,AC,-,-,0.8,-,"Cloudy, snow"
ALI-GOODARZ,18/01/2014,12Z,-1.0,95%,1017.9 Hpa,090º (E ),10.8,8/8,6/8 CB,AC,,6.0(6h),-,-,"Overcast, snow"
ALI-GOODARZ,18/01/2014,09Z,-1.0,95%,1017.7 Hpa,100º (E ),10.8,8/8,6/8 CB,AC,,-,-,-,"Overcast, snow"
ALI-GOODARZ,18/01/2014,06Z,-1.2,98%,1018.8 Hpa,120º (SE),10.8,8/8,6/8 CB,AC,,5.0(6h),-,-,"Overcast, rain"
ALI-GOODARZ,18/01/2014,03Z,-2.4,97%,1018.8 Hpa,110º (E ),18.0,8/8,5/8 CB,AC,,-,-,-3.4,"Overcast, snow"
ALI-GOODARZ,18/01/2014,00Z,-2.6,97%,1019.5 Hpa,calm.,,8/8,5/8 CB,AC,,3.0(6h),-,-,"Overcast, snow"
ANZALI,18/01/2014,21Z,7.4,94%,1020.8 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ANZALI,18/01/2014,18Z,9.2,91%,1023.2 Hpa,170º (S ),10.8,4/8,-,1/8 AC,CI,-,-,-,Scattered clouds
ANZALI,18/01/2014,15Z,10.0,92%,1021.7 Hpa,calm.,,7/8,4/8 SC,AC,-,-,12.0,-,Cloudy
ANZALI,18/01/2014,12Z,11.6,44%,1021.8 Hpa,calm.,,7/8,4/8 SC,AC,-,-,-,-,Cloudy
ANZALI,18/01/2014,09Z,11.2,77%,1024.8 Hpa,300º (NW),7.2,7/8,5/8 SC,AC,-,-,-,-,Cloudy
ANZALI,18/01/2014,06Z,10.0,100%,1024.5 Hpa,210º (SW),7.2,7/8,4/8 SC,AC,-,-,-,-,Cloudy
ANZALI,18/01/2014,03Z,8.6,91%,1022.1 Hpa,calm.,,7/8,-,-,CI,-,-,8.2,Cloudy
ANZALI,18/01/2014,00Z,8.2,94%,1020.5 Hpa,calm.,,6/8,-,-,CI,-,-,-,Cloudy
ARAK,18/01/2014,21Z,-1.0,94%,1023.9 Hpa,calm.,,8/8,4/8 ST,AC,,-,-,-,"Overcast, snow"
ARAK,18/01/2014,18Z,-1.0,91%,1024.8 Hpa,060º (NE),7.2,8/8,3/8 ST,AC,,1.0(6h),-,-,"Overcast, mist"
ARAK,18/01/2014,15Z,-2.2,97%,1023.5 Hpa,calm.,,8/8,2/8 ST,AC,,-,-1.0,-,"Overcast, rain and snow"
ARAK,18/01/2014,12Z,-1.2,98%,1022.2 Hpa,calm.,,8/8,2/8 SC,AC,,6.0(6h),-,-,"Overcast, snow"
ARAK,18/01/2014,09Z,-1.8,98%,1022.9 Hpa,calm.,,8/8,2/8 ST,AC,,-,-,-,"Overcast, snow"
ARAK,18/01/2014,06Z,-4.4,95%,1025.3 Hpa,calm.,,8/8,3/8 ST,AC,,7.0(6h),-,-,"Overcast, snow"
ARAK,18/01/2014,03Z,-5.0,95%,1023.7 Hpa,calm.,,8/8,3/8 ST,AC,,-,-,-5.6,"Overcast, snow"
ARAK,18/01/2014,00Z,-5.6,94%,1024.7 Hpa,calm.,,,-,-,-,-,-,-,fog
ARDEBIL,18/01/2014,21Z,-6.2,94%,1026.7 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ARDEBIL,18/01/2014,18Z,-3.0,92%,1026.6 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ARDEBIL,18/01/2014,15Z,-1.4,86%,1025.4 Hpa,calm.,,0/8,-,-,-,-,3.8,-,Clear
ARDEBIL,18/01/2014,12Z,2.6,80%,1023.4 Hpa,calm.,,5/8,-,2/8 AC,CI,-,-,-,Cloudy
ARDEBIL,18/01/2014,09Z,-0.4,95%,1025.7 Hpa,calm.,,7/8,-,7/8 AC,-,-,-,-,Cloudy
ARDEBIL,18/01/2014,06Z,-1.6,94%,1025.3 Hpa,calm.,,8/8,1/8 SC,AC,,-,-,-,Overcast
ARDEBIL,18/01/2014,03Z,-2.8,97%,1024.3 Hpa,calm.,,8/8,8/8 ST,,,-,-,-3.4,"Overcast, mist"
ARDEBIL,18/01/2014,00Z,-3.2,92%,1023.4 Hpa,calm.,,7/8,-,-,CI,-,-,-,Cloudy
BABULSAR,18/01/2014,21Z,9.0,91%,1021.2 Hpa,Vble.,,8/8,1/8 ST,-,CS,-,-,-,Overcast
BABULSAR,18/01/2014,18Z,9.4,94%,1022.2 Hpa,Vble.,,8/8,-,8/8 AC,,-,-,-,Overcast
BABULSAR,18/01/2014,15Z,10.6,87%,1021.7 Hpa,Vble.,,7/8,-,7/8 AC,-,-,12.2,-,Cloudy
BABULSAR,18/01/2014,12Z,12.0,78%,1021.8 Hpa,Vble.,,8/8,4/8 ST,AC,,-,-,-,Overcast
BABULSAR,18/01/2014,09Z,12.2,78%,1022.3 Hpa,Vble.,,8/8,8/8 ST,,,-,-,-,Overcast
BABULSAR,18/01/2014,06Z,9.0,83%,1022.5 Hpa,Vble.,,8/8,8/8 ST,,,-,-,-,Overcast
BABULSAR,18/01/2014,03Z,7.4,79%,1021.1 Hpa,calm.,,7/8,-,-,CS,-,-,6.4,Cloudy
