Station ∆,Date,UTC time,Temp. (ºC),Rel. Hum. (%),Pressure/ Geopot.,Wind dir,Wins speed (Km/h),Clouds,Low clouds,Medium clouds,High clouds,Prec. (mm),Max temp. (ºC),Min temp. (ºC),Conditions
ABADAN,17/06/2005,21Z,36.4,11%,-,330º (NW),32.4,0/8,-,-,-,-,-,-,Clear
ABADAN,17/06/2005,18Z,39.8,11%,1001.2 Hpa,330º (NW),32.4,0/8,-,-,-,-,-,-,Clear
ABADAN,17/06/2005,15Z,46.2,16%,999.8 Hpa,340º (N ),32.4,0/8,-,-,-,-,50.2,-,"Clear, haze"
ABADAN,17/06/2005,12Z,48.8,9%,1000.9 Hpa,340º (N ),32.4,0/8,-,-,-,-,-,-,"Clear, haze"
ABADAN,17/06/2005,09Z,48.0,10%,-,330º (NW),21.6,0/8,-,-,-,-,-,-,Clear
ABADAN,17/06/2005,06Z,39.4,25%,1003.2 Hpa,330º (NW),14.4,0/8,-,-,-,-,-,-,"Clear, haze"
ABADAN,17/06/2005,03Z,30.8,37%,-,280º (W ),10.8,0/8,-,-,-,-,-,-,Clear
ABADAN,17/06/2005,00Z,32.8,27%,1001.6 Hpa,350º (N ),10.8,0/8,-,-,-,-,-,-,Clear
ABADEH,17/06/2005,21Z,20.4,29%,998.8 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ABADEH,17/06/2005,18Z,26.0,16%,997.4 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ABADEH,17/06/2005,15Z,31.0,15%,-,360º (N ),7.2,0/8,-,-,-,-,-,-,Clear
ABADEH,17/06/2005,12Z,,0%,-,calm.,,0/8,-,-,-,-,-,-,Clear
ABADEH,17/06/2005,09Z,30.8,17%,-,calm.,,0/8,-,-,-,-,-,-,Clear
ABADEH,17/06/2005,06Z,26.0,19%,1004.4 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ABADEH,17/06/2005,03Z,14.4,33%,-,calm.,,0/8,-,-,-,-,-,-,Clear
ABADEH,17/06/2005,00Z,15.2,35%,1004.4 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ABU MUSA,17/06/2005,15Z,32.0,79%,996.7 Hpa,210º (SW),18.0,0/8,-,-,-,-,34.4,-,"Clear, mist"
ABU MUSA,17/06/2005,12Z,33.8,235%,999.1 Hpa,240º (SW),7.2,0/8,-,-,-,-,-,-,Clear
ABU MUSA,17/06/2005,06Z,32.4,153%,1001.6 Hpa,250º (W ),14.4,0/8,-,-,-,-,-,-,"Clear, mist"
ABU MUSA,17/06/2005,03Z,31.4,81%,-,190º (S ),10.8,0/8,-,-,-,-,-,-,Clear
AHAR,17/06/2005,21Z,18.8,55%,-,120º (SE),14.4,6/8,-,-,-,-,-,-,Cloudy
AHAR,17/06/2005,18Z,19.8,56%,-,080º (E ),7.2,0/8,-,-,-,-,-,-,Clear
AHAR,17/06/2005,15Z,24.0,43%,-,070º (E ),25.2,1/8,-,-,-,-,-,-,Few clouds
AHAR,17/06/2005,12Z,25.8,40%,1007.3 Hpa,130º (SE),21.6,1/8,1/8 CU,-,-,-,-,-,Few clouds
AHAR,17/06/2005,09Z,23.2,50%,-,160º (S ),21.6,1/8,-,-,-,-,-,-,Few clouds
AHAR,17/06/2005,06Z,19.4,65%,-,QE0º (),-,3/8,-,-,-,-,-,-,Scattered clouds
AHAR,17/06/2005,03Z,16.6,84%,-,120º (SE),14.4,8/8,-,-,-,-,-,-,Overcast
AHAR,17/06/2005,00Z,15.0,79%,1005.5 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
AHWAZ,17/06/2005,21Z,35.8,14%,998.9 Hpa,280º (W ),28.8,0/8,-,-,-,-,-,-,"Clear, haze"
AHWAZ,17/06/2005,18Z,40.0,11%,999.6 Hpa,290º (W ),25.2,0/8,-,-,-,-,-,-,"Clear, dust"
AHWAZ,17/06/2005,15Z,46.0,9%,998.4 Hpa,280º (W ),32.4,0/8,-,-,-,-,49.4,-,"Clear, dust"
AHWAZ,17/06/2005,12Z,48.6,6%,999.5 Hpa,280º (W ),21.6,0/8,-,-,-,-,-,-,Clear
AHWAZ,17/06/2005,06Z,38.4,17%,1002.5 Hpa,calm.,,0/8,-,-,-,-,-,-,"Clear, haze"
AHWAZ,17/06/2005,03Z,33.0,20%,-,290º (W ),7.2,0/8,-,-,-,-,-,-,Clear
AHWAZ,17/06/2005,00Z,31.4,31%,1000.6 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ALI-GOODARZ,17/06/2005,21Z,21.2,25%,-,calm.,,0/8,-,-,-,-,-,-,Clear
ALI-GOODARZ,17/06/2005,18Z,23.0,23%,-,calm.,,0/8,-,-,-,-,-,-,Clear
ALI-GOODARZ,17/06/2005,15Z,30.0,9%,-,280º (W ),18.0,3/8,-,-,-,-,-,-,Scattered clouds
