Station ∆,Date,UTC time,Temp. (ºC),Rel. Hum. (%),Pressure/ Geopot.,Wind dir,Wins speed (Km/h),Clouds,Low clouds,Medium clouds,High clouds,Prec. (mm),Max temp. (ºC),Min temp. (ºC),Conditions
ABADAN,07/01/2012,21Z,13.0,88%,1018.6 Hpa,calm.,,6/8,2/8 SC,AC,-,-,-,-,"Cloudy, mist"
ABADAN,07/01/2012,18Z,15.4,76%,1018.8 Hpa,calm.,,5/8,2/8 SC,AC,-,-,-,-,Cloudy
ABADAN,07/01/2012,15Z,18.2,67%,1018.8 Hpa,calm.,,8/8,3/8 SC,AC,,-,21.0,-,Overcast
ABADAN,07/01/2012,12Z,20.0,57%,1018.0 Hpa,calm.,,1/8,-,1/8 AC,-,-,-,-,Few clouds
ABADAN,07/01/2012,09Z,15.8,47%,1018.8 Hpa,330º (NW),7.2,7/8,5/8 CB,AC,-,-,-,-,Cloudy
ABADAN,07/01/2012,06Z,13.0,72%,1019.8 Hpa,310º (NW),7.2,7/8,5/8 CB,AC,-,-,-,-,"Cloudy, haze"
ABADAN,07/01/2012,03Z,12.8,88%,1017.8 Hpa,calm.,,5/8,2/8 SC,AC,-,-,-,12.0,"Cloudy, mist"
ABADAN,07/01/2012,00Z,12.4,88%,1017.3 Hpa,calm.,,6/8,2/8 SC,AC,-,-,-,-,Cloudy
ABADEH,07/01/2012,21Z,2.8,57%,1016.6 Hpa,270º (W ),7.2,0/8,-,-,-,-,-,-,Clear
ABADEH,07/01/2012,18Z,6.2,48%,1016.9 Hpa,calm.,,1/8,1/8 SC,-,-,-,-,-,Few clouds
ABADEH,07/01/2012,15Z,8.4,37%,1017.0 Hpa,270º (W ),10.8,3/8,3/8 CU,-,-,-,14.4,-,Scattered clouds
ABADEH,07/01/2012,12Z,12.6,30%,1014.2 Hpa,250º (W ),32.4,6/8,6/8 CB,-,-,-,-,-,Cloudy
ABADEH,07/01/2012,09Z,13.6,25%,1014.8 Hpa,260º (W ),32.4,4/8,4/8 CU,-,-,-,-,-,Scattered clouds
ABADEH,07/01/2012,06Z,8.2,47%,1018.3 Hpa,300º (NW),10.8,5/8,-,3/8 AC,CI,-,-,-,Cloudy
ABADEH,07/01/2012,03Z,2.6,66%,1015.7 Hpa,calm.,,4/8,-,1/8 AC,CI,-,-,-0.2,Scattered clouds
ABADEH,07/01/2012,00Z,1.0,41%,1014.2 Hpa,360º (N ),7.2,5/8,-,1/8 AC,CI,-,-,-,Cloudy
ABU MUSA,07/01/2012,15Z,21.2,61%,1017.2 Hpa,calm.,,0/8,-,-,-,-,24.4,-,"Clear, haze"
ABU MUSA,07/01/2012,12Z,23.4,81%,1016.3 Hpa,calm.,,0/8,-,-,-,-,-,-,"Clear, haze"
ABU MUSA,07/01/2012,09Z,24.2,42%,1017.4 Hpa,020º (N),18.0,0/8,-,-,-,-,-,-,"Clear, haze"
ABU MUSA,07/01/2012,06Z,23.0,83%,1019.0 Hpa,calm.,,0/8,-,-,-,-,-,-,"Clear, haze"
ABU MUSA,07/01/2012,03Z,19.2,44%,1016.9 Hpa,calm.,,0/8,-,-,-,-,-,18.6,"Clear, haze"
AHAR,07/01/2012,21Z,-0.8,73%,1021.3 Hpa,270º (W ),14.4,0/8,-,-,-,-,-,-,Clear
AHAR,07/01/2012,18Z,-1.4,75%,1022.7 Hpa,280º (W ),21.6,0/8,-,-,-,-,-,-,Clear
AHAR,07/01/2012,15Z,3.0,68%,1021.0 Hpa,270º (W ),18.0,1/8,1/8 CU,-,-,-,6.2,-,Few clouds
AHAR,07/01/2012,12Z,6.0,46%,1019.7 Hpa,230º (SW),43.2,1/8,1/8 CU,-,-,-,-,-,Few clouds
AHAR,07/01/2012,09Z,5.8,48%,1019.1 Hpa,210º (SW),36.0,1/8,1/8 CU,-,-,-,-,-,Few clouds
AHAR,07/01/2012,06Z,2.0,77%,1019.9 Hpa,240º (SW),10.8,1/8,1/8 CU,-,-,-,-,-,Few clouds
AHAR,07/01/2012,03Z,-0.2,74%,1019.0 Hpa,210º (SW),18.0,1/8,1/8 SC,-,-,-,-,-2.4,Few clouds
AHAR,07/01/2012,00Z,-1.2,80%,1017.7 Hpa,240º (SW),18.0,4/8,4/8 SC,-,-,-,-,-,Scattered clouds
AHWAZ,07/01/2012,21Z,11.4,77%,1018.6 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
AHWAZ,07/01/2012,18Z,14.2,77%,1018.8 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
AHWAZ,07/01/2012,15Z,18.8,62%,1018.1 Hpa,200º (S ),7.2,1/8,-,1/8 AC,-,-,22.6,-,Few clouds
AHWAZ,07/01/2012,12Z,22.0,53%,1017.1 Hpa,180º (S ),14.4,2/8,2/8 CU,-,-,-,-,-,Few clouds
