Station ∆,Date,UTC time,Temp. (ºC),Rel. Hum. (%),Pressure/ Geopot.,Wind dir,Wins speed (Km/h),Clouds,Low clouds,Medium clouds,High clouds,Prec. (mm),Max temp. (ºC),Min temp. (ºC),Conditions
ABADAN,02/11/2007,21Z,15.2,60%,1012.8 Hpa,300º (NW),7.2,0/8,-,-,-,-,-,-,Clear
ABADAN,02/11/2007,18Z,17.4,54%,1013.1 Hpa,330º (NW),7.2,0/8,-,-,-,-,-,-,Clear
ABADAN,02/11/2007,15Z,24.4,37%,1012.6 Hpa,330º (NW),10.8,0/8,-,-,-,-,28.2,-,Clear
ABADAN,02/11/2007,12Z,26.6,26%,1013.0 Hpa,360º (N ),21.6,0/8,-,-,-,-,-,-,Clear
ABADAN,02/11/2007,09Z,25.0,29%,1014.9 Hpa,330º (NW),14.4,0/8,-,-,-,-,-,-,Clear
ABADAN,02/11/2007,06Z,19.0,39%,1017.1 Hpa,330º (NW),10.8,2/8,-,-,CI,-,-,-,"Few clouds, haze"
ABADAN,02/11/2007,03Z,13.2,60%,1016.1 Hpa,290º (W ),7.2,0/8,-,-,-,-,-,13.2,Clear
ABADAN,02/11/2007,00Z,13.8,62%,1012.3 Hpa,330º (NW),7.2,0/8,-,-,-,-,-,-,Clear
ABADEH,02/11/2007,18Z,12.6,19%,1009.1 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ABADEH,02/11/2007,15Z,16.6,13%,1011.1 Hpa,230º (SW),10.8,0/8,-,-,-,-,22.8,-,Clear
ABADEH,02/11/2007,12Z,21.8,6%,1009.1 Hpa,250º (W ),21.6,0/8,-,-,-,-,-,-,Clear
ABADEH,02/11/2007,09Z,21.6,7%,1008.5 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ABADEH,02/11/2007,06Z,14.6,21%,1013.8 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ABU MUSA,02/11/2007,15Z,27.4,79%,1009.5 Hpa,calm.,,8/8,2/8 SC,AC,,-,30.6,-,"Overcast, mist"
ABU MUSA,02/11/2007,12Z,28.2,111%,1009.2 Hpa,010º (N),10.8,8/8,2/8 SC,AC,,-,-,-,"Overcast, haze"
ABU MUSA,02/11/2007,09Z,29.8,49%,1010.1 Hpa,030º (NE),10.8,8/8,2/8 SC,AC,,-,-,-,"Overcast, haze"
ABU MUSA,02/11/2007,06Z,28.4,61%,1012.1 Hpa,030º (NE),10.8,8/8,2/8 SC,AC,,-,-,-,"Overcast, haze"
AHAR,02/11/2007,18Z,9.0,67%,1015.5 Hpa,240º (SW),7.2,0/8,-,-,-,-,-,-,Clear
AHAR,02/11/2007,15Z,12.0,58%,1015.6 Hpa,270º (W ),14.4,0/8,-,-,-,-,16.4,-,Clear
AHAR,02/11/2007,12Z,16.0,43%,1015.3 Hpa,200º (S ),7.2,1/8,1/8 CU,-,-,-,-,-,Few clouds
AHAR,02/11/2007,09Z,13.4,52%,1017.9 Hpa,270º (W ),7.2,1/8,1/8 CU,-,-,-,-,-,Few clouds
AHAR,02/11/2007,06Z,8.8,70%,1021.3 Hpa,270º (W ),14.4,7/8,7/8 ST,-,-,-,-,-,Cloudy
AHWAZ,02/11/2007,21Z,17.4,50%,1011.9 Hpa,220º (SW),3.6,0/8,-,-,-,-,-,-,Clear
AHWAZ,02/11/2007,15Z,23.2,34%,1011.7 Hpa,270º (W ),3.6,0/8,-,-,-,-,-,28.0,Clear
AHWAZ,02/11/2007,12Z,27.4,23%,1011.8 Hpa,270º (W ),18.0,0/8,-,-,-,-,-,-,Clear
AHWAZ,02/11/2007,09Z,26.0,27%,1013.7 Hpa,290º (W ),18.0,0/8,-,-,-,-,-,-,Clear
AHWAZ,02/11/2007,06Z,19.8,45%,1015.7 Hpa,300º (NW),7.2,0/8,-,-,-,-,-,-,Clear
ALI-GOODARZ,02/11/2007,18Z,9.4,29%,1011.1 Hpa,090º (E ),10.8,0/8,-,-,-,-,-,-,Clear
ALI-GOODARZ,02/11/2007,15Z,14.2,16%,1014.0 Hpa,360º (N ),18.0,0/8,-,-,-,-,20.2,-,Clear
ALI-GOODARZ,02/11/2007,12Z,19.0,10%,1009.9 Hpa,300º (NW),10.8,0/8,-,-,-,-,-,-,Clear
ALI-GOODARZ,02/11/2007,09Z,16.4,20%,1011.5 Hpa,270º (W ),14.4,0/8,-,-,-,-,-,-,Clear
ALI-GOODARZ,02/11/2007,06Z,9.8,28%,1014.9 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ANZALI,02/11/2007,21Z,15.0,98%,1014.5 Hpa,calm.,,0/8,-,-,-,-,-,-,"Clear, mist"
ANZALI,02/11/2007,15Z,17.0,100%,1016.7 Hpa,150º (SE),7.2,1/8,1/8 SC,-,-,-,19.4,-,Few clouds
ANZALI,02/11/2007,12Z,19.2,191%,1017.9 Hpa,350º (N ),7.2,5/8,5/8 CB,-,-,0.1(6h),-,-,Cloudy
ANZALI,02/11/2007,09Z,18.4,95%,1020.0 Hpa,290º (W ),7.2,6/8,5/8 CU,AC,-,-,-,-,Cloudy
ANZALI,02/11/2007,06Z,16.6,391%,1021.4 Hpa,290º (W ),7.2,8/8,5/8 ST,AC,,3.0(6h),-,-,Overcast
ANZALI,02/11/2007,03Z,15.4,100%,1025.0 Hpa,270º (W ),7.2,8/8,5/8 SC,AC,,-,-,15.2,"Overcast, rain"
ARAK,02/11/2007,21Z,6.4,40%,1012.7 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ARAK,02/11/2007,18Z,10.0,33%,1014.4 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ARAK,02/11/2007,15Z,15.2,25%,1013.6 Hpa,290º (W ),7.2,0/8,-,-,-,-,20.2,-,"Clear, haze"
ARAK,02/11/2007,12Z,19.2,16%,1011.3 Hpa,030º (NE),7.2,0/8,-,-,-,-,-,-,"Clear, haze"
ARAK,02/11/2007,09Z,16.4,21%,1012.5 Hpa,040º (NE),7.2,0/8,-,-,-,-,-,-,"Clear, haze"
ARAK,02/11/2007,06Z,8.8,32%,1016.4 Hpa,calm.,,0/8,-,-,-,-,-,-,"Clear, haze"
ARAK,02/11/2007,03Z,4.2,48%,1015.9 Hpa,calm.,,0/8,-,-,-,-,8.4,7.8,"Clear, haze"
ARDEBIL,02/11/2007,18Z,5.0,85%,1015.7 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ARDEBIL,02/11/2007,15Z,10.2,78%,1014.9 Hpa,calm.,,0/8,-,-,-,-,14.8,-,Clear
ARDEBIL,02/11/2007,12Z,14.4,59%,1014.7 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ARDEBIL,02/11/2007,09Z,12.4,69%,1017.2 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ARDEBIL,02/11/2007,06Z,8.8,82%,1020.9 Hpa,calm.,,4/8,4/8 ST,-,-,-,-,-,"Scattered clouds, mist"
BABULSAR,02/11/2007,21Z,15.0,91%,1013.9 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
BABULSAR,02/11/2007,18Z,15.8,82%,1016.2 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
BABULSAR,02/11/2007,15Z,18.0,66%,1016.9 Hpa,calm.,,7/8,5/8 CB,AC,-,-,21.5,-,Cloudy
BABULSAR,02/11/2007,12Z,20.4,74%,1017.0 Hpa,040º (NE),7.2,2/8,-,-,CI,-,-,-,Few clouds
BABULSAR,02/11/2007,09Z,21.4,66%,1018.2 Hpa,070º (E ),10.8,3/8,2/8 CU,AC,-,-,-,-,Scattered clouds
BABULSAR,02/11/2007,06Z,20.4,,-,calm.,,3/8,-,3/8 AC,-,Tr(24h),-,-,Scattered clouds
BABULSAR,02/11/2007,03Z,16.4,91%,1020.8 Hpa,calm.,,7/8,3/8 CU/SC,AC,-,-,-,16.2,Cloudy
BAFT,02/11/2007,18Z,11.0,19%,1012.2 Hpa,030º (NE),7.2,3/8,-,3/8 AC,-,-,-,-,Scattered clouds
BAFT,02/11/2007,15Z,14.0,21%,1014.8 Hpa,calm.,,5/8,2/8 SC,AC,-,-,19.6,-,Cloudy
BAFT,02/11/2007,12Z,18.0,12%,1010.7 Hpa,150º (SE),10.8,5/8,2/8 SC,AC,-,-,-,-,Cloudy
BAFT,02/11/2007,09Z,18.4,11%,1010.2 Hpa,130º (SE),14.4,3/8,-,3/8 AC,-,-,-,-,Scattered clouds
BAFT,02/11/2007,06Z,16.2,14%,1013.4 Hpa,180º (S ),10.8,2/8,-,1/8 AC,-,-,-,-,Few clouds
BAM,02/11/2007,18Z,20.2,22%,1005.5 Hpa,300º (NW),14.4,4/8,-,-,CI,-,-,-,Scattered clouds
BAM,02/11/2007,15Z,22.6,20%,1006.5 Hpa,calm.,,6/8,1/8 SC,AC,-,-,29.4,-,Cloudy
BAM,02/11/2007,12Z,27.2,11%,1005.8 Hpa,130º (SE),14.4,7/8,1/8 SC,AC,-,-,-,-,Cloudy
BAM,02/11/2007,09Z,28.2,8%,1006.8 Hpa,130º (SE),10.8,5/8,1/8 SC,-,CI,-,-,-,Cloudy
BAM,02/11/2007,06Z,24.0,14%,1010.8 Hpa,calm.,,5/8,2/8 SC,AC,CI,-,-,-,Cloudy
BANDAR LENGEH,02/11/2007,18Z,25.4,45%,1009.8 Hpa,360º (N ),7.2,6/8,3/8 SC,AC,-,-,-,-,Cloudy
BANDAR LENGEH,02/11/2007,15Z,27.0,47%,1009.6 Hpa,300º (NW),7.2,6/8,2/8 SC,AC,-,-,30.8,-,Cloudy
BANDAR LENGEH,02/11/2007,09Z,29.4,30%,1010.3 Hpa,110º (E ),14.4,6/8,2/8 SC,AC,CI,-,-,-,Cloudy
BANDAR LENGEH,02/11/2007,06Z,30.8,50%,1012.1 Hpa,090º (E ),14.4,6/8,3/8 SC,AC,-,-,-,-,Cloudy
BANDARABBASS,02/11/2007,21Z,21.4,63%,1008.8 Hpa,330º (NW),10.8,6/8,1/8 SC,AC,-,-,-,-,Cloudy
BANDARABBASS,02/11/2007,15Z,25.0,66%,1009.4 Hpa,270º (W ),10.8,6/8,-,6/8 AC,-,-,30.5,-,Cloudy
BANDARABBASS,02/11/2007,12Z,28.8,45%,1009.4 Hpa,230º (SW),10.8,7/8,1/8 SC,AC,-,-,-,-,Cloudy
BANDARABBASS,02/11/2007,09Z,30.0,30%,1010.2 Hpa,190º (S ),10.8,7/8,1/8 SC,AC,-,-,-,-,Cloudy
BANDARABBASS,02/11/2007,06Z,24.0,39%,1012.6 Hpa,270º (W ),7.2,6/8,1/8 SC,AC,-,-,-,-,Cloudy
