Station ∆,Date,UTC time,Temp. (ºC),Rel. Hum. (%),Pressure/ Geopot.,Wind dir,Wins speed (Km/h),Clouds,Low clouds,Medium clouds,High clouds,Prec. (mm),Max temp. (ºC),Min temp. (ºC),Conditions
ABADAN,22/05/2018,21Z,29.6,45%,1008.3 Hpa,180º (S ),10.8,0/8,-,-,-,-,-,-,Clear
ABADAN,22/05/2018,18Z,33.4,23%,1008.0 Hpa,140º (SE),7.2,0/8,-,-,-,-,-,-,Clear
ABADAN,22/05/2018,15Z,40.1,16%,1007.2 Hpa,090º (E ),10.8,0/8,-,-,-,-,41.9,-,Clear
ABADAN,22/05/2018,12Z,41.0,18%,1008.4 Hpa,070º (E ),10.8,0/8,-,-,-,-,-,-,Clear
ABADAN,22/05/2018,09Z,40.6,14%,1010.2 Hpa,310º (NW),7.2,0/8,-,-,-,-,-,-,"Clear, haze"
ABADAN,22/05/2018,06Z,34.7,25%,1010.4 Hpa,180º (S ),10.8,0/8,-,-,-,-,-,-,Clear
ABADAN,22/05/2018,03Z,26.8,68%,1008.8 Hpa,140º (SE),7.2,2/8,-,-,CI,-,-,25.8,"Few clouds, haze"
ABADAN,22/05/2018,00Z,27.0,62%,1007.3 Hpa,150º (SE),7.2,0/8,-,-,-,-,-,-,Clear
ABADEH,22/05/2018,21Z,13.4,67%,1012.6 Hpa,360º (N ),18.0,3/8,3/8 SC,-,-,-,-,-,Scattered clouds
ABADEH,22/05/2018,18Z,17.4,43%,1011.1 Hpa,010º (N),43.2,6/8,4/8 CB,-,CI,-,-,-,Cloudy
ABADEH,22/05/2018,15Z,22.6,24%,1008.8 Hpa,090º (E ),14.4,6/8,4/8 CB,-,CI,-,25.4,-,Cloudy
ABADEH,22/05/2018,12Z,24.6,20%,1008.5 Hpa,030º (NE),14.4,6/8,4/8 CB,AC,-,-,-,-,Cloudy
ABADEH,22/05/2018,09Z,24.8,21%,1007.9 Hpa,340º (N ),14.4,3/8,3/8 CU,-,-,-,-,-,Scattered clouds
ABADEH,22/05/2018,06Z,20.2,35%,1009.8 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ABADEH,22/05/2018,03Z,14.8,51%,1009.6 Hpa,calm.,,0/8,-,-,-,-,-,12.6,Clear
ABADEH,22/05/2018,00Z,14.4,48%,1009.0 Hpa,310º (NW),7.2,0/8,-,-,-,-,-,-,Clear
ABU MUSA,22/05/2018,15Z,30.2,70%,1007.4 Hpa,300º (NW),14.4,0/8,-,-,-,-,35.2,-,"Clear, haze"
ABU MUSA,22/05/2018,12Z,34.4,78%,1008.4 Hpa,270º (W ),10.8,0/8,-,-,-,-,-,-,"Clear, haze"
ABU MUSA,22/05/2018,09Z,33.8,50%,1009.4 Hpa,210º (SW),18.0,0/8,-,-,-,-,-,-,"Clear, haze"
ABU MUSA,22/05/2018,06Z,30.8,96%,1009.6 Hpa,210º (SW),18.0,0/8,-,-,-,-,-,-,"Clear, haze"
