Station ∆,Date,UTC time,Temp. (ºC),Rel. Hum. (%),Pressure/ Geopot.,Wind dir,Wins speed (Km/h),Clouds,Low clouds,Medium clouds,High clouds,Prec. (mm),Max temp. (ºC),Min temp. (ºC),Conditions
ABADAN,07/12/2018,21Z,15.8,80%,1016.3 Hpa,060º (NE),3.6,0/8,-,-,-,-,-,-,Clear
ABADAN,07/12/2018,18Z,18.2,73%,1016.0 Hpa,220º (SW),7.2,0/8,-,-,-,-,-,-,Clear
ABADAN,07/12/2018,15Z,20.3,55%,1014.5 Hpa,150º (SE),3.6,3/8,-,3/8 AC,-,-,25.2,-,Scattered clouds
ABADAN,07/12/2018,12Z,24.9,44%,1014.1 Hpa,calm.,,2/8,2/8 CU,-,-,-,-,-,Few clouds
ABADAN,07/12/2018,09Z,23.0,47%,1015.1 Hpa,230º (SW),7.2,1/8,1/8 CU,-,-,-,-,-,Few clouds
ABADAN,07/12/2018,06Z,17.2,83%,1016.0 Hpa,250º (W ),7.2,0/8,-,-,-,-,-,-,"Clear, mist"
ABADAN,07/12/2018,03Z,13.4,91%,1013.9 Hpa,270º (W ),3.6,0/8,-,-,-,-,-,13.3,"Clear, mist"
ABADAN,07/12/2018,00Z,15.4,87%,1012.8 Hpa,020º (N),7.2,0/8,-,-,-,-,-,-,"Clear, mist"
ABADEH,07/12/2018,21Z,2.4,72%,1012.8 Hpa,290º (W ),7.2,0/8,-,-,-,-,-,-,Clear
ABADEH,07/12/2018,18Z,6.0,55%,1012.8 Hpa,240º (SW),14.4,0/8,-,-,-,-,-,-,Clear
ABADEH,07/12/2018,15Z,8.4,48%,1012.3 Hpa,250º (W ),10.8,0/8,-,-,-,-,13.0,-,Clear
ABADEH,07/12/2018,12Z,12.4,31%,1009.7 Hpa,260º (W ),21.6,1/8,1/8 CU,-,-,-,-,-,Few clouds
ABADEH,07/12/2018,09Z,12.4,33%,1007.7 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ABADEH,07/12/2018,06Z,8.2,43%,1009.8 Hpa,250º (W ),10.8,0/8,-,-,-,2.0(24h),-,-,Clear
ABADEH,07/12/2018,03Z,3.4,61%,1010.2 Hpa,280º (W ),10.8,1/8,1/8 SC,-,-,-,-,2.6,Few clouds
ABADEH,07/12/2018,00Z,3.4,91%,1007.7 Hpa,060º (NE),7.2,3/8,3/8 CB,-,-,2.0(6h),-,-,Scattered clouds
ABU MUSA,07/12/2018,15Z,25.4,76%,1012.1 Hpa,270º (W ),14.4,0/8,-,-,-,-,28.6,-,"Clear, haze"
ABU MUSA,07/12/2018,12Z,27.0,119%,1011.3 Hpa,240º (SW),18.0,0/8,-,-,-,-,-,-,"Clear, haze"
ABU MUSA,07/12/2018,09Z,27.4,67%,1012.8 Hpa,210º (SW),18.0,0/8,-,-,-,-,-,-,"Clear, haze"
ABU MUSA,07/12/2018,06Z,27.4,64%,1013.9 Hpa,210º (SW),7.2,0/8,-,-,-,-,-,-,Clear
ABU MUSA,07/12/2018,03Z,21.2,76%,1011.0 Hpa,270º (W ),7.2,0/8,-,-,-,-,-,19.8,"Clear, haze"
AHAR,07/12/2018,21Z,2.8,87%,1014.0 Hpa,290º (W ),10.8,4/8,-,-,CI,-,-,-,Scattered clouds
AHAR,07/12/2018,18Z,4.2,83%,1014.0 Hpa,270º (W ),7.2,8/8,2/8 SC,AC,,-,-,-,Overcast
AHAR,07/12/2018,15Z,5.2,85%,1013.2 Hpa,240º (SW),7.2,5/8,5/8 ST,-,-,-,6.0,-,Cloudy
AHAR,07/12/2018,12Z,5.6,85%,1011.9 Hpa,calm.,,8/8,6/8 ST,AC,,2.0(6h),-,-,"Overcast, rain"
AHAR,07/12/2018,09Z,4.8,85%,1011.6 Hpa,calm.,,8/8,6/8 ST,AC,,-,-,-,"Overcast, rain"
AHAR,07/12/2018,06Z,3.0,93%,1012.3 Hpa,calm.,,8/8,6/8 ST,AC,,2.0(6h),-,-,"Overcast, rain"
AHAR,07/12/2018,03Z,3.0,93%,1010.3 Hpa,260º (W ),7.2,8/8,3/8 ST,AC,,-,-,3.0,"Overcast, mist"
