Station ∆,Date,UTC time,Temp. (ºC),Rel. Hum. (%),Pressure/ Geopot.,Wind dir,Wins speed (Km/h),Clouds,Low clouds,Medium clouds,High clouds,Prec. (mm),Max temp. (ºC),Min temp. (ºC),Conditions
ABADAN,05/04/2018,21Z,23.9,59%,1007.5 Hpa,220º (SW),7.2,6/8,1/8 SC,AC,CI,-,-,-,Cloudy
ABADAN,05/04/2018,18Z,25.2,58%,1008.2 Hpa,210º (SW),10.8,0/8,-,-,-,-,-,-,Clear
ABADAN,05/04/2018,15Z,30.4,31%,1006.7 Hpa,030º (NE),7.2,1/8,-,1/8 AC,-,-,32.2,-,Few clouds
ABADAN,05/04/2018,12Z,31.4,28%,1007.6 Hpa,130º (SE),7.2,2/8,-,-,CC,-,-,-,Few clouds
ABADAN,05/04/2018,09Z,29.6,32%,1009.5 Hpa,030º (NE),14.4,4/8,-,-,CI,-,-,-,"Scattered clouds, haze"
ABADAN,05/04/2018,06Z,25.5,47%,1011.2 Hpa,010º (N),10.8,1/8,-,-,CI,1.3(24h),-,-,"Few clouds, haze"
ABADAN,05/04/2018,03Z,19.4,73%,1010.2 Hpa,290º (W ),7.2,3/8,-,3/8 AC,-,-,-,19.2,Scattered clouds
ABADAN,05/04/2018,00Z,21.5,63%,1009.0 Hpa,300º (NW),7.2,7/8,4/8 CB,AC,-,-,-,-,Cloudy
ABADEH,05/04/2018,21Z,8.2,92%,1008.6 Hpa,calm.,,2/8,-,2/8 AC,-,-,-,-,Few clouds
ABADEH,05/04/2018,18Z,9.8,95%,1008.7 Hpa,calm.,,4/8,-,4/8 AC,-,2.0(6h),-,-,Scattered clouds
ABADEH,05/04/2018,15Z,13.4,69%,1006.5 Hpa,360º (N ),10.8,7/8,4/8 CB,AC,-,-,17.0,-,"Cloudy, rain"
ABADEH,05/04/2018,12Z,12.8,77%,1006.0 Hpa,calm.,,8/8,4/8 CB,AC,,0.2(6h),-,-,Overcast
ABADEH,05/04/2018,09Z,15.2,47%,1004.8 Hpa,300º (NW),10.8,7/8,3/8 CB,AC,-,-,-,-,Cloudy
ABADEH,05/04/2018,06Z,12.0,62%,1006.1 Hpa,220º (SW),21.6,6/8,3/8 CB,AC,-,Tr(6h),-,-,"Cloudy, rain showers"
ABADEH,05/04/2018,03Z,11.2,49%,1004.2 Hpa,300º (NW),7.2,5/8,-,3/8 AC,CI,-,-,10.8,Cloudy
ABADEH,05/04/2018,00Z,12.8,35%,1002.4 Hpa,010º (N),7.2,3/8,-,3/8 AC,-,-,-,-,Scattered clouds
ABU MUSA,05/04/2018,15Z,26.2,78%,1004.9 Hpa,240º (SW),7.2,0/8,-,-,-,-,28.6,-,"Clear, haze"
ABU MUSA,05/04/2018,12Z,27.0,119%,1005.0 Hpa,250º (W ),14.4,0/8,-,-,-,-,-,-,"Clear, haze"
ABU MUSA,05/04/2018,09Z,27.6,58%,1006.9 Hpa,270º (W ),18.0,2/8,-,-,CI,-,-,-,"Few clouds, haze"
ABU MUSA,05/04/2018,06Z,26.4,123%,1007.4 Hpa,210º (SW),18.0,2/8,-,-,CI,-,-,-,"Few clouds, haze"
ABU MUSA,05/04/2018,03Z,25.2,71%,1005.9 Hpa,260º (W ),7.2,3/8,-,-,CI,-,-,23.2,"Scattered clouds, haze"
AHAR,05/04/2018,21Z,6.2,85%,1017.3 Hpa,120º (SE),10.8,7/8,3/8 CB,AC,-,-,-,-,Cloudy
AHAR,05/04/2018,18Z,6.0,85%,1018.5 Hpa,110º (E ),14.4,1/8,1/8 SC,-,-,-,-,-,Few clouds
AHAR,05/04/2018,15Z,10.4,56%,1016.5 Hpa,100º (E ),14.4,0/8,-,-,-,-,12.6,-,Clear
AHAR,05/04/2018,12Z,12.0,48%,1016.2 Hpa,110º (E ),18.0,1/8,1/8 CU,-,-,-,-,-,Few clouds
AHAR,05/04/2018,09Z,9.6,55%,1019.2 Hpa,080º (E ),7.2,1/8,1/8 CU,-,-,-,-,-,Few clouds
AHAR,05/04/2018,06Z,7.0,53%,1022.1 Hpa,120º (SE),14.4,7/8,5/8 ST,AC,-,-,-,-,Cloudy
AHAR,05/04/2018,03Z,4.0,78%,1022.4 Hpa,060º (NE),7.2,7/8,7/8 ST,-,-,-,-,3.8,Cloudy
AHAR,05/04/2018,00Z,4.2,84%,1021.3 Hpa,120º (SE),7.2,7/8,7/8 ST,-,-,-,-,-,"Cloudy, mist"
AHWAZ,05/04/2018,21Z,24.8,41%,1007.0 Hpa,240º (SW),7.2,5/8,-,-,CI,-,-,-,Cloudy
AHWAZ,05/04/2018,18Z,24.4,47%,1006.9 Hpa,340º (N ),3.6,0/8,-,-,-,-,-,-,Clear
AHWAZ,05/04/2018,15Z,29.5,27%,1005.8 Hpa,030º (NE),3.6,3/8,-,1/8 AC,CI,-,32.0,-,Scattered clouds
